profile,backend,concurrency,effective_context,operation,m,k,n,calls,gpu_time_ms,cpu_time_ms,pipeline,bytes_note,evidence
CAPACITY,ROCmFPXVulkan0,4,8192,prompt_fill,,,4,,,,,Four independent 8192-token prompts completed; shape profiling disabled,work/results/v4-context8k-capacity-fpx
DECODE8K,ROCmFPXVulkan0,1,8192,quantize_q8_1_x4,10752,2048,1,210,1.26872,,quantize_q8_1_x4,paired Vulkan timestamps; fenced profiler,work/results/v4-phase-resident8k-c1-shapes/vkphase-decode-summary.json
DECODE8K,ROCmFPXVulkan0,1,8192,quantize_q8_1_x4,2048,10752,1,210,1.24580,,quantize_q8_1_x4,paired Vulkan timestamps; fenced profiler,work/results/v4-phase-resident8k-c1-shapes/vkphase-decode-summary.json
DECODE8K,ROCmFPXVulkan0,1,8192,quantize_q8_1_x4,2048,2048,1,266,1.59436,,quantize_q8_1_x4,paired Vulkan timestamps; fenced profiler,work/results/v4-phase-resident8k-c1-shapes/vkphase-decode-summary.json
DECODE8K,ROCmFPXVulkan0,1,8192,quantize_q8_1_x4,6144,2048,1,154,0.93316,,quantize_q8_1_x4,paired Vulkan timestamps; fenced profiler,work/results/v4-phase-resident8k-c1-shapes/vkphase-decode-summary.json
DECODE8K,ROCmFPXVulkan0,1,8192,quantize_q8_1_x4,128000,2048,1,7,0.01380,,quantize_q8_1_x4,paired Vulkan timestamps; fenced profiler,work/results/v4-phase-resident8k-c1-shapes/vkphase-decode-summary.json
DECODE8K,ROCmFPXVulkan0,1,8192,mmv_fp4_fast_q8_1,10752,2048,1,420,36.17568,,mul_mat_vec_rocmfp4_fast_q8_1_f32,paired Vulkan timestamps; fenced profiler,work/results/v4-phase-resident8k-c1-shapes/vkphase-decode-summary.json
DECODE8K,ROCmFPXVulkan0,1,8192,mmv_fp4_fast_q8_1,2048,10752,1,210,17.53384,,mul_mat_vec_rocmfp4_fast_q8_1_f32,paired Vulkan timestamps; fenced profiler,work/results/v4-phase-resident8k-c1-shapes/vkphase-decode-summary.json
DECODE8K,ROCmFPXVulkan0,1,8192,mmv_fp4_fast_q8_1,2048,2048,1,266,6.27936,,mul_mat_vec_rocmfp4_fast_q8_1_f32,paired Vulkan timestamps; fenced profiler,work/results/v4-phase-resident8k-c1-shapes/vkphase-decode-summary.json
DECODE8K,ROCmFPXVulkan0,1,8192,mmv_fp4_fast_q8_1,6144,2048,1,154,8.31276,,mul_mat_vec_rocmfp4_fast_q8_1_f32,paired Vulkan timestamps; fenced profiler,work/results/v4-phase-resident8k-c1-shapes/vkphase-decode-summary.json
DECODE8K,ROCmFPXVulkan0,1,8192,mmv_fp4_fast_q8_1,512,2048,1,112,0.09860,,mul_mat_vec_rocmfp4_fast_q8_1_f32,paired Vulkan timestamps; fenced profiler,work/results/v4-phase-resident8k-c1-shapes/vkphase-decode-summary.json
