time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789655415.0853517,0.010162543999285845,32532,32561,0.0,386011136,2,2145832960,8573157376,44.0,700Mhz,96Mhz,
1789655415.7627041,0.6875167219996001,32532,32561,0.0,386011136,6,2143735808,8573157376,44.0,700Mhz,96Mhz,
1789655416.4418223,1.366633828999511,32532,32561,0.0,386011136,4,2143735808,8573157376,44.0,700Mhz,96Mhz,
1789655417.1111746,2.035986374999993,32532,32561,0.0,386011136,6,2141081600,8573157376,44.0,700Mhz,96Mhz,
1789655417.7880213,2.7128337689991895,32532,32561,0.0,386011136,5,2141081600,8573157376,44.0,700Mhz,96Mhz,
1789655418.4674034,3.3922155779991954,32532,32561,0.0,386011136,3,2143178752,8573157376,44.0,700Mhz,96Mhz,
1789655419.1474369,4.072248522999871,32532,32561,0.0,386011136,3,2125385728,8573157376,44.0,700Mhz,96Mhz,
1789655419.8271725,4.751984575999813,32532,32561,0.0,386011136,3,2123288576,8573157376,44.0,700Mhz,96Mhz,
1789655420.4981532,5.42296516999977,32532,32561,0.0,386011136,2,2123288576,8573157376,44.0,700Mhz,96Mhz,
1789655421.1793752,6.104187107999678,32532,32561,0.0,386011136,4,2123288576,8573157376,44.0,700Mhz,96Mhz,
1789655421.868276,6.793087743999422,32532,32561,40.2,386338816,93,2141589504,8573157376,51.0,2639Mhz,1000Mhz,
1789655422.5405376,7.465349839999362,32532,32561,38.7,390004736,84,2143690752,8573157376,50.0,2635Mhz,1000Mhz,
1789655423.212151,8.13696273000005,32532,32561,45.6,392085504,99,2141593600,8573157376,51.0,2635Mhz,541Mhz,
1789655423.8913949,8.816206437999426,32532,32561,42.9,393637888,96,2141593600,8573157376,53.0,2635Mhz,1000Mhz,
1789655424.567127,9.491939179999463,32532,32561,40.4,398000128,96,2141593600,8573157376,52.0,2635Mhz,1000Mhz,
1789655425.2347677,10.159579508999741,32532,32561,33.7,398012416,3,2141593600,8573157376,48.0,700Mhz,96Mhz,
1789655425.9175298,10.842341611999473,32532,32561,0.0,398012416,3,2143690752,8573157376,46.0,700Mhz,96Mhz,
1789655426.5838654,11.5086774779993,32532,32561,0.0,398012416,2,2143690752,8573157376,46.0,700Mhz,96Mhz,
1789655427.2536793,12.178490979999879,32532,32561,0.0,398012416,2,2141593600,8573157376,45.0,700Mhz,96Mhz,
1789655427.9234724,12.848284230999525,32532,32561,0.0,398012416,2,2141593600,8573157376,46.0,700Mhz,96Mhz,
1789655428.5957632,13.520574687999215,32532,32561,0.0,398012416,1,2141593600,8573157376,45.0,700Mhz,96Mhz,
1789655429.2546651,14.179476437999256,32532,32561,0.0,398012416,4,2141593600,8573157376,45.0,700Mhz,96Mhz,
1789655429.9244251,14.849237198000083,32532,32561,0.0,398012416,1,2143690752,8573157376,45.0,700Mhz,96Mhz,
1789655430.596465,15.521277112999996,32532,32561,0.0,398012416,3,2143690752,8573157376,45.0,700Mhz,96Mhz,
1789655431.2819397,16.20675160399969,32532,32561,0.0,398012416,2,2141593600,8573157376,45.0,700Mhz,96Mhz,
1789655431.9508321,16.87564432599993,32532,32561,0.0,398012416,3,2141593600,8573157376,45.0,700Mhz,96Mhz,
1789655432.6358557,17.560668292999253,32532,32561,0.0,398012416,3,2141593600,8573157376,45.0,700Mhz,96Mhz,
1789655433.3197932,18.244604917999823,32532,32561,42.2,401633280,91,2141593600,8573157376,53.0,2639Mhz,1000Mhz,
1789655433.9825351,18.907347416999983,32532,32561,35.2,403746816,99,2145198080,8573157376,51.0,2635Mhz,541Mhz,
1789655434.664263,19.58907495099993,32532,32561,50.4,405282816,92,2145726464,8573157376,54.0,2635Mhz,1000Mhz,
1789655435.3386984,20.263510088999283,32532,32561,34.7,409391104,99,2143629312,8573157376,51.0,2635Mhz,541Mhz,
1789655436.0025175,20.92732952999995,32532,32561,50.0,410927104,77,2143629312,8573157376,53.0,2635Mhz,1000Mhz,
1789655436.6628096,21.58762126399961,32532,32561,66.1,410927104,87,2143629312,8573157376,54.0,2635Mhz,1000Mhz,
1789655437.329063,22.25387499899989,32532,32561,38.6,415002624,99,2143629312,8573157376,51.0,2635Mhz,541Mhz,
1789655438.0025308,22.92734285699953,32532,32561,47.3,415002624,84,2145726464,8573157376,55.0,2635Mhz,1000Mhz,
1789655438.67915,23.603961677999905,32532,32561,31.6,415002624,3,2145726464,8573157376,48.0,700Mhz,96Mhz,
1789655439.3430521,24.267863868999484,32532,32561,0.0,415002624,4,2143629312,8573157376,47.0,700Mhz,96Mhz,
1789655440.0078554,24.932667089999995,32532,32561,0.0,415002624,6,2143629312,8573157376,47.0,700Mhz,96Mhz,
1789655440.6814218,25.606233588999203,32532,32561,0.0,415002624,6,2143629312,8573157376,47.0,700Mhz,96Mhz,
1789655441.3503869,26.275198972,32532,32561,0.0,415002624,5,2143629312,8573157376,46.0,700Mhz,96Mhz,
1789655442.023349,26.94816069599983,32532,32561,0.0,415002624,7,2145726464,8573157376,46.0,700Mhz,96Mhz,
1789655442.6935651,27.618377300999782,32532,32561,0.0,415002624,4,2145726464,8573157376,46.0,700Mhz,96Mhz,
1789655443.368115,28.29292716100008,32532,32561,0.0,415002624,4,2143629312,8573157376,46.0,700Mhz,96Mhz,
1789655444.045048,28.969859814999836,32532,32561,0.0,415002624,6,2143629312,8573157376,46.0,700Mhz,96Mhz,
1789655444.7238786,29.64869034899948,32532,32561,0.0,415002624,4,2143629312,8573157376,46.0,700Mhz,96Mhz,
1789655445.3972206,30.322032865999972,32532,32561,0.0,415002624,5,2143629312,8573157376,46.0,700Mhz,96Mhz,
1789655446.0946972,31.01950860999932,32532,32561,3.1,419065856,99,2145726464,8573157376,49.0,2639Mhz,541Mhz,
1789655446.7501936,31.675005544999294,32532,32561,53.5,420601856,91,2145726464,8573157376,53.0,2635Mhz,1000Mhz,
1789655447.4228308,32.347643104999406,32532,32561,14.9,422662144,99,2145132544,8573157376,52.0,2635Mhz,541Mhz,
1789655448.0959432,33.02075483999943,32532,32561,51.1,422662144,95,2145136640,8573157376,54.0,2635Mhz,1000Mhz,
1789655448.7619166,33.686728282999866,32532,32561,40.7,428752896,99,2145136640,8573157376,53.0,2635Mhz,541Mhz,
1789655449.4493754,34.37418744399929,32532,32561,24.1,430288896,80,2145136640,8573157376,52.0,2635Mhz,1000Mhz,
1789655450.1142976,35.03910879599971,32532,32561,46.1,430288896,95,2147233792,8573157376,55.0,2630Mhz,1000Mhz,
1789655450.7649791,35.68979105199924,32532,32561,32.6,436375552,99,2147233792,8573157376,53.0,2635Mhz,541Mhz,
1789655451.4403546,36.36516585999925,32532,32561,37.8,436375552,91,2145136640,8573157376,55.0,2635Mhz,1000Mhz,
1789655452.1019711,37.026782837999235,32532,32561,63.9,436375552,72,2145136640,8573157376,56.0,2635Mhz,1000Mhz,
1789655452.7746499,37.69946119799988,32532,32561,64.8,436379648,85,2145136640,8573157376,56.0,2635Mhz,1000Mhz,
1789655453.4388309,38.36364268199941,32532,32561,11.6,436383744,2,2145136640,8573157376,49.0,700Mhz,96Mhz,
1789655454.1311088,39.055920752999555,32532,32561,0.0,436383744,1,2147233792,8573157376,49.0,700Mhz,96Mhz,
1789655454.8155448,39.740357224000036,32532,32561,0.0,436383744,4,2147233792,8573157376,48.0,700Mhz,96Mhz,
1789655455.4861774,40.41098947299997,32532,32561,0.0,436383744,3,2145136640,8573157376,48.0,700Mhz,96Mhz,
1789655456.1603518,41.0851634189994,32532,32561,0.0,436383744,3,2145136640,8573157376,48.0,700Mhz,96Mhz,
1789655456.8297954,41.75460694699996,32532,32561,0.0,436383744,5,2145136640,8573157376,48.0,700Mhz,96Mhz,
1789655457.5057268,42.43053877099919,32532,32561,0.0,436383744,1,2145136640,8573157376,48.0,700Mhz,96Mhz,
1789655458.1757648,43.10057660499933,32532,32561,0.0,436383744,2,2147233792,8573157376,48.0,700Mhz,96Mhz,
1789655458.8391597,43.763971630000015,32532,32561,0.0,436383744,3,2147233792,8573157376,47.0,700Mhz,96Mhz,
1789655459.5043926,44.429204804999245,32532,32561,0.0,436383744,2,2145136640,8573157376,48.0,700Mhz,96Mhz,
1789655460.179248,45.104059857999346,32532,32561,0.0,436383744,2,2145136640,8573157376,47.0,700Mhz,96Mhz,
