time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789657656.4407625,0.01115341299919237,45262,45295,0.0,386760704,1,2126135296,8573157376,49.0,700Mhz,96Mhz,
1789657656.8741274,0.4445197080003709,45262,45295,0.0,386760704,1,2126135296,8573157376,49.0,700Mhz,96Mhz,
1789657657.2825172,0.8529090009997162,45262,45295,0.0,386760704,2,2126135296,8573157376,49.0,700Mhz,96Mhz,
1789657657.6937962,1.2641875320005056,45262,45295,0.0,386760704,4,2123169792,8573157376,49.0,700Mhz,96Mhz,
1789657658.1042647,1.6746566359997814,45262,45295,0.0,386760704,3,2123169792,8573157376,50.0,700Mhz,96Mhz,
1789657658.515542,2.085933477999788,45262,45295,0.0,386760704,6,2123169792,8573157376,49.0,700Mhz,96Mhz,
1789657658.917412,2.48780402400007,45262,45295,0.0,386760704,4,2123169792,8573157376,49.0,700Mhz,96Mhz,
1789657659.3312194,2.901611232000505,45262,45295,0.0,386760704,7,2123169792,8573157376,49.0,700Mhz,96Mhz,
1789657659.7462502,3.3166428309996263,45262,45295,0.0,386760704,4,2123169792,8573157376,49.0,700Mhz,96Mhz,
1789657660.174697,3.7450888969997322,45262,45295,0.0,386760704,6,2123169792,8573157376,49.0,700Mhz,96Mhz,
1789657660.6037364,4.174128098999063,45262,45295,0.0,386760704,4,2123169792,8573157376,49.0,700Mhz,96Mhz,
1789657661.0255425,4.595934467999541,45262,45295,0.0,386760704,3,2123169792,8573157376,49.0,700Mhz,96Mhz,
1789657661.4589717,5.02936344400041,45262,45295,0.0,386760704,4,2123169792,8573157376,49.0,700Mhz,96Mhz,
1789657661.897296,5.467690389999916,45262,45295,0.0,386760704,3,2123169792,8573157376,49.0,700Mhz,96Mhz,
1789657662.3417945,5.912186329000178,45262,45295,0.0,386760704,5,2123169792,8573157376,49.0,700Mhz,96Mhz,
1789657662.7738118,6.344204410999737,45262,45295,0.0,386760704,5,2123169792,8573157376,49.0,700Mhz,96Mhz,
1789657663.2051435,6.775535025999488,45262,45295,42.5,386965504,92,2144616448,8573157376,57.0,2635Mhz,1000Mhz,
