time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789656941.0133321,0.010720698999648448,42721,42752,0.0,225452032,2,1937141760,8573157376,49.0,700Mhz,96Mhz,
1789656941.4476604,0.44505000400022254,42721,42752,0.0,225452032,3,1937141760,8573157376,48.0,700Mhz,96Mhz,
1789656941.865037,0.8624268179992214,42721,42752,0.0,225452032,5,1937141760,8573157376,48.0,700Mhz,96Mhz,
1789656942.2860382,1.2834277479996672,42721,42752,0.0,225452032,2,1937141760,8573157376,48.0,700Mhz,96Mhz,
1789656942.7085218,1.7059119839996129,42721,42752,0.0,225452032,3,1937141760,8573157376,48.0,700Mhz,96Mhz,
1789656943.1249108,2.122300656999869,42721,42752,0.0,225452032,3,1937141760,8573157376,48.0,700Mhz,96Mhz,
1789656943.5389626,2.536351847000333,42721,42752,0.0,225452032,2,1937141760,8573157376,48.0,700Mhz,96Mhz,
1789656943.961466,2.9588555930004077,42721,42752,0.0,225452032,7,1934176256,8573157376,48.0,700Mhz,96Mhz,
1789656944.386989,3.384378418999404,42721,42752,0.0,225452032,3,1934176256,8573157376,48.0,700Mhz,96Mhz,
1789656944.799253,3.796642821000205,42721,42752,0.0,225452032,2,1934176256,8573157376,48.0,700Mhz,96Mhz,
1789656945.2196987,4.2170882649988926,42721,42752,0.0,225452032,2,1934176256,8573157376,48.0,700Mhz,96Mhz,
1789656945.6408114,4.6382011370005785,42721,42752,0.0,225452032,1,1934176256,8573157376,48.0,700Mhz,96Mhz,
1789656946.062388,5.059777803000543,42721,42752,0.0,225452032,4,1934176256,8573157376,48.0,700Mhz,96Mhz,
1789656946.4933372,5.4907266039990645,42721,42752,0.0,225452032,5,1934176256,8573157376,49.0,700Mhz,96Mhz,
1789656946.923944,5.921333571999639,42721,42752,0.0,225452032,3,1934176256,8573157376,48.0,700Mhz,96Mhz,
1789656947.3361654,6.333555433000583,42721,42752,0.0,225452032,4,1934176256,8573157376,48.0,700Mhz,96Mhz,
1789656947.751577,6.748966486999052,42721,42752,38.1,225718272,89,1936715776,8573157376,55.0,2635Mhz,1000Mhz,
1789656948.1717813,7.169171028999699,42721,42752,51.0,225783808,89,1948266496,8573157376,59.0,2630Mhz,1000Mhz,
1789656948.583849,7.5812385589997575,42721,42752,56.6,225792000,92,1948266496,8573157376,58.0,2630Mhz,1000Mhz,
1789656949.0082207,8.005609792999167,42721,42752,49.5,225861632,93,1948266496,8573157376,58.0,2630Mhz,1000Mhz,
1789656949.4326587,8.430048189000445,42721,42752,49.7,225972224,88,1948266496,8573157376,59.0,2630Mhz,1000Mhz,
1789656949.855543,8.852932988000248,42721,42752,53.5,225972224,92,1948266496,8573157376,59.0,2630Mhz,1000Mhz,
1789656950.267041,9.264431151999815,42721,42752,52.4,226013184,91,1948266496,8573157376,59.0,2630Mhz,1000Mhz,
1789656950.7062593,9.703649226999914,42721,42752,49.7,226050048,94,1948266496,8573157376,59.0,2630Mhz,1000Mhz,
1789656951.1283672,10.125756428999011,42721,42752,50.6,226050048,90,1948266496,8573157376,59.0,2630Mhz,1000Mhz,
1789656951.543061,10.540450225000313,42721,42752,52.9,226050048,92,1945612288,8573157376,60.0,2630Mhz,1000Mhz,
1789656951.9776173,10.97500674299954,42721,42752,49.8,226074624,92,1945612288,8573157376,60.0,2630Mhz,1000Mhz,
1789656952.3995562,11.396945332999167,42721,42752,51.1,226074624,93,1945612288,8573157376,60.0,2630Mhz,1000Mhz,
1789656952.8305082,11.827897953999127,42721,42752,50.8,226095104,93,1945612288,8573157376,60.0,2630Mhz,1000Mhz,
1789656953.2437322,12.241121855999154,42721,42752,53.7,226152448,84,1945612288,8573157376,60.0,2630Mhz,1000Mhz,
1789656953.6721485,12.669538060999912,42721,42752,51.1,226164736,91,1936715776,8573157376,60.0,2630Mhz,1000Mhz,
1789656954.0827742,13.08016370599944,42721,42752,50.1,226164736,93,1936715776,8573157376,60.0,2630Mhz,1000Mhz,
1789656954.5022771,13.49966779100032,42721,42752,22.7,226164736,1,1936715776,8573157376,53.0,700Mhz,96Mhz,
1789656954.9430685,13.94045806199938,42721,42752,0.0,226164736,1,1936715776,8573157376,51.0,700Mhz,96Mhz,
1789656955.3612108,14.358600493998892,42721,42752,0.0,226164736,6,1936715776,8573157376,51.0,700Mhz,96Mhz,
1789656955.7879145,14.785303732000102,42721,42752,0.0,226164736,3,1936715776,8573157376,51.0,700Mhz,96Mhz,
1789656956.199137,15.196526783000081,42721,42752,0.0,226164736,2,1936715776,8573157376,50.0,700Mhz,96Mhz,
