| model                          |       size |     params | backend    | ngl | dev          |            test |                  t/s |
| ------------------------------ | ---------: | ---------: | ---------- | --: | ------------ | --------------: | -------------------: |
| lfm2 2.6B ROCmFP4 Fast         |   1.34 GiB |     2.70 B | Vulkan,ROCmFPXVulkan |  99 | ROCmFPXVulkan0 |           pp128 |       2271.27 ± 5.69 |
| lfm2 2.6B ROCmFP4 Fast         |   1.34 GiB |     2.70 B | Vulkan,ROCmFPXVulkan |  99 | ROCmFPXVulkan0 |           pp512 |      2459.04 ± 12.68 |
| lfm2 2.6B ROCmFP4 Fast         |   1.34 GiB |     2.70 B | Vulkan,ROCmFPXVulkan |  99 | ROCmFPXVulkan0 |          pp2048 |      2389.32 ± 25.18 |
| lfm2 2.6B ROCmFP4 Fast         |   1.34 GiB |     2.70 B | Vulkan,ROCmFPXVulkan |  99 | ROCmFPXVulkan0 |           tg128 |        132.74 ± 0.70 |
| lfm2 2.6B Q8_0                 |   2.67 GiB |     2.70 B | Vulkan,ROCmFPXVulkan |  99 | ROCmFPXVulkan0 |           pp128 |       1907.07 ± 2.94 |
| lfm2 2.6B Q8_0                 |   2.67 GiB |     2.70 B | Vulkan,ROCmFPXVulkan |  99 | ROCmFPXVulkan0 |           pp512 |       2205.66 ± 6.87 |
| lfm2 2.6B Q8_0                 |   2.67 GiB |     2.70 B | Vulkan,ROCmFPXVulkan |  99 | ROCmFPXVulkan0 |          pp2048 |       2174.76 ± 4.26 |
| lfm2 2.6B Q8_0                 |   2.67 GiB |     2.70 B | Vulkan,ROCmFPXVulkan |  99 | ROCmFPXVulkan0 |           tg128 |         76.03 ± 0.31 |
| lfm2 2.6B Q4_0                 |   1.48 GiB |     2.70 B | Vulkan,ROCmFPXVulkan |  99 | ROCmFPXVulkan0 |           pp128 |       2621.13 ± 6.10 |
| lfm2 2.6B Q4_0                 |   1.48 GiB |     2.70 B | Vulkan,ROCmFPXVulkan |  99 | ROCmFPXVulkan0 |           pp512 |      2738.75 ± 21.97 |
| lfm2 2.6B Q4_0                 |   1.48 GiB |     2.70 B | Vulkan,ROCmFPXVulkan |  99 | ROCmFPXVulkan0 |          pp2048 |       2668.87 ± 5.54 |
| lfm2 2.6B Q4_0                 |   1.48 GiB |     2.70 B | Vulkan,ROCmFPXVulkan |  99 | ROCmFPXVulkan0 |           tg128 |        123.87 ± 1.01 |

build: aed0d5f (421)
