time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789656526.4495194,0.010812480999447871,35248,35279,0.0,386736128,1,2191138816,8573157376,46.0,700Mhz,96Mhz,
1789656526.8854408,0.4467351659986889,35248,35279,0.0,386736128,3,2191138816,8573157376,46.0,700Mhz,96Mhz,
1789656527.3142135,0.8755071989999124,35248,35279,0.0,386736128,5,2191138816,8573157376,46.0,700Mhz,96Mhz,
1789656527.7377076,1.2990016570001899,35248,35279,0.0,386736128,5,2189041664,8573157376,46.0,700Mhz,96Mhz,
1789656528.1580963,1.7193905139993149,35248,35279,0.0,386736128,5,2189041664,8573157376,46.0,700Mhz,96Mhz,
1789656528.5704687,2.131762727998648,35248,35279,0.0,386736128,3,2189041664,8573157376,46.0,700Mhz,96Mhz,
1789656528.991889,2.553183124999123,35248,35279,0.0,386736128,3,2189041664,8573157376,46.0,700Mhz,96Mhz,
1789656529.4133055,2.9745990720002737,35248,35279,0.0,386736128,3,2189041664,8573157376,46.0,700Mhz,96Mhz,
1789656529.8278527,3.3891467489993374,35248,35279,0.0,386736128,2,2189041664,8573157376,46.0,700Mhz,96Mhz,
1789656530.2522848,3.813579296998796,35248,35279,0.0,386736128,1,2189041664,8573157376,46.0,700Mhz,96Mhz,
1789656530.6780987,4.239392768999096,35248,35279,0.0,386736128,2,2191138816,8573157376,46.0,700Mhz,96Mhz,
1789656531.1108856,4.672179543000311,35248,35279,0.0,386736128,4,2191138816,8573157376,46.0,700Mhz,96Mhz,
1789656531.5240622,5.085356024999783,35248,35279,0.0,386736128,3,2191138816,8573157376,45.0,700Mhz,96Mhz,
1789656531.938902,5.500196854998649,35248,35279,0.0,386736128,2,2189041664,8573157376,46.0,700Mhz,96Mhz,
1789656532.3715572,5.932850977000271,35248,35279,0.0,386736128,0,2186076160,8573157376,46.0,700Mhz,96Mhz,
1789656532.7864609,6.347754757000075,35248,35279,0.0,386736128,2,2186076160,8573157376,46.0,700Mhz,96Mhz,
1789656533.2072487,6.768541957999332,35248,35279,58.2,386940928,93,2207522816,8573157376,54.0,2639Mhz,1000Mhz,
1789656533.6369562,7.198249749999377,35248,35279,51.9,389292032,96,2208014336,8573157376,55.0,2635Mhz,1000Mhz,
1789656534.0609412,7.6222349330000725,35248,35279,51.1,389292032,95,2208014336,8573157376,55.0,2635Mhz,1000Mhz,
1789656534.4716804,8.032974150999507,35248,35279,0.0,389292032,0,2210111488,8573157376,47.0,700Mhz,96Mhz,
1789656534.9015682,8.462861764999616,35248,35279,0.0,389292032,2,2210111488,8573157376,47.0,700Mhz,96Mhz,
