time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789607883.8371303,0.011320709003484808,180838,180878,5.4,710811648,3,2787151872,8573157376,52.0,2630Mhz,675Mhz,
1789607884.2716017,0.4457931520009879,180838,180878,0.0,710811648,2,2787151872,8573157376,52.0,2630Mhz,675Mhz,
1789607884.695104,0.8692949390024296,180838,180878,2.3,710811648,1,2787151872,8573157376,51.0,2630Mhz,675Mhz,
1789607885.1232576,1.2974485189988627,180838,180878,0.0,710811648,1,2787151872,8573157376,51.0,2630Mhz,675Mhz,
1789607885.5503864,1.724577628003317,180838,180878,2.4,710811648,1,2787151872,8573157376,51.0,2630Mhz,675Mhz,
1789607885.9686387,2.1428300550032873,180838,180878,0.0,710811648,1,2787151872,8573157376,51.0,2630Mhz,675Mhz,
1789607886.3934643,2.567655416998605,180838,180878,2.1,710811648,1,2789249024,8573157376,51.0,2630Mhz,675Mhz,
1789607886.865687,3.039878972005681,180838,180878,2.3,710811648,2,2791346176,8573157376,51.0,2639Mhz,675Mhz,
1789607887.2964213,3.4706126320015755,180838,180878,0.0,710811648,0,2791346176,8573157376,51.0,2639Mhz,675Mhz,
1789607887.723341,3.897532018003403,180838,180878,2.3,710811648,1,2791346176,8573157376,51.0,2639Mhz,675Mhz,
1789607888.153242,4.327433088001271,180838,180878,0.0,710811648,4,2789249024,8573157376,51.0,2639Mhz,675Mhz,
1789607888.5719764,4.7461675710001145,180838,180878,2.3,710811648,0,2787151872,8573157376,51.0,2639Mhz,675Mhz,
1789607889.008286,5.182477194000967,180838,180878,0.0,710811648,1,2787151872,8573157376,51.0,2639Mhz,675Mhz,
1789607889.4511378,5.625328902999172,180838,180878,4.4,710811648,6,2787151872,8573157376,51.0,2639Mhz,541Mhz,
1789607889.9046476,6.078838744004315,180838,180878,0.0,710811648,0,2787151872,8573157376,50.0,2639Mhz,541Mhz,
1789607890.3407812,6.514972255004977,180838,180878,2.3,710811648,1,2787151872,8573157376,51.0,2639Mhz,541Mhz,
1789607890.7832623,6.957453039998654,180838,180878,40.5,727207936,99,2800644096,8573157376,54.0,2639Mhz,1000Mhz,
1789607891.2026556,7.376846210005169,180838,180878,100.1,727207936,99,2800644096,8573157376,54.0,2639Mhz,1000Mhz,
1789607891.642058,7.816248679002456,180838,180878,100.8,727207936,99,2800644096,8573157376,54.0,2639Mhz,1000Mhz,
