0.00.045.228 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.045.915 W srv  llama_server: -----------------
0.00.045.924 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.045.925 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.045.925 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.045.925 W srv  llama_server: -----------------
0.00.047.328 I srv    load_model: loading model '/home/isaac/Escritorio/BenchmarkLLM/models/LFM2.5-2.6B-Q4_K_M/LFM2.5-2.6B-Q4_K_M.gguf'
0.01.724.142 I cmn          init: llama threadpool init, n_threads = 4
0.05.569.351 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 1024, kv_unified = 'false'
0.05.575.868 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.05.575.923 I srv  llama_server: model loaded
0.05.575.929 I srv  llama_server: listening on http://127.0.0.1:18002
0.12.617.899 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.12.617.946 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.27.627.749 I slot print_timing: id  3 | task 0 | prompt eval time =    8907.09 ms /    16 tokens (  556.69 ms per token,     1.80 tokens per second)
0.27.627.754 I slot print_timing: id  3 | task 0 |        eval time =    6102.66 ms /     8 tokens (  871.81 ms per token,     1.15 tokens per second)
0.27.627.755 I slot print_timing: id  3 | task 0 |       total time =   15009.76 ms /    24 tokens
0.27.627.760 I slot print_timing: id  3 | task 0 |    graphs reused =          7
0.27.627.792 I slot      release: id  3 | task 0 | stop processing: n_tokens = 23, truncated = 0
0.27.629.749 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.27.629.785 I slot launch_slot_: id  2 | task 10 | processing task, is_child = 0
0.42.631.923 I slot print_timing: id  2 | task 10 | prompt eval time =    8892.49 ms /    16 tokens (  555.78 ms per token,     1.80 tokens per second)
0.42.631.929 I slot print_timing: id  2 | task 10 |        eval time =    6108.26 ms /     8 tokens (  872.61 ms per token,     1.15 tokens per second)
0.42.631.930 I slot print_timing: id  2 | task 10 |       total time =   15000.75 ms /    24 tokens
0.42.631.931 I slot print_timing: id  2 | task 10 |    graphs reused =         13
0.42.631.948 I slot      release: id  2 | task 10 | stop processing: n_tokens = 23, truncated = 0
0.42.635.028 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
