time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789652640.153207,0.011513089999425574,25679,25714,0.0,385970176,5,2142928896,8573157376,49.0,700Mhz,96Mhz,
1789652640.8373744,0.6956817529999171,25679,25714,0.0,385970176,4,2140831744,8573157376,49.0,700Mhz,96Mhz,
1789652641.5052874,1.363594175999424,25679,25714,0.0,385970176,1,2137866240,8573157376,49.0,700Mhz,96Mhz,
1789652642.178922,2.0372286779993374,25679,25714,0.0,385970176,4,2137866240,8573157376,49.0,700Mhz,96Mhz,
1789652642.8577504,2.7160584149996794,25679,25714,0.0,385970176,2,2137866240,8573157376,49.0,700Mhz,96Mhz,
1789652643.5384917,3.396799211999678,25679,25714,0.0,385970176,2,2137866240,8573157376,49.0,700Mhz,96Mhz,
1789652644.208043,4.066349981999338,25679,25714,0.0,385970176,2,2135769088,8573157376,49.0,700Mhz,96Mhz,
1789652644.8714957,4.729802858999392,25679,25714,0.0,385970176,1,2135769088,8573157376,49.0,700Mhz,96Mhz,
1789652645.5414498,5.39975638299984,25679,25714,0.0,385970176,4,2132803584,8573157376,49.0,700Mhz,96Mhz,
1789652646.2027779,6.061085287999958,25679,25714,0.0,385970176,1,2123907072,8573157376,49.0,700Mhz,96Mhz,
1789652646.8768568,6.735163464999459,25679,25714,37.9,386297856,92,2145353728,8573157376,57.0,2635Mhz,1000Mhz,
1789652647.536753,7.395060674999513,25679,25714,53.8,388689920,94,2147942400,8573157376,58.0,2630Mhz,1000Mhz,
1789652648.2237804,8.082086856999922,25679,25714,54.1,393101312,93,2145845248,8573157376,59.0,2630Mhz,1000Mhz,
1789652648.8894308,8.747737575999963,25679,25714,52.9,397508608,95,2145845248,8573157376,59.0,2630Mhz,1000Mhz,
1789652649.5511215,9.409428534999279,25679,25714,7.5,397516800,2,2145845248,8573157376,51.0,700Mhz,96Mhz,
1789652650.2165082,10.07481455099969,25679,25714,0.0,397516800,1,2145845248,8573157376,50.0,700Mhz,96Mhz,
1789652650.8947463,10.753053171999454,25679,25714,0.0,397516800,1,2145845248,8573157376,50.0,700Mhz,96Mhz,
1789652651.5733385,11.431645615999514,25679,25714,0.0,397516800,2,2147942400,8573157376,50.0,700Mhz,96Mhz,
1789652652.2466283,12.104935124999429,25679,25714,0.0,397516800,4,2145845248,8573157376,49.0,700Mhz,96Mhz,
