0.00.043.299 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.043.753 W srv  llama_server: -----------------
0.00.043.755 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.043.756 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.043.756 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.043.756 W srv  llama_server: -----------------
0.00.045.009 I srv    load_model: loading model '/home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/results/models/LFM2.5-2.6B-Q4_0.gguf'
0.01.582.752 I cmn          init: llama threadpool init, n_threads = 4
0.01.623.373 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 1024, kv_unified = 'false'
0.01.628.390 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.01.628.428 I srv  llama_server: model loaded
0.01.628.432 I srv  llama_server: listening on http://127.0.0.1:18023
0.08.603.644 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.08.603.687 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.09.224.954 I slot print_timing: id  3 | task 0 | prompt eval time =      83.24 ms /   128 tokens (    0.65 ms per token,  1537.76 tokens per second)
0.09.224.958 I slot print_timing: id  3 | task 0 |        eval time =     538.00 ms /    64 tokens (    8.54 ms per token,   117.10 tokens per second)
0.09.224.959 I slot print_timing: id  3 | task 0 |       total time =     621.23 ms /   192 tokens
0.09.224.963 I slot print_timing: id  3 | task 0 |    graphs reused =         63
0.09.225.003 I slot      release: id  3 | task 0 | stop processing: n_tokens = 191, truncated = 0
0.09.227.641 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.09.227.663 I slot launch_slot_: id  2 | task 66 | processing task, is_child = 0
0.09.860.895 I slot print_timing: id  2 | task 66 | prompt eval time =      77.71 ms /   128 tokens (    0.61 ms per token,  1647.06 tokens per second)
0.09.860.899 I slot print_timing: id  2 | task 66 |        eval time =     552.10 ms /    64 tokens (    8.76 ms per token,   114.11 tokens per second)
0.09.860.901 I slot print_timing: id  2 | task 66 |       total time =     629.81 ms /   192 tokens
0.09.860.902 I slot print_timing: id  2 | task 66 |    graphs reused =        125
0.09.860.931 I slot      release: id  2 | task 66 | stop processing: n_tokens = 191, truncated = 0
0.09.864.874 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.09.864.902 I slot launch_slot_: id  1 | task 132 | processing task, is_child = 0
0.10.480.317 I slot print_timing: id  1 | task 132 | prompt eval time =      77.47 ms /   128 tokens (    0.61 ms per token,  1652.19 tokens per second)
0.10.480.322 I slot print_timing: id  1 | task 132 |        eval time =     533.52 ms /    64 tokens (    8.47 ms per token,   118.08 tokens per second)
0.10.480.323 I slot print_timing: id  1 | task 132 |       total time =     611.00 ms /   192 tokens
0.10.480.324 I slot print_timing: id  1 | task 132 |    graphs reused =        187
0.10.480.350 I slot      release: id  1 | task 132 | stop processing: n_tokens = 191, truncated = 0
0.10.483.764 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.10.483.810 I slot launch_slot_: id  0 | task 198 | processing task, is_child = 0
0.11.123.407 I slot print_timing: id  0 | task 198 | prompt eval time =      92.10 ms /   128 tokens (    0.72 ms per token,  1389.73 tokens per second)
0.11.123.411 I slot print_timing: id  0 | task 198 |        eval time =     542.71 ms /    64 tokens (    8.61 ms per token,   116.08 tokens per second)
0.11.123.412 I slot print_timing: id  0 | task 198 |       total time =     634.81 ms /   192 tokens
0.11.123.413 I slot print_timing: id  0 | task 198 |    graphs reused =        249
0.11.123.452 I slot      release: id  0 | task 198 | stop processing: n_tokens = 191, truncated = 0
0.18.655.176 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 4628184527
0.18.655.256 I slot launch_slot_: id  3 | task 264 | processing task, is_child = 0
0.19.286.418 I slot print_timing: id  3 | task 264 | prompt eval time =      86.14 ms /   128 tokens (    0.67 ms per token,  1486.02 tokens per second)
0.19.286.424 I slot print_timing: id  3 | task 264 |        eval time =     540.44 ms /    64 tokens (    8.58 ms per token,   116.57 tokens per second)
0.19.286.425 I slot print_timing: id  3 | task 264 |       total time =     626.57 ms /   192 tokens
0.19.286.427 I slot print_timing: id  3 | task 264 |    graphs reused =        311
0.19.286.466 I slot      release: id  3 | task 264 | stop processing: n_tokens = 191, truncated = 0
0.19.290.146 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 4628820454
0.19.290.216 I slot launch_slot_: id  2 | task 331 | processing task, is_child = 0
0.19.294.354 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 4629439874
0.19.294.400 I slot launch_slot_: id  1 | task 330 | processing task, is_child = 0
0.20.117.138 I slot print_timing: id  1 | task 330 | prompt eval time =     206.83 ms /   128 tokens (    1.62 ms per token,   618.86 tokens per second)
0.20.117.143 I slot print_timing: id  1 | task 330 |        eval time =     615.83 ms /    64 tokens (    9.78 ms per token,   102.30 tokens per second)
0.20.117.144 I slot print_timing: id  1 | task 330 |       total time =     822.67 ms /   192 tokens
