time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789611597.0496776,0.012178230004792567,193422,193480,0.0,377872384,3,2173833216,8573157376,50.0,700Mhz,541Mhz,
1789611597.7365394,0.6990412989980541,193422,193480,0.0,377872384,4,2170867712,8573157376,50.0,700Mhz,541Mhz,
1789611598.405742,1.3682431650013314,193422,193480,0.0,377872384,2,2170867712,8573157376,50.0,700Mhz,96Mhz,
1789611599.070857,2.033358243003022,193422,193480,0.0,377872384,2,2170867712,8573157376,50.0,700Mhz,541Mhz,
1789611599.7433116,2.705813646003662,193422,193480,0.0,377872384,1,2161971200,8573157376,50.0,700Mhz,541Mhz,
1789611600.4175894,3.380091031001939,193422,193480,0.0,377872384,2,2161971200,8573157376,50.0,700Mhz,96Mhz,
1789611601.09107,4.053572016004182,193422,193480,0.0,377872384,1,2161971200,8573157376,50.0,700Mhz,96Mhz,
1789611601.763363,4.7258643669993035,193422,193480,0.0,377872384,3,2161971200,8573157376,50.0,700Mhz,96Mhz,
1789611602.4324644,5.394965742001659,193422,193480,0.0,377872384,1,2161971200,8573157376,50.0,800Mhz,96Mhz,
1789611603.2892315,6.251733272001729,193422,193480,0.0,370270208,0,2167033856,8573157376,50.0,800Mhz,96Mhz,
1789611603.963907,6.92640861000109,193422,193480,5.9,353169408,49,2169298944,8573157376,49.0,800Mhz,541Mhz,
1789611604.644531,7.607032757005072,193422,193480,48.8,320245760,94,2187857920,8573157376,58.0,2635Mhz,1000Mhz,
1789611605.3202143,8.28271573800157,193422,193480,41.1,326340608,91,2186350592,8573157376,59.0,2635Mhz,1000Mhz,
1789611606.001268,8.96376927899837,193422,193480,50.3,332201984,92,2191413248,8573157376,59.0,2635Mhz,1000Mhz,
1789611606.676872,9.639373288999195,193422,193480,47.4,338350080,92,2191413248,8573157376,59.0,2630Mhz,1000Mhz,
1789611607.3524268,10.314928056999634,193422,193480,19.3,339075072,3,2191413248,8573157376,52.0,700Mhz,96Mhz,
1789611608.0259802,10.98848224300309,193422,193480,0.0,339075072,3,2191413248,8573157376,51.0,700Mhz,96Mhz,
1789611608.7111378,11.673639392000041,193422,193480,0.0,339075072,5,2189316096,8573157376,50.0,700Mhz,96Mhz,
1789611609.3699348,12.332436358003179,193422,193480,0.0,339075072,4,2189316096,8573157376,50.0,700Mhz,96Mhz,
1789611610.0529702,13.01547155300068,193422,193480,0.0,339075072,3,2193936384,8573157376,50.0,700Mhz,96Mhz,
1789611610.721457,13.683958291003364,193422,193480,0.0,339075072,2,2193936384,8573157376,50.0,700Mhz,96Mhz,
1789611611.3895648,14.352066264000314,193422,193480,0.0,339075072,4,2188005376,8573157376,50.0,700Mhz,96Mhz,
1789611612.0716982,15.034199608002382,193422,193480,0.0,339075072,4,2188005376,8573157376,50.0,700Mhz,96Mhz,
1789611612.753543,15.716044378998049,193422,193480,0.0,339075072,4,2188005376,8573157376,50.0,700Mhz,96Mhz,
1789611613.4277415,16.390242811998178,193422,193480,0.0,339075072,6,2188005376,8573157376,50.0,700Mhz,96Mhz,
1789611614.1167188,17.079220395004086,193422,193480,0.0,339075072,2,2183385088,8573157376,50.0,700Mhz,96Mhz,
1789611614.7900634,17.75256498800445,193422,193480,0.0,339075072,2,2183385088,8573157376,50.0,700Mhz,96Mhz,
1789611615.4624867,18.424987871003395,193422,193480,38.9,344166400,94,2183385088,8573157376,58.0,2635Mhz,1000Mhz,
1789611616.1304076,19.092908732003707,193422,193480,55.0,349908992,89,2187272192,8573157376,60.0,2630Mhz,1000Mhz,
1789611616.8036652,19.76616621499852,193422,193480,52.4,359440384,71,2187272192,8573157376,57.0,2625Mhz,1000Mhz,
