0.00.051.398 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.055.811 W srv  llama_server: -----------------
0.00.055.818 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.055.818 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.055.818 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.055.819 W srv  llama_server: -----------------
0.00.058.177 I srv    load_model: loading model '/home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/results/models/LFM2.5-2.6B-Q4_0.gguf'
0.04.779.734 I cmn          init: llama threadpool init, n_threads = 4
0.04.820.533 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 1024, kv_unified = 'false'
0.04.831.222 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.04.831.270 I srv  llama_server: model loaded
0.04.831.275 I srv  llama_server: listening on http://127.0.0.1:18002
0.12.180.925 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.12.181.229 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.12.925.899 I slot print_timing: id  3 | task 0 | prompt eval time =     205.45 ms /   128 tokens (    1.61 ms per token,   623.03 tokens per second)
0.12.925.912 I slot print_timing: id  3 | task 0 |        eval time =     537.93 ms /    64 tokens (    8.54 ms per token,   117.11 tokens per second)
0.12.925.913 I slot print_timing: id  3 | task 0 |       total time =     743.38 ms /   192 tokens
0.12.925.918 I slot print_timing: id  3 | task 0 |    graphs reused =         63
0.12.962.750 I slot      release: id  3 | task 0 | stop processing: n_tokens = 191, truncated = 0
0.12.966.515 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.12.966.546 I slot launch_slot_: id  2 | task 66 | processing task, is_child = 0
0.13.753.029 I slot print_timing: id  2 | task 66 | prompt eval time =     105.19 ms /   128 tokens (    0.82 ms per token,  1216.89 tokens per second)
0.13.753.033 I slot print_timing: id  2 | task 66 |        eval time =     673.43 ms /    64 tokens (   10.69 ms per token,    93.55 tokens per second)
0.13.753.034 I slot print_timing: id  2 | task 66 |       total time =     778.62 ms /   192 tokens
0.13.761.878 I slot print_timing: id  2 | task 66 |    graphs reused =        125
0.13.785.746 I slot      release: id  2 | task 66 | stop processing: n_tokens = 191, truncated = 0
0.13.790.034 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.13.790.071 I slot launch_slot_: id  1 | task 132 | processing task, is_child = 0
0.14.422.572 I slot print_timing: id  1 | task 132 | prompt eval time =      85.04 ms /   128 tokens (    0.66 ms per token,  1505.14 tokens per second)
0.14.422.577 I slot print_timing: id  1 | task 132 |        eval time =     541.01 ms /    64 tokens (    8.59 ms per token,   116.45 tokens per second)
0.14.422.578 I slot print_timing: id  1 | task 132 |       total time =     626.05 ms /   192 tokens
0.14.422.579 I slot print_timing: id  1 | task 132 |    graphs reused =        187
0.14.490.662 I slot      release: id  1 | task 132 | stop processing: n_tokens = 191, truncated = 0
0.14.494.276 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.14.494.329 I slot launch_slot_: id  0 | task 198 | processing task, is_child = 0
0.15.151.648 I slot print_timing: id  0 | task 198 | prompt eval time =     110.40 ms /   128 tokens (    0.86 ms per token,  1159.46 tokens per second)
0.15.151.654 I slot print_timing: id  0 | task 198 |        eval time =     539.04 ms /    64 tokens (    8.56 ms per token,   116.87 tokens per second)
0.15.151.654 I slot print_timing: id  0 | task 198 |       total time =     649.44 ms /   192 tokens
0.15.151.655 I slot print_timing: id  0 | task 198 |    graphs reused =        249
0.15.307.803 I slot      release: id  0 | task 198 | stop processing: n_tokens = 191, truncated = 0
0.23.216.341 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 45591326452
0.23.216.430 I slot launch_slot_: id  3 | task 264 | processing task, is_child = 0
0.23.865.854 I slot print_timing: id  3 | task 264 | prompt eval time =     100.15 ms /   128 tokens (    0.78 ms per token,  1278.13 tokens per second)
0.23.865.858 I slot print_timing: id  3 | task 264 |        eval time =     541.65 ms /    64 tokens (    8.60 ms per token,   116.31 tokens per second)
0.23.865.859 I slot print_timing: id  3 | task 264 |       total time =     641.80 ms /   192 tokens
0.23.865.860 I slot print_timing: id  3 | task 264 |    graphs reused =        311
0.23.882.775 I slot      release: id  3 | task 264 | stop processing: n_tokens = 191, truncated = 0
0.23.887.145 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 45592149448
0.23.887.229 I slot launch_slot_: id  2 | task 330 | processing task, is_child = 0
0.23.894.113 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 45592854362
0.23.894.174 I slot launch_slot_: id  1 | task 331 | processing task, is_child = 0
0.24.654.911 I slot print_timing: id  1 | task 331 | prompt eval time =     144.23 ms /   128 tokens (    1.13 ms per token,   887.48 tokens per second)
0.24.654.921 I slot print_timing: id  1 | task 331 |        eval time =     616.44 ms /    64 tokens (    9.78 ms per token,   102.20 tokens per second)
0.24.654.924 I slot print_timing: id  1 | task 331 |       total time =     760.67 ms /   192 tokens
0.24.654.925 I slot print_timing: id  1 | task 331 |    graphs reused =        373
0.24.698.806 I slot      release: id  1 | task 331 | stop processing: n_tokens = 191, truncated = 0
0.24.699.254 I slot print_timing: id  2 | task 330 | prompt eval time =     145.25 ms /   128 tokens (    1.13 ms per token,   881.23 tokens per second)
0.24.699.261 I slot print_timing: id  2 | task 330 |        eval time =     659.61 ms /    64 tokens (   10.47 ms per token,    95.51 tokens per second)
0.24.699.262 I slot print_timing: id  2 | task 330 |       total time =     804.86 ms /   192 tokens
0.24.699.264 I slot print_timing: id  2 | task 330 |    graphs reused =        373
0.24.712.666 I slot      release: id  2 | task 330 | stop processing: n_tokens = 191, truncated = 0
0.24.717.280 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 45593671506
0.24.717.355 I slot launch_slot_: id  0 | task 397 | processing task, is_child = 0
0.24.732.195 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 45602246475
0.24.732.246 I slot launch_slot_: id  3 | task 398 | processing task, is_child = 0
0.26.149.620 I slot print_timing: id  0 | task 397 | prompt eval time =     150.04 ms /   128 tokens (    1.17 ms per token,   853.11 tokens per second)
0.26.149.625 I slot print_timing: id  0 | task 397 |        eval time =    1267.27 ms /    64 tokens (   20.12 ms per token,    49.71 tokens per second)
0.26.149.626 I slot print_timing: id  0 | task 397 |       total time =    1417.31 ms /   192 tokens
0.26.149.627 I slot print_timing: id  0 | task 397 |    graphs reused =        373
0.26.163.119 I slot      release: id  0 | task 397 | stop processing: n_tokens = 191, truncated = 0
0.26.163.560 I slot print_timing: id  3 | task 398 | prompt eval time =     151.33 ms /   128 tokens (    1.18 ms per token,   845.82 tokens per second)
0.26.163.564 I slot print_timing: id  3 | task 398 |        eval time =    1279.75 ms /    64 tokens (   20.31 ms per token,    49.23 tokens per second)
0.26.163.564 I slot print_timing: id  3 | task 398 |       total time =    1431.09 ms /   192 tokens
0.26.163.565 I slot print_timing: id  3 | task 398 |    graphs reused =        373
0.26.174.454 I slot      release: id  3 | task 398 | stop processing: n_tokens = 191, truncated = 0
0.26.178.114 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 45603062507
0.26.178.190 I slot launch_slot_: id  1 | task 464 | processing task, is_child = 0
0.26.191.314 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 45603076367
0.26.191.387 I slot launch_slot_: id  2 | task 465 | processing task, is_child = 0
0.26.956.982 I slot print_timing: id  1 | task 464 | prompt eval time =     143.80 ms /   128 tokens (    1.12 ms per token,   890.13 tokens per second)
0.26.956.987 I slot print_timing: id  1 | task 464 |        eval time =     621.73 ms /    64 tokens (    9.87 ms per token,   101.33 tokens per second)
0.26.956.988 I slot print_timing: id  1 | task 464 |       total time =     765.52 ms /   192 tokens
0.26.956.989 I slot print_timing: id  1 | task 464 |    graphs reused =        435
0.26.967.995 I slot      release: id  1 | task 464 | stop processing: n_tokens = 191, truncated = 0
0.26.968.455 I slot print_timing: id  2 | task 465 | prompt eval time =     144.16 ms /   128 tokens (    1.13 ms per token,   887.88 tokens per second)
0.26.968.462 I slot print_timing: id  2 | task 465 |        eval time =     632.61 ms /    64 tokens (   10.04 ms per token,    99.59 tokens per second)
0.26.968.463 I slot print_timing: id  2 | task 465 |       total time =     776.78 ms /   192 tokens
0.26.968.464 I slot print_timing: id  2 | task 465 |    graphs reused =        435
0.26.977.769 I slot      release: id  2 | task 465 | stop processing: n_tokens = 191, truncated = 0
0.34.612.826 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 45604526819
0.34.612.899 I slot launch_slot_: id  0 | task 531 | processing task, is_child = 0
0.35.261.386 I slot print_timing: id  0 | task 531 | prompt eval time =      86.54 ms /   128 tokens (    0.68 ms per token,  1479.05 tokens per second)
0.35.261.393 I slot print_timing: id  0 | task 531 |        eval time =     548.27 ms /    64 tokens (    8.70 ms per token,   114.91 tokens per second)
0.35.261.394 I slot print_timing: id  0 | task 531 |       total time =     634.81 ms /   192 tokens
0.35.261.395 I slot print_timing: id  0 | task 531 |    graphs reused =        497
0.35.268.417 I slot      release: id  0 | task 531 | stop processing: n_tokens = 191, truncated = 0
0.35.273.339 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 45604538155
