time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789609768.0620937,0.009962062002159655,187199,187229,0.0,378859520,4,2292854784,8573157376,49.0,700Mhz,541Mhz,
1789609768.4922307,0.4401001959995483,187199,187229,0.0,378859520,3,2292854784,8573157376,49.0,700Mhz,96Mhz,
1789609768.9216363,0.8695055120042525,187199,187229,0.0,378859520,6,2292854784,8573157376,50.0,700Mhz,541Mhz,
1789609769.346459,1.2943276459991466,187199,187229,0.0,378859520,6,2292854784,8573157376,49.0,715Mhz,541Mhz,
1789609769.766815,1.7146841709982255,187199,187229,0.0,378859520,4,2290757632,8573157376,50.0,700Mhz,96Mhz,
1789609770.197074,2.1449430560023757,187199,187229,0.0,378859520,5,2290757632,8573157376,49.0,700Mhz,541Mhz,
1789609770.6182861,2.5661550799995894,187199,187229,0.0,378859520,2,2290757632,8573157376,49.0,700Mhz,96Mhz,
1789609771.0417588,2.989627470000414,187199,187229,0.0,378859520,4,2292854784,8573157376,49.0,700Mhz,541Mhz,
1789609771.4615374,3.4094065180033795,187199,187229,0.0,378859520,7,2283958272,8573157376,49.0,700Mhz,541Mhz,
1789609771.8830934,3.830962336003722,187199,187229,0.0,378859520,2,2283958272,8573157376,50.0,700Mhz,96Mhz,
1789609772.307093,4.254962101003912,187199,187229,0.0,378859520,5,2281861120,8573157376,49.0,700Mhz,541Mhz,
1789609772.7323408,4.68020991099911,187199,187229,0.0,378859520,2,2281861120,8573157376,50.0,700Mhz,96Mhz,
1789609773.1571357,5.105004375000135,187199,187229,0.0,378859520,4,2278895616,8573157376,50.0,700Mhz,541Mhz,
1789609773.5853217,5.533190556998306,187199,187229,0.0,378859520,2,2278895616,8573157376,50.0,700Mhz,96Mhz,
1789609774.008203,5.956071649998194,187199,187229,0.0,378859520,3,2278895616,8573157376,49.0,700Mhz,96Mhz,
1789609774.4367342,6.384602976002498,187199,187229,0.0,378859520,2,2278895616,8573157376,50.0,700Mhz,96Mhz,
1789609774.8707485,6.818617513999925,187199,187229,49.4,379334656,89,2283466752,8573157376,57.0,2635Mhz,1000Mhz,
1789609775.2753932,7.223262222003541,187199,187229,50.3,384499712,65,2283470848,8573157376,59.0,1940Mhz,1000Mhz,
1789609775.6927187,7.640587462999974,187199,187229,52.0,384499712,94,2283470848,8573157376,58.0,2630Mhz,1000Mhz,
1789609776.1155918,8.063460616001976,187199,187229,53.1,389586944,83,2281373696,8573157376,58.0,2630Mhz,1000Mhz,
1789609776.53015,8.478018455003621,187199,187229,49.4,389586944,94,2281373696,8573157376,58.0,2630Mhz,1000Mhz,
1789609776.955319,8.903188053998747,187199,187229,49.8,395399168,95,2281373696,8573157376,59.0,2630Mhz,1000Mhz,
1789609777.3774323,9.325301258002582,187199,187229,32.4,395399168,2,2281373696,8573157376,54.0,700Mhz,541Mhz,
