0.00.048.032 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.049.300 W srv  llama_server: -----------------
0.00.049.303 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.049.303 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.049.304 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.049.304 W srv  llama_server: -----------------
0.00.050.588 I srv    load_model: loading model '/home/isaac/Escritorio/BenchmarkLLM/models/LFM2.5-2.6B-Q4_K_M/LFM2.5-2.6B-Q4_K_M.gguf'
0.01.662.202 I cmn          init: llama threadpool init, n_threads = 4
0.01.700.802 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 1024, kv_unified = 'false'
0.01.708.653 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.01.708.688 I srv  llama_server: model loaded
0.01.708.693 I srv  llama_server: listening on http://127.0.0.1:18002
0.08.779.088 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.08.779.145 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.09.460.463 I slot print_timing: id  3 | task 0 | prompt eval time =      98.10 ms /   128 tokens (    0.77 ms per token,  1304.75 tokens per second)
0.09.460.467 I slot print_timing: id  3 | task 0 |        eval time =     583.17 ms /    64 tokens (    9.26 ms per token,   108.03 tokens per second)
0.09.460.468 I slot print_timing: id  3 | task 0 |       total time =     681.28 ms /   192 tokens
0.09.460.472 I slot print_timing: id  3 | task 0 |    graphs reused =         63
0.09.460.513 I slot      release: id  3 | task 0 | stop processing: n_tokens = 191, truncated = 0
0.09.476.855 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.09.476.900 I slot launch_slot_: id  2 | task 66 | processing task, is_child = 0
0.10.156.205 I slot print_timing: id  2 | task 66 | prompt eval time =      88.49 ms /   128 tokens (    0.69 ms per token,  1446.51 tokens per second)
0.10.156.213 I slot print_timing: id  2 | task 66 |        eval time =     584.48 ms /    64 tokens (    9.28 ms per token,   107.79 tokens per second)
0.10.156.215 I slot print_timing: id  2 | task 66 |       total time =     672.97 ms /   192 tokens
0.10.156.216 I slot print_timing: id  2 | task 66 |    graphs reused =        125
0.10.156.259 I slot      release: id  2 | task 66 | stop processing: n_tokens = 191, truncated = 0
0.10.160.143 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.10.160.178 I slot launch_slot_: id  1 | task 132 | processing task, is_child = 0
0.10.840.805 I slot print_timing: id  1 | task 132 | prompt eval time =      87.33 ms /   128 tokens (    0.68 ms per token,  1465.62 tokens per second)
0.10.840.809 I slot print_timing: id  1 | task 132 |        eval time =     587.29 ms /    64 tokens (    9.32 ms per token,   107.27 tokens per second)
0.10.840.810 I slot print_timing: id  1 | task 132 |       total time =     674.63 ms /   192 tokens
0.10.840.811 I slot print_timing: id  1 | task 132 |    graphs reused =        187
0.10.840.838 I slot      release: id  1 | task 132 | stop processing: n_tokens = 191, truncated = 0
0.10.844.078 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.10.844.102 I slot launch_slot_: id  0 | task 198 | processing task, is_child = 0
0.11.521.580 I slot print_timing: id  0 | task 198 | prompt eval time =      87.58 ms /   128 tokens (    0.68 ms per token,  1461.49 tokens per second)
0.11.521.585 I slot print_timing: id  0 | task 198 |        eval time =     583.24 ms /    64 tokens (    9.26 ms per token,   108.02 tokens per second)
0.11.521.586 I slot print_timing: id  0 | task 198 |       total time =     670.82 ms /   192 tokens
0.11.521.587 I slot print_timing: id  0 | task 198 |    graphs reused =        249
0.11.521.617 I slot      release: id  0 | task 198 | stop processing: n_tokens = 191, truncated = 0
0.19.277.385 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 43761776657
