time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789657883.7471907,0.013059291999525158,46107,46140,0.0,386682880,3,2120994816,8573157376,49.0,700Mhz,96Mhz,
1789657884.1890538,0.4549234639998758,46107,46140,0.0,386682880,1,2120994816,8573157376,49.0,700Mhz,96Mhz,
1789657884.609893,0.8757623929996043,46107,46140,0.0,386682880,2,2120994816,8573157376,49.0,700Mhz,96Mhz,
1789657885.0407917,1.3066611439990083,46107,46140,0.0,386682880,5,2120994816,8573157376,49.0,700Mhz,96Mhz,
1789657885.4707775,1.7366472449994035,46107,46140,0.0,386682880,1,2120994816,8573157376,49.0,700Mhz,96Mhz,
1789657885.8926733,2.1585425150005904,46107,46140,0.0,386682880,2,2120994816,8573157376,49.0,700Mhz,96Mhz,
1789657886.327854,2.59372323900061,46107,46140,0.0,386682880,2,2120994816,8573157376,49.0,700Mhz,96Mhz,
1789657886.757139,3.0230082329999277,46107,46140,0.0,386682880,3,2120994816,8573157376,49.0,700Mhz,96Mhz,
1789657887.1858685,3.4517379320004693,46107,46140,0.0,386682880,3,2120994816,8573157376,49.0,700Mhz,96Mhz,
1789657887.6077094,3.8735787810001057,46107,46140,0.0,386682880,1,2120994816,8573157376,49.0,700Mhz,96Mhz,
1789657888.023025,4.2888943329999165,46107,46140,0.0,386682880,1,2120998912,8573157376,49.0,700Mhz,96Mhz,
1789657888.4559262,4.721795354000278,46107,46140,0.0,386682880,1,2120998912,8573157376,49.0,700Mhz,96Mhz,
1789657888.8755548,5.141424380999524,46107,46140,0.0,386682880,2,2120998912,8573157376,49.0,700Mhz,96Mhz,
1789657889.3054674,5.571336601999064,46107,46140,0.0,386682880,3,2120998912,8573157376,49.0,700Mhz,96Mhz,
1789657889.7195885,5.985457802000383,46107,46140,0.0,386682880,7,2120998912,8573157376,49.0,700Mhz,96Mhz,
1789657890.1618686,6.427737977999641,46107,46140,37.2,386887680,92,2142445568,8573157376,55.0,2635Mhz,1000Mhz,
1789657890.5653625,6.831231550999291,46107,46140,54.2,386895872,92,2142445568,8573157376,58.0,2635Mhz,1000Mhz,
1789657890.9716692,7.237538261999362,46107,46140,43.4,393621504,84,2143199232,8573157376,58.0,2630Mhz,1000Mhz,
1789657891.3868937,7.652762753999923,46107,46140,60.8,393633792,81,2143199232,8573157376,61.0,2630Mhz,1000Mhz,
1789657891.7980046,8.063874093999402,46107,46140,55.4,400203776,97,2143195136,8573157376,57.0,2630Mhz,1000Mhz,
1789657892.2130759,8.478944763999607,46107,46140,50.0,401739776,91,2143195136,8573157376,61.0,2630Mhz,1000Mhz,
1789657892.6330264,8.89889535399925,46107,46140,57.6,401752064,89,2143195136,8573157376,62.0,2630Mhz,1000Mhz,
1789657893.0499053,9.315774822000094,46107,46140,50.5,409927680,99,2143195136,8573157376,63.0,2630Mhz,1000Mhz,
1789657893.4659245,9.731793721999566,46107,46140,52.9,411463680,91,2143195136,8573157376,62.0,2630Mhz,1000Mhz,
1789657893.8820155,10.147885112999575,46107,46140,62.7,411463680,82,2143195136,8573157376,63.0,2630Mhz,1000Mhz,
1789657894.2966871,10.56255615900045,46107,46140,43.4,421134336,96,2143195136,8573157376,62.0,2625Mhz,1000Mhz,
1789657894.7114632,10.977332075999584,46107,46140,61.2,421134336,82,2143195136,8573157376,63.0,2620Mhz,1000Mhz,
1789657895.1525304,11.418400020000263,46107,46140,60.6,429252608,29,2143195136,8573157376,63.0,700Mhz,675Mhz,
1789657895.5814545,11.847323721000066,46107,46140,46.3,429252608,92,2143195136,8573157376,63.0,2625Mhz,1000Mhz,
1789657896.0152528,12.281122111000514,46107,46140,51.6,429252608,88,2148253696,8573157376,62.0,2630Mhz,1000Mhz,
1789657896.4589007,12.7247699010004,46107,46140,51.1,437366784,97,2148253696,8573157376,63.0,2625Mhz,1000Mhz,
1789657896.870173,13.136041792999094,46107,46140,50.4,437366784,85,2148253696,8573157376,64.0,2625Mhz,1000Mhz,
1789657897.2865713,13.552440175999436,46107,46140,61.3,437366784,91,2148253696,8573157376,64.0,2625Mhz,1000Mhz,
1789657897.7108326,13.976701989999128,46107,46140,43.4,441778176,46,2148253696,8573157376,65.0,700Mhz,675Mhz,
1789657898.1490972,14.41496672500034,46107,46140,61.7,443314176,90,2146156544,8573157376,65.0,2625Mhz,1000Mhz,
1789657898.5867786,14.852648004000002,46107,46140,60.7,451420160,30,2146156544,8573157376,64.0,700Mhz,541Mhz,
1789657899.0151803,15.281049289998919,46107,46140,44.8,451420160,91,2146156544,8573157376,64.0,2625Mhz,1000Mhz,
1789657899.439246,15.705114741000216,46107,46140,56.8,451420160,82,2146156544,8573157376,65.0,2625Mhz,1000Mhz,
1789657899.861939,16.127807929000483,46107,46140,52.9,457506816,98,2146156544,8573157376,66.0,2625Mhz,1000Mhz,
1789657900.2775989,16.543467704999784,46107,46140,56.2,457506816,71,2146156544,8573157376,65.0,2625Mhz,1000Mhz,
1789657900.7044039,16.970273384000393,46107,46140,61.9,457506816,91,2146156544,8573157376,66.0,2625Mhz,1000Mhz,
1789657901.1246274,17.39049673699992,46107,46140,40.4,467148800,78,2146156544,8573157376,64.0,890Mhz,1000Mhz,
1789657901.545007,17.810875930999828,46107,46140,66.7,467148800,88,2143191040,8573157376,65.0,2625Mhz,1000Mhz,
1789657901.9649932,18.230861951000406,46107,46140,57.1,475258880,67,2143191040,8573157376,63.0,700Mhz,541Mhz,
1789657902.4031084,18.66897793499993,46107,46140,47.4,475258880,84,2143191040,8573157376,65.0,2625Mhz,1000Mhz,
1789657902.8253596,19.091228518000207,46107,46140,60.5,475258880,82,2143191040,8573157376,66.0,2625Mhz,1000Mhz,
1789657903.2553332,19.521202448999247,46107,46140,48.7,479313920,99,2143191040,8573157376,67.0,2625Mhz,1000Mhz,
1789657903.6661892,19.932059097000092,46107,46140,57.0,479313920,85,2143191040,8573157376,66.0,2625Mhz,1000Mhz,
1789657904.086838,20.352707013000327,46107,46140,59.7,479313920,82,2143191040,8573157376,67.0,2625Mhz,1000Mhz,
1789657904.522407,20.7882763409998,46107,46140,43.3,481345536,89,2143191040,8573157376,65.0,2625Mhz,1000Mhz,
1789657904.937964,21.20383296699947,46107,46140,65.8,481345536,84,2143191040,8573157376,67.0,2625Mhz,1000Mhz,
1789657905.3481383,21.614007596999727,46107,46140,60.9,487424000,20,2143191040,8573157376,66.0,700Mhz,541Mhz,
1789657905.7748792,22.040748846000497,46107,46140,42.8,487424000,87,2143191040,8573157376,66.0,2625Mhz,1000Mhz,
1789657906.195115,22.46098415800043,46107,46140,62.7,487424000,92,2143191040,8573157376,67.0,2625Mhz,1000Mhz,
1789657906.6255124,22.891381933999583,46107,46140,45.6,493862912,99,2143191040,8573157376,68.0,2625Mhz,1000Mhz,
1789657907.042196,23.30806492100055,46107,46140,56.6,495398912,82,2143191040,8573157376,68.0,2620Mhz,1000Mhz,
1789657907.466061,23.731929940000555,46107,46140,62.9,495398912,89,2143191040,8573157376,68.0,2620Mhz,1000Mhz,
1789657907.8952997,24.161169033999613,46107,46140,44.8,501841920,84,2143191040,8573157376,67.0,2625Mhz,1000Mhz,
1789657908.3191643,24.58503308299987,46107,46140,60.1,501841920,81,2143191040,8573157376,68.0,2625Mhz,1000Mhz,
1789657908.735217,25.001086332998966,46107,46140,57.9,503873536,99,2143191040,8573157376,65.0,2625Mhz,1000Mhz,
1789657909.1494784,25.415347694999582,46107,46140,51.5,503873536,82,2143191040,8573157376,67.0,2625Mhz,1000Mhz,
1789657909.5765324,25.842401296999014,46107,46140,61.8,503873536,82,2143191040,8573157376,68.0,2625Mhz,1000Mhz,
1789657909.9971225,26.262991912999496,46107,46140,40.7,508289024,99,2143191040,8573157376,69.0,2460Mhz,1000Mhz,
1789657910.41447,26.680339667000226,46107,46140,60.0,508289024,78,2143191040,8573157376,68.0,2625Mhz,1000Mhz,
1789657910.8306623,27.096531318000416,46107,46140,61.6,508289024,91,2143191040,8573157376,69.0,2625Mhz,1000Mhz,
1789657911.2527783,27.518647929999133,46107,46140,41.5,515452928,83,2143191040,8573157376,66.0,2625Mhz,1000Mhz,
1789657911.6864557,27.952324748999672,46107,46140,61.2,515452928,86,2143191040,8573157376,69.0,2625Mhz,1000Mhz,
1789657912.1112883,28.37715709800068,46107,46140,58.6,519503872,97,2143191040,8573157376,65.0,2625Mhz,1000Mhz,
1789657912.537628,28.80349702300009,46107,46140,47.9,519503872,90,2143191040,8573157376,68.0,2625Mhz,1000Mhz,
1789657912.9551265,29.2209959970005,46107,46140,60.1,519503872,91,2143191040,8573157376,69.0,2625Mhz,1000Mhz,
1789657913.388012,29.65388122799959,46107,46140,44.0,525946880,99,2143191040,8573157376,70.0,2470Mhz,1000Mhz,
1789657913.8194284,30.085297883999374,46107,46140,57.9,527482880,90,2143191040,8573157376,69.0,2620Mhz,1000Mhz,
1789657914.23416,30.500028901000405,46107,46140,64.4,527482880,86,2143191040,8573157376,69.0,2620Mhz,1000Mhz,
1789657914.6535952,30.919464156000686,46107,46140,44.3,533561344,74,2143191040,8573157376,68.0,2620Mhz,1000Mhz,
1789657915.0819812,31.347849630999917,46107,46140,61.1,533561344,84,2143191040,8573157376,68.0,2620Mhz,1000Mhz,
1789657915.4914517,31.7573210139999,46107,46140,55.6,535588864,99,2143191040,8573157376,68.0,2625Mhz,1000Mhz,
1789657915.9231315,32.18900058299914,46107,46140,48.7,535588864,85,2143191040,8573157376,69.0,2620Mhz,1000Mhz,
1789657916.3337157,32.59958491699945,46107,46140,59.5,535588864,83,2143191040,8573157376,70.0,2620Mhz,1000Mhz,
1789657916.7537265,33.01959548800005,46107,46140,47.3,541667328,98,2143191040,8573157376,70.0,2460Mhz,1000Mhz,
1789657917.1768346,33.44270372000028,46107,46140,60.7,541667328,85,2143191040,8573157376,69.0,2620Mhz,1000Mhz,
1789657917.5885003,33.85436931500044,46107,46140,59.5,541667328,83,2143191040,8573157376,70.0,2620Mhz,1000Mhz,
1789657918.008684,34.27455319699948,46107,46140,42.2,543690752,82,2143191040,8573157376,67.0,2620Mhz,1000Mhz,
1789657918.4356704,34.70153984799981,46107,46140,61.1,543690752,86,2143191040,8573157376,70.0,2620Mhz,1000Mhz,
1789657918.8615167,35.12738619799893,46107,46140,53.4,547749888,96,2143191040,8573157376,66.0,2625Mhz,1000Mhz,
1789657919.2922869,35.558155867000096,46107,46140,50.1,547749888,88,2143191040,8573157376,69.0,2620Mhz,1000Mhz,
1789657919.7116315,35.97750080100013,46107,46140,63.2,547749888,83,2143191040,8573157376,70.0,2620Mhz,1000Mhz,
1789657920.1387656,36.40463464300046,46107,46140,48.8,553828352,99,2143195136,8573157376,70.0,2625Mhz,1000Mhz,
1789657920.5484896,36.81435899899952,46107,46140,56.2,553828352,86,2143195136,8573157376,69.0,2620Mhz,1000Mhz,
1789657920.975266,37.24113534800017,46107,46140,57.5,553828352,89,2143195136,8573157376,70.0,2620Mhz,1000Mhz,
