time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789659252.9510512,0.012548226999570034,50595,50627,0.0,312139776,1,1941254144,8573157376,49.0,700Mhz,96Mhz,
1789659253.3925397,0.45403790599993954,50595,50627,0.0,312139776,0,1941254144,8573157376,49.0,700Mhz,96Mhz,
1789659253.8179433,0.8794411919989216,50595,50627,0.0,312139776,2,1941254144,8573157376,49.0,700Mhz,96Mhz,
1789659254.237546,1.2990439089990105,50595,50627,0.0,312139776,0,1941254144,8573157376,49.0,700Mhz,96Mhz,
1789659254.6504154,1.7119130679984664,50595,50627,0.0,312139776,1,1939156992,8573157376,50.0,700Mhz,96Mhz,
1789659255.0720286,2.133526465999239,50595,50627,0.0,312139776,1,1939156992,8573157376,49.0,700Mhz,96Mhz,
1789659255.4951532,2.556651528999282,50595,50627,0.0,312139776,4,1939156992,8573157376,49.0,700Mhz,96Mhz,
1789659255.9264708,2.9879685749983764,50595,50627,0.0,312139776,3,1939156992,8573157376,49.0,700Mhz,96Mhz,
1789659256.3422458,3.403743812999892,50595,50627,0.0,312139776,5,1939156992,8573157376,49.0,700Mhz,96Mhz,
1789659256.7739577,3.835455402999287,50595,50627,0.0,312139776,3,1939156992,8573157376,49.0,700Mhz,96Mhz,
1789659257.1857119,4.247209911000027,50595,50627,0.0,312139776,2,1939156992,8573157376,49.0,700Mhz,96Mhz,
1789659257.6086571,4.670155011999668,50595,50627,0.0,312139776,7,1939156992,8573157376,50.0,700Mhz,96Mhz,
1789659258.0228002,5.084297913999762,50595,50627,0.0,312139776,5,1939156992,8573157376,49.0,700Mhz,96Mhz,
1789659258.441503,5.50300093199985,50595,50627,0.0,312139776,5,1939156992,8573157376,49.0,700Mhz,96Mhz,
1789659258.8616707,5.923168414999964,50595,50627,0.0,312139776,6,1939156992,8573157376,49.0,700Mhz,96Mhz,
1789659259.2717292,6.333226915998239,50595,50627,0.0,312139776,5,1939156992,8573157376,49.0,700Mhz,96Mhz,
1789659259.6874585,6.748956293999072,50595,50627,33.3,335572992,3,1942233088,8573157376,55.0,700Mhz,96Mhz,
1789659260.1072469,7.168744652999521,50595,50627,101.5,377982976,7,1942233088,8573157376,50.0,700Mhz,96Mhz,
1789659260.5405464,7.602044108998598,50595,50627,97.9,379170816,8,1942233088,8573157376,50.0,700Mhz,96Mhz,
