time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789659088.499484,0.014026762000867166,49987,50025,0.0,225361920,2,1944346624,8573157376,50.0,700Mhz,96Mhz,
1789659088.928461,0.443004804001248,49987,50025,0.0,225361920,3,1944346624,8573157376,49.0,700Mhz,96Mhz,
1789659089.3594701,0.874013497001215,49987,50025,0.0,225361920,4,1944346624,8573157376,49.0,700Mhz,96Mhz,
1789659089.7804835,1.2950269690009009,49987,50025,0.0,225361920,2,1944346624,8573157376,49.0,700Mhz,96Mhz,
1789659090.203752,1.7182960230002209,49987,50025,0.0,225361920,4,1944346624,8573157376,49.0,700Mhz,96Mhz,
1789659090.6271236,2.1416671490005683,49987,50025,0.0,225361920,1,1942249472,8573157376,49.0,700Mhz,96Mhz,
1789659091.055296,2.5698400729997957,49987,50025,0.0,225361920,2,1942249472,8573157376,50.0,700Mhz,96Mhz,
1789659091.4843307,2.9988742450004793,49987,50025,0.0,225361920,2,1942249472,8573157376,49.0,700Mhz,96Mhz,
1789659091.8989599,3.413503261999722,49987,50025,0.0,225361920,4,1942249472,8573157376,49.0,700Mhz,96Mhz,
1789659092.3162706,3.830814165999982,49987,50025,0.0,225361920,5,1942249472,8573157376,50.0,700Mhz,96Mhz,
1789659092.7388642,4.253407584001252,49987,50025,0.0,225361920,7,1942249472,8573157376,49.0,700Mhz,96Mhz,
1789659093.1571226,4.671666227999594,49987,50025,0.0,225361920,3,1942249472,8573157376,49.0,700Mhz,96Mhz,
1789659093.5815156,5.096059213999979,49987,50025,0.0,225361920,6,1942249472,8573157376,49.0,700Mhz,96Mhz,
1789659094.0033908,5.517935054000191,49987,50025,0.0,225361920,7,1942249472,8573157376,49.0,700Mhz,96Mhz,
1789659094.4264128,5.940956156000539,49987,50025,0.0,225361920,4,1942249472,8573157376,49.0,700Mhz,96Mhz,
1789659094.8507903,6.365333601001112,49987,50025,0.0,225361920,3,1942249472,8573157376,49.0,700Mhz,96Mhz,
1789659095.2793818,6.793925140000283,49987,50025,14.2,225628160,99,1944231936,8573157376,58.0,2635Mhz,1000Mhz,
1789659095.7025752,7.2171189630007575,49987,50025,26.2,225628160,99,1944756224,8573157376,61.0,2625Mhz,1000Mhz,
1789659096.1224236,7.63696683300077,49987,50025,28.4,225628160,58,1944756224,8573157376,63.0,2625Mhz,1000Mhz,
1789659096.5444286,8.058972284999982,49987,50025,52.9,225824768,93,1944756224,8573157376,58.0,2630Mhz,1000Mhz,
1789659096.9604802,8.475023446000705,49987,50025,50.2,225824768,92,1941790720,8573157376,59.0,2630Mhz,1000Mhz,
1789659097.3785603,8.893103788001099,49987,50025,54.6,225824768,95,1941790720,8573157376,59.0,2630Mhz,1000Mhz,
1789659097.8001645,9.31470767599967,49987,50025,53.3,225828864,90,1941790720,8573157376,58.0,2630Mhz,1000Mhz,
1789659098.2316685,9.746211824000056,49987,50025,53.9,225865728,92,1941790720,8573157376,58.0,2630Mhz,1000Mhz,
1789659098.658335,10.172878802999548,49987,50025,55.9,225865728,93,1941790720,8573157376,59.0,2630Mhz,1000Mhz,
1789659099.069318,10.58386109300045,49987,50025,51.9,226631680,63,1941790720,8573157376,59.0,700Mhz,675Mhz,
1789659099.4936347,11.008178527999917,49987,50025,24.2,226631680,94,1941790720,8573157376,64.0,2630Mhz,1000Mhz,
1789659099.9066064,11.42115000800004,49987,50025,26.5,226631680,99,1941790720,8573157376,65.0,2630Mhz,1000Mhz,
1789659100.3217833,11.836326570000892,49987,50025,27.8,226631680,99,1941790720,8573157376,65.0,2620Mhz,1000Mhz,
1789659100.7533975,12.267941379001059,49987,50025,21.6,226631680,99,1941790720,8573157376,65.0,2620Mhz,1000Mhz,
1789659101.1694617,12.684005090999563,49987,50025,31.2,226648064,98,1941790720,8573157376,66.0,2625Mhz,1000Mhz,
1789659101.5857763,13.10031967500072,49987,50025,23.8,226648064,99,1941790720,8573157376,66.0,2625Mhz,1000Mhz,
1789659102.0061529,13.520696640000097,49987,50025,23.8,226648064,98,1941790720,8573157376,66.0,2625Mhz,1000Mhz,
1789659102.4263556,13.940898992999792,49987,50025,26.0,226648064,96,1941790720,8573157376,66.0,2625Mhz,1000Mhz,
1789659102.8496535,14.36419695800032,49987,50025,21.3,226648064,99,1941790720,8573157376,67.0,2625Mhz,1000Mhz,
1789659103.2716718,14.78621518,49987,50025,34.8,226648064,90,1941790720,8573157376,62.0,2625Mhz,1000Mhz,
1789659103.702596,15.217139192000104,49987,50025,52.0,226648064,87,1941790720,8573157376,61.0,2625Mhz,1000Mhz,
1789659104.1257648,15.64030820500011,49987,50025,50.8,226648064,96,1941790720,8573157376,61.0,2625Mhz,1000Mhz,
1789659104.5396197,16.054162563999853,49987,50025,43.0,226648064,83,1941790720,8573157376,61.0,2625Mhz,1000Mhz,
