time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789659165.4232972,0.014031681999767898,50285,50317,0.0,386850816,3,2087956480,8573157376,50.0,700Mhz,96Mhz,
1789659165.8669064,0.457642092000242,50285,50317,0.0,386850816,5,2087956480,8573157376,50.0,700Mhz,96Mhz,
1789659166.2705648,0.8613003480004409,50285,50317,0.0,386850816,2,2087956480,8573157376,49.0,700Mhz,96Mhz,
1789659166.6838524,1.274587451998741,50285,50317,0.0,386850816,4,2087956480,8573157376,49.0,700Mhz,96Mhz,
1789659167.105261,1.6959964369998488,50285,50317,0.0,386850816,4,2087956480,8573157376,49.0,700Mhz,96Mhz,
1789659167.5187216,2.109456701999079,50285,50317,0.0,386850816,3,2087956480,8573157376,49.0,700Mhz,96Mhz,
1789659167.9435656,2.5343007829997077,50285,50317,0.0,386850816,3,2087956480,8573157376,50.0,700Mhz,96Mhz,
1789659168.375692,2.96642701699966,50285,50317,0.0,386850816,4,2087956480,8573157376,50.0,700Mhz,96Mhz,
1789659168.789447,3.380182144999708,50285,50317,0.0,386850816,2,2087956480,8573157376,49.0,700Mhz,96Mhz,
1789659169.2176461,3.8083808889987267,50285,50317,0.0,386850816,3,2087956480,8573157376,49.0,700Mhz,96Mhz,
1789659169.63052,4.221255159000066,50285,50317,0.0,386850816,4,2087956480,8573157376,49.0,700Mhz,96Mhz,
1789659170.0461116,4.636846814999444,50285,50317,0.0,386850816,5,2087956480,8573157376,49.0,700Mhz,96Mhz,
1789659170.471888,5.062622954999824,50285,50317,0.0,386850816,5,2087956480,8573157376,49.0,700Mhz,96Mhz,
1789659170.8878417,5.478576944999077,50285,50317,0.0,386850816,2,2087956480,8573157376,50.0,700Mhz,96Mhz,
1789659171.3115482,5.9022831639995275,50285,50317,0.0,386850816,1,2087956480,8573157376,49.0,700Mhz,96Mhz,
1789659171.7334297,6.324164994999592,50285,50317,0.0,386850816,3,2087956480,8573157376,49.0,700Mhz,96Mhz,
1789659172.171276,6.762011016999168,50285,50317,30.9,387141632,99,2092527616,8573157376,61.0,2490Mhz,1000Mhz,
1789659172.5922065,7.182942096998886,50285,50317,30.6,387141632,99,2094628864,8573157376,62.0,2520Mhz,1000Mhz,
1789659173.0175104,7.6082461219994,50285,50317,51.3,387207168,96,2095677440,8573157376,58.0,2630Mhz,1000Mhz,
1789659173.4466348,8.037369636000221,50285,50317,55.1,387207168,97,2095677440,8573157376,58.0,2630Mhz,1000Mhz,
1789659173.8819382,8.472673221998775,50285,50317,47.4,387207168,93,2095677440,8573157376,58.0,2630Mhz,1000Mhz,
1789659174.303867,8.894602352998845,50285,50317,47.0,387207168,95,2095677440,8573157376,59.0,2630Mhz,1000Mhz,
1789659174.7081234,9.298858684998777,50285,50317,50.5,387227648,94,2095677440,8573157376,58.0,2630Mhz,1000Mhz,
