time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789659416.4871705,0.010485675999007071,51155,51193,0.0,225349632,4,2261737472,8573157376,49.0,700Mhz,96Mhz,
1789659416.9144661,0.4377819820001605,51155,51193,0.0,225349632,4,2261737472,8573157376,49.0,700Mhz,96Mhz,
1789659417.3285608,0.8518766430006508,51155,51193,0.0,225349632,2,2261737472,8573157376,49.0,700Mhz,96Mhz,
1789659417.74627,1.2695856609989278,51155,51193,0.0,225349632,1,2261737472,8573157376,49.0,700Mhz,96Mhz,
1789659418.1685646,1.691880685999422,51155,51193,0.0,225349632,1,2261737472,8573157376,49.0,700Mhz,96Mhz,
1789659418.5857167,2.1090324180004245,51155,51193,0.0,225349632,2,2261737472,8573157376,49.0,700Mhz,96Mhz,
1789659419.012271,2.5355870259991207,51155,51193,0.0,225349632,0,2261737472,8573157376,49.0,700Mhz,96Mhz,
1789659419.4362655,2.9595809980000922,51155,51193,0.0,225349632,4,2261737472,8573157376,49.0,700Mhz,96Mhz,
1789659419.8593864,3.382701921000262,51155,51193,0.0,225349632,2,2261737472,8573157376,49.0,700Mhz,96Mhz,
1789659420.2780783,3.8013944790000096,51155,51193,0.0,225349632,7,2266800128,8573157376,49.0,700Mhz,96Mhz,
1789659420.697064,4.220380389999264,51155,51193,0.0,225349632,2,2266800128,8573157376,49.0,700Mhz,96Mhz,
1789659421.1248713,4.648186899999928,51155,51193,0.0,225349632,1,2266800128,8573157376,49.0,700Mhz,96Mhz,
1789659421.5417247,5.065040780000345,51155,51193,0.0,225349632,2,2266800128,8573157376,49.0,700Mhz,96Mhz,
1789659421.9571028,5.4804188839989365,51155,51193,0.0,225349632,0,2266800128,8573157376,49.0,700Mhz,96Mhz,
1789659422.3900578,5.913373547000447,51155,51193,0.0,225349632,6,2264702976,8573157376,49.0,700Mhz,96Mhz,
1789659422.8121827,6.3354990299994824,51155,51193,0.0,225349632,2,2264702976,8573157376,49.0,700Mhz,96Mhz,
1789659423.2292979,6.752613701999508,51155,51193,30.8,227934208,80,2267205632,8573157376,61.0,2625Mhz,1000Mhz,
1789659423.6515634,7.174879345999216,51155,51193,23.6,227934208,99,2267205632,8573157376,62.0,2590Mhz,1000Mhz,
1789659424.0746138,7.597929617999398,51155,51193,26.6,227934208,97,2267205632,8573157376,63.0,2615Mhz,1000Mhz,
1789659424.4882672,8.011583344999963,51155,51193,26.2,227934208,99,2267205632,8573157376,64.0,2585Mhz,1000Mhz,
1789659424.9074953,8.430810698000641,51155,51193,29.8,227950592,96,2267209728,8573157376,64.0,2625Mhz,1000Mhz,
1789659425.3096802,8.832996060000369,51155,51193,24.0,227950592,99,2267209728,8573157376,64.0,2585Mhz,1000Mhz,
1789659425.72688,9.250196011998923,51155,51193,27.3,227950592,98,2267209728,8573157376,64.0,2625Mhz,1000Mhz,
1789659426.1293778,9.65269382599945,51155,51193,24.4,227950592,99,2264244224,8573157376,65.0,2625Mhz,1000Mhz,
1789659426.5397627,10.06307890899916,51155,51193,26.3,227950592,99,2264244224,8573157376,64.0,2600Mhz,1000Mhz,
1789659426.9582999,10.481616004999523,51155,51193,26.0,227950592,99,2264244224,8573157376,65.0,2605Mhz,1000Mhz,
1789659427.3809555,10.904271642999447,51155,51193,31.3,227950592,99,2264342528,8573157376,66.0,2550Mhz,1000Mhz,
1789659427.796262,11.319578597000145,51155,51193,24.2,227950592,99,2264342528,8573157376,66.0,2580Mhz,1000Mhz,
1789659428.2102654,11.73358112799906,51155,51193,31.5,227950592,97,2264342528,8573157376,66.0,2625Mhz,1000Mhz,
1789659428.6234455,12.146761320000223,51155,51193,25.9,227950592,99,2264338432,8573157376,67.0,2560Mhz,1000Mhz,
1789659429.0478585,12.571174315999087,51155,51193,31.0,228040704,25,2264338432,8573157376,66.0,700Mhz,675Mhz,
1789659429.467145,12.990460699998948,51155,51193,26.9,228040704,99,2264338432,8573157376,67.0,2550Mhz,1000Mhz,
1789659429.8755987,13.398914415000036,51155,51193,22.0,228040704,99,2264338432,8573157376,70.0,2615Mhz,1000Mhz,
1789659430.2844944,13.807810143000097,51155,51193,25.9,228040704,99,2264338432,8573157376,67.0,2565Mhz,1000Mhz,
1789659430.7087035,14.232019406999825,51155,51193,28.4,228040704,99,2264338432,8573157376,69.0,2570Mhz,1000Mhz,
1789659431.1318495,14.655165259999194,51155,51193,26.0,228040704,99,2264338432,8573157376,67.0,2580Mhz,1000Mhz,
1789659431.5553305,15.078646546999153,51155,51193,28.5,228171776,99,2264338432,8573157376,67.0,2625Mhz,1000Mhz,
1789659431.9763033,15.499619668000378,51155,51193,26.0,228171776,99,2264338432,8573157376,68.0,2580Mhz,1000Mhz,
1789659432.3988023,15.922117963998971,51155,51193,26.2,228171776,96,2264338432,8573157376,68.0,2615Mhz,1000Mhz,
1789659432.8180008,16.341317026999604,51155,51193,24.0,228171776,99,2269405184,8573157376,68.0,2570Mhz,1000Mhz,
1789659433.2339149,16.757230817000163,51155,51193,28.2,228171776,94,2269405184,8573157376,68.0,2620Mhz,1000Mhz,
1789659433.659306,17.18262169300033,51155,51193,31.3,228188160,98,2269405184,8573157376,68.0,2625Mhz,1000Mhz,
1789659434.0751565,17.59847278199959,51155,51193,26.4,228188160,99,2269405184,8573157376,69.0,2565Mhz,1000Mhz,
1789659434.4916553,18.014972017999753,51155,51193,23.6,228188160,99,2267308032,8573157376,69.0,2595Mhz,1000Mhz,
1789659434.9160948,18.439410704000693,51155,51193,28.4,228188160,99,2267308032,8573157376,69.0,2565Mhz,1000Mhz,
1789659435.3381433,18.86145920600029,51155,51193,26.4,228188160,99,2267308032,8573157376,69.0,2570Mhz,1000Mhz,
1789659435.7554808,19.27879675999975,51155,51193,32.4,228188160,99,2267308032,8573157376,69.0,2620Mhz,1000Mhz,
1789659436.1876442,19.710959845000616,51155,51193,23.8,228188160,99,2267308032,8573157376,69.0,2565Mhz,1000Mhz,
1789659436.6073418,20.130657862999215,51155,51193,23.7,228188160,99,2267308032,8573157376,69.0,2570Mhz,1000Mhz,
1789659437.0301383,20.5534539220007,51155,51193,25.9,228188160,99,2267308032,8573157376,68.0,2570Mhz,1000Mhz,
1789659437.4544554,20.97777155699987,51155,51193,26.3,228188160,96,2267308032,8573157376,69.0,2620Mhz,1000Mhz,
1789659437.87216,21.39547594599935,51155,51193,28.5,228188160,99,2267308032,8573157376,69.0,2620Mhz,1000Mhz,
1789659438.2930033,21.816318954999588,51155,51193,26.6,228188160,99,2264342528,8573157376,70.0,2590Mhz,1000Mhz,
1789659438.7066126,22.22992868199981,51155,51193,27.5,228188160,95,2264342528,8573157376,69.0,2620Mhz,1000Mhz,
1789659439.1434913,22.66680727399944,51155,51193,60.0,228188160,88,2264342528,8573157376,68.0,2620Mhz,1000Mhz,
1789659439.576489,23.099804677000066,51155,51193,55.0,228188160,85,2264342528,8573157376,68.0,2620Mhz,1000Mhz,
1789659440.0130286,23.536344476000522,51155,51193,57.2,228188160,76,2264342528,8573157376,67.0,2620Mhz,1000Mhz,
1789659440.450363,23.97367851299896,51155,51193,58.8,228188160,87,2264342528,8573157376,67.0,2620Mhz,1000Mhz,
1789659440.8757737,24.399089188998914,51155,51193,58.2,228188160,81,2264342528,8573157376,67.0,2620Mhz,1000Mhz,
1789659441.2878823,24.811197940000056,51155,51193,56.9,228188160,89,2264342528,8573157376,67.0,2620Mhz,1000Mhz,
1789659441.7094932,25.23280894799973,51155,51193,57.8,228188160,78,2264342528,8573157376,67.0,2620Mhz,1000Mhz,
1789659442.124812,25.64812768199954,51155,51193,60.6,228188160,85,2264342528,8573157376,67.0,2620Mhz,1000Mhz,
1789659442.5373166,26.060632246999376,51155,51193,59.7,228188160,85,2264342528,8573157376,67.0,2620Mhz,1000Mhz,
1789659442.9557528,26.479068751999876,51155,51193,59.5,228188160,88,2264342528,8573157376,68.0,2620Mhz,1000Mhz,
1789659443.3763485,26.899664169999596,51155,51193,58.9,228188160,87,2264342528,8573157376,67.0,2620Mhz,1000Mhz,
1789659443.8009405,27.324256317999243,51155,51193,57.7,228188160,91,2264342528,8573157376,67.0,2620Mhz,1000Mhz,
1789659444.2169354,27.740250998000192,51155,51193,56.6,228188160,89,2264342528,8573157376,68.0,2620Mhz,1000Mhz,
1789659444.6407058,28.164021438000418,51155,51193,62.7,228188160,83,2264342528,8573157376,68.0,2620Mhz,1000Mhz,
1789659445.0555022,28.578817875999448,51155,51193,57.4,228188160,79,2264342528,8573157376,67.0,2620Mhz,1000Mhz,
1789659445.4735377,28.99685366799895,51155,51193,57.3,228188160,88,2264342528,8573157376,68.0,2620Mhz,1000Mhz,
1789659445.89235,29.415665956999874,51155,51193,56.4,228253696,88,2264342528,8573157376,68.0,2620Mhz,1000Mhz,
