time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789658403.7117074,0.010417646000860259,47570,47642,0.0,221511680,4,2070319104,8573157376,49.0,700Mhz,96Mhz,
1789658404.134586,0.43329794500095886,47570,47642,0.0,221511680,4,2070319104,8573157376,49.0,700Mhz,96Mhz,
1789658404.5496843,0.8483953350005322,47570,47642,0.0,221511680,4,2058457088,8573157376,49.0,700Mhz,96Mhz,
1789658404.9689965,1.2677076990003115,47570,47642,0.0,221511680,5,2058457088,8573157376,49.0,700Mhz,96Mhz,
1789658405.3888772,1.6875884880009835,47570,47642,0.0,221511680,3,2058457088,8573157376,49.0,700Mhz,96Mhz,
1789658405.8086874,2.1073984459999338,47570,47642,0.0,221511680,2,2058457088,8573157376,49.0,700Mhz,96Mhz,
1789658406.2288136,2.5275249170008465,47570,47642,0.0,221511680,5,2058457088,8573157376,49.0,700Mhz,96Mhz,
1789658406.6512706,2.9499823820005986,47570,47642,0.0,221511680,6,2058457088,8573157376,49.0,700Mhz,96Mhz,
1789658407.074989,3.373699920000945,47570,47642,0.0,221511680,3,2058457088,8573157376,49.0,700Mhz,96Mhz,
1789658407.4920862,3.7907976110000163,47570,47642,0.0,221511680,3,2058457088,8573157376,49.0,700Mhz,96Mhz,
1789658407.9035602,4.202271815000131,47570,47642,0.0,221511680,4,2058457088,8573157376,49.0,700Mhz,96Mhz,
1789658408.3248475,4.623558717999913,47570,47642,0.0,221511680,6,2058457088,8573157376,49.0,700Mhz,96Mhz,
1789658408.749412,5.048123235001185,47570,47642,0.0,221511680,5,2058457088,8573157376,49.0,700Mhz,96Mhz,
1789658409.174414,5.473125095000796,47570,47642,0.0,221511680,2,2058457088,8573157376,49.0,700Mhz,96Mhz,
1789658409.5973818,5.896093045999805,47570,47642,0.0,221511680,5,2058457088,8573157376,49.0,700Mhz,96Mhz,
1789658410.024845,6.323555901999498,47570,47642,2.4,221626368,4,2058457088,8573157376,49.0,700Mhz,96Mhz,
1789658410.447604,6.746314820000407,47570,47642,45.1,221880320,90,2060374016,8573157376,58.0,2630Mhz,1000Mhz,
1789658410.8688464,7.167557251999824,47570,47642,40.3,221937664,99,2060374016,8573157376,59.0,2630Mhz,1000Mhz,
1789658411.2908251,7.589536883000619,47570,47642,59.7,221937664,88,2060374016,8573157376,59.0,2630Mhz,1000Mhz,
1789658411.7096019,8.008313260999785,47570,47642,47.8,222003200,77,2060374016,8573157376,60.0,2630Mhz,1000Mhz,
1789658412.1283069,8.427017948000866,47570,47642,59.7,222007296,93,2060374016,8573157376,59.0,2630Mhz,1000Mhz,
1789658412.5467656,8.845476742000756,47570,47642,44.8,222060544,86,2060374016,8573157376,60.0,2630Mhz,1000Mhz,
1789658412.9715586,9.270269851000194,47570,47642,61.7,222064640,85,2060374016,8573157376,60.0,2630Mhz,1000Mhz,
1789658413.3925147,9.6912289410011,47570,47642,9.4,222068736,1,2060374016,8573157376,51.0,700Mhz,96Mhz,
1789658413.815886,10.114597755000432,47570,47642,0.0,222068736,1,2060374016,8573157376,51.0,700Mhz,96Mhz,
1789658414.2466922,10.545402814999761,47570,47642,0.0,222068736,2,2060374016,8573157376,51.0,700Mhz,96Mhz,
1789658414.6962621,10.994973484999718,47570,47642,0.0,222068736,1,2060374016,8573157376,50.0,700Mhz,96Mhz,
1789658415.1121402,11.410851603000992,47570,47642,0.0,222068736,0,2060374016,8573157376,50.0,700Mhz,96Mhz,
1789658415.528951,11.827662290999797,47570,47642,0.0,222068736,2,2060374016,8573157376,50.0,700Mhz,96Mhz,
1789658415.9454393,12.244150775999515,47570,47642,0.0,222068736,2,2060374016,8573157376,50.0,700Mhz,96Mhz,
1789658416.3672822,12.665993595001055,47570,47642,0.0,222068736,2,2060374016,8573157376,50.0,700Mhz,96Mhz,
1789658416.7876902,13.086401339000076,47570,47642,0.0,222068736,2,2060374016,8573157376,49.0,700Mhz,96Mhz,
1789658417.212399,13.511110367000583,47570,47642,0.0,222068736,2,2060374016,8573157376,49.0,700Mhz,96Mhz,
1789658417.6442978,13.943009038001037,47570,47642,0.0,222068736,3,2060374016,8573157376,49.0,700Mhz,96Mhz,
1789658418.0680766,14.36678770599974,47570,47642,0.0,222068736,3,2060374016,8573157376,50.0,700Mhz,96Mhz,
