time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789658540.5497139,0.01077828899906308,48085,48121,0.0,293449728,2,2203918336,8573157376,49.0,700Mhz,96Mhz,
1789658540.9804382,0.44150404799984244,48085,48121,0.0,293449728,3,2203918336,8573157376,49.0,700Mhz,96Mhz,
1789658541.4024136,0.8634788279996428,48085,48121,0.0,293449728,4,2203918336,8573157376,49.0,700Mhz,96Mhz,
1789658541.8296478,1.2907132019990968,48085,48121,0.0,293449728,4,2203918336,8573157376,49.0,700Mhz,96Mhz,
1789658542.2524068,1.713472819999879,48085,48121,0.0,293449728,2,2203918336,8573157376,49.0,700Mhz,96Mhz,
1789658542.679458,2.140523131998634,48085,48121,0.0,293449728,4,2203918336,8573157376,48.0,700Mhz,96Mhz,
1789658543.0888176,2.54988355399837,48085,48121,0.0,293449728,1,2203918336,8573157376,49.0,700Mhz,96Mhz,
1789658543.5145743,2.9756400429996575,48085,48121,0.0,293449728,4,2203918336,8573157376,48.0,700Mhz,96Mhz,
1789658543.9439018,3.4049675679998472,48085,48121,0.0,293449728,2,2203918336,8573157376,48.0,700Mhz,96Mhz,
1789658544.3628676,3.8239330369997333,48085,48121,0.0,293449728,4,2203918336,8573157376,48.0,700Mhz,96Mhz,
1789658544.7851746,4.2462402309993195,48085,48121,0.0,293449728,1,2203918336,8573157376,48.0,700Mhz,96Mhz,
1789658545.2135928,4.674658195999655,48085,48121,0.0,293449728,3,2203918336,8573157376,49.0,700Mhz,96Mhz,
1789658545.638402,5.099467744999856,48085,48121,0.0,293449728,2,2203918336,8573157376,49.0,700Mhz,96Mhz,
1789658546.0604858,5.52155129699895,48085,48121,0.0,293449728,5,2203918336,8573157376,48.0,700Mhz,96Mhz,
1789658546.4935353,5.95460065899897,48085,48121,0.0,293449728,2,2203918336,8573157376,48.0,700Mhz,96Mhz,
1789658546.9222217,6.383287506998386,48085,48121,0.0,293449728,3,2203918336,8573157376,48.0,700Mhz,96Mhz,
1789658547.3543432,6.815408790998845,48085,48121,58.4,296800256,94,2225467392,8573157376,56.0,2635Mhz,1000Mhz,
1789658547.7821264,7.243191409999781,48085,48121,50.4,298901504,80,2225963008,8573157376,57.0,1040Mhz,1000Mhz,
1789658548.2185297,7.679595265999524,48085,48121,54.0,298909696,92,2225963008,8573157376,57.0,2630Mhz,1000Mhz,
1789658548.625819,8.086883857999055,48085,48121,52.7,301051904,96,2225963008,8573157376,58.0,2630Mhz,1000Mhz,
1789658549.043075,8.504140209999605,48085,48121,52.6,303136768,36,2225963008,8573157376,58.0,1000Mhz,1000Mhz,
1789658549.4614007,8.92246648299988,48085,48121,56.0,303136768,90,2225963008,8573157376,58.0,2630Mhz,1000Mhz,
1789658549.8899708,9.351035949999641,48085,48121,26.1,303153152,1,2225963008,8573157376,52.0,700Mhz,96Mhz,
1789658550.3116016,9.772666856999422,48085,48121,0.0,303153152,3,2231025664,8573157376,50.0,700Mhz,96Mhz,
1789658550.7431674,10.204232693999074,48085,48121,0.0,303153152,1,2231025664,8573157376,50.0,700Mhz,96Mhz,
1789658551.161483,10.622548037999877,48085,48121,0.0,303153152,2,2231025664,8573157376,50.0,700Mhz,96Mhz,
1789658551.571721,11.032786418998512,48085,48121,0.0,303153152,0,2231025664,8573157376,50.0,700Mhz,96Mhz,
1789658551.981373,11.442438653999488,48085,48121,0.0,303153152,4,2231025664,8573157376,49.0,700Mhz,96Mhz,
1789658552.400029,11.861094669999147,48085,48121,0.0,303153152,0,2231025664,8573157376,49.0,700Mhz,96Mhz,
1789658552.829463,12.29052815599971,48085,48121,0.0,303153152,2,2228928512,8573157376,49.0,700Mhz,96Mhz,
1789658553.2578142,12.718879650999952,48085,48121,0.0,303153152,1,2228928512,8573157376,49.0,700Mhz,96Mhz,
1789658553.6826627,13.143727980999756,48085,48121,0.0,303153152,1,2228928512,8573157376,49.0,700Mhz,96Mhz,
1789658554.114708,13.575773292999656,48085,48121,0.0,303153152,2,2228928512,8573157376,49.0,700Mhz,96Mhz,
1789658554.5346608,13.995726452998497,48085,48121,0.0,303153152,3,2228928512,8573157376,49.0,700Mhz,96Mhz,
1789658554.953207,14.414272317999348,48085,48121,0.0,303153152,1,2228928512,8573157376,49.0,700Mhz,96Mhz,
1789658555.3707705,14.831835733999469,48085,48121,0.0,303153152,0,2228928512,8573157376,49.0,700Mhz,96Mhz,
1789658555.7886863,15.249751652998384,48085,48121,0.0,303153152,1,2228928512,8573157376,49.0,700Mhz,96Mhz,
1789658556.2030873,15.664152705998276,48085,48121,0.0,303153152,4,2228928512,8573157376,49.0,700Mhz,96Mhz,
1789658556.625419,16.086484499999642,48085,48121,0.0,303153152,2,2228928512,8573157376,49.0,700Mhz,96Mhz,
1789658557.0557623,16.516827814999488,48085,48121,0.0,303153152,4,2228928512,8573157376,49.0,700Mhz,96Mhz,
1789658557.4718285,16.93289369499871,48085,48121,14.3,305221632,85,2228928512,8573157376,55.0,2630Mhz,1000Mhz,
1789658557.8922124,17.35327771899938,48085,48121,56.2,305225728,86,2228928512,8573157376,58.0,2630Mhz,1000Mhz,
1789658558.319138,17.780203789998268,48085,48121,41.8,307691520,89,2229714944,8573157376,61.0,2600Mhz,1000Mhz,
1789658558.7501879,18.21125239199864,48085,48121,60.9,313573376,90,2229719040,8573157376,60.0,2630Mhz,1000Mhz,
1789658559.1769571,18.638022110999373,48085,48121,58.5,313593856,81,2229719040,8573157376,60.0,2630Mhz,1000Mhz,
1789658559.6040535,19.065118502998303,48085,48121,34.4,321748992,93,2229719040,8573157376,61.0,2625Mhz,1000Mhz,
1789658560.0115962,19.472661306999726,48085,48121,63.7,321748992,88,2231816192,8573157376,61.0,2625Mhz,1000Mhz,
1789658560.4351964,19.896261663998303,48085,48121,57.7,324399104,90,2231816192,8573157376,62.0,2625Mhz,1000Mhz,
1789658560.8516846,20.3127499179991,48085,48121,41.4,328323072,89,2231816192,8573157376,61.0,2630Mhz,1000Mhz,
1789658561.2620482,20.7231135309994,48085,48121,57.7,328323072,92,2231816192,8573157376,61.0,2630Mhz,1000Mhz,
1789658561.6777127,21.138777756999843,48085,48121,52.9,328454144,7,2229719040,8573157376,59.0,700Mhz,96Mhz,
1789658562.1126616,21.573726948998228,48085,48121,0.0,328454144,6,2229714944,8573157376,52.0,700Mhz,96Mhz,
1789658562.5395508,22.000616468998487,48085,48121,0.0,328454144,4,2229714944,8573157376,51.0,700Mhz,96Mhz,
