time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789649166.741391,0.017955105000055482,9037,9040,0.0,3837952,5,500912128,8573157376,46.0,700Mhz,96Mhz,
1789649167.1026208,0.3791862350001338,9037,9040,0.0,3837952,4,500928512,8573157376,46.0,700Mhz,96Mhz,
1789649167.4215152,0.6980810689999544,9037,9040,0.0,3837952,54,1934036992,8573157376,47.0,700Mhz,541Mhz,
1789649167.755224,1.0317947769999591,9037,9040,0.0,3837952,93,2011934720,8573157376,53.0,2639Mhz,675Mhz,
1789649168.0768619,1.3534279509999578,9037,9040,0.0,3837952,99,2011934720,8573157376,58.0,2500Mhz,1000Mhz,
1789649168.404047,1.6806127730001208,9037,9040,0.0,3837952,76,2006990848,8573157376,56.0,700Mhz,1000Mhz,
1789649168.727331,2.0038962280000305,9037,9040,0.0,3837952,95,2006990848,8573157376,56.0,2630Mhz,1000Mhz,
1789649169.041371,2.3179365989999496,9037,9040,0.0,3837952,95,2004893696,8573157376,57.0,2630Mhz,1000Mhz,
1789649169.3573527,2.6339181830001053,9037,9040,0.0,3837952,96,2004893696,8573157376,57.0,2630Mhz,1000Mhz,
1789649169.6623905,2.938956060999999,9037,9040,0.0,3837952,93,2004893696,8573157376,56.0,2630Mhz,1000Mhz,
1789649169.9761715,3.252736820000109,9037,9040,0.0,3837952,94,2004893696,8573157376,57.0,2630Mhz,1000Mhz,
1789649170.2805455,3.5571108629999344,9037,9040,0.0,3837952,96,2004893696,8573157376,57.0,2630Mhz,1000Mhz,
1789649170.5944912,3.871056483000075,9037,9040,0.0,3837952,93,2004893696,8573157376,57.0,2630Mhz,1000Mhz,
1789649170.9083686,4.184934483000006,9037,9040,0.0,3837952,96,2004893696,8573157376,57.0,2630Mhz,1000Mhz,
1789649171.223491,4.500056581000081,9037,9040,0.0,3837952,96,2004893696,8573157376,57.0,2630Mhz,1000Mhz,
1789649171.5397868,4.8163522980000835,9037,9040,0.0,3837952,95,2004893696,8573157376,58.0,2630Mhz,1000Mhz,
1789649171.871647,5.148212683000111,9037,9040,0.0,3837952,95,2006990848,8573157376,58.0,2630Mhz,1000Mhz,
1789649172.196909,5.473474182000018,9037,9040,0.0,3837952,95,2006990848,8573157376,58.0,2630Mhz,1000Mhz,
1789649172.512255,5.788820272000066,9037,9040,0.0,3837952,95,2001059840,8573157376,58.0,2630Mhz,1000Mhz,
1789649172.8256035,6.10216871800003,9037,9040,0.0,3837952,96,1998962688,8573157376,58.0,2630Mhz,1000Mhz,
1789649173.1369686,6.413534100000106,9037,9040,0.0,3837952,95,1998962688,8573157376,58.0,2630Mhz,1000Mhz,
1789649173.4441116,6.72067709199996,9037,9040,0.0,3837952,5,494825472,8573157376,56.0,700Mhz,541Mhz,
1789649173.7793572,7.055922871000121,9037,9040,0.0,3837952,6,492871680,8573157376,50.0,700Mhz,96Mhz,
1789649174.0981662,7.374732185000084,9037,9040,0.0,3837952,4,492871680,8573157376,49.0,700Mhz,96Mhz,
1789649174.4176435,7.694208994000064,9037,9040,0.0,3837952,4,492871680,8573157376,49.0,700Mhz,96Mhz,
1789649174.7287383,8.005303723999987,9037,9040,0.0,3837952,5,492871680,8573157376,49.0,700Mhz,96Mhz,
1789649175.0465167,8.323082131000092,9037,9040,0.0,3837952,2,492871680,8573157376,49.0,700Mhz,96Mhz,
1789649175.3604462,8.637011739999934,9037,9040,0.0,3837952,4,492871680,8573157376,49.0,700Mhz,96Mhz,
1789649175.6859422,8.962507461000087,9037,9040,0.0,3837952,4,494968832,8573157376,48.0,700Mhz,96Mhz,
1789649176.0006244,9.27719022600013,9037,9040,0.0,3837952,3,494968832,8573157376,49.0,700Mhz,96Mhz,
1789649176.3125088,9.589074462000099,9037,9040,0.0,3837952,4,494968832,8573157376,48.0,700Mhz,96Mhz,
1789649176.6354675,9.912032845000113,9037,9040,0.0,3837952,6,494968832,8573157376,48.0,700Mhz,96Mhz,
1789649176.9480886,10.224654185999952,9037,9040,0.0,3837952,3,492871680,8573157376,48.0,700Mhz,96Mhz,
1789649177.2769682,10.553533440000137,9037,9040,0.0,3837952,5,492871680,8573157376,48.0,700Mhz,96Mhz,
1789649177.5921571,10.868723089000014,9037,9040,0.0,3837952,2,492871680,8573157376,48.0,700Mhz,96Mhz,
1789649177.914516,11.19108125799994,9037,9040,0.0,3837952,5,492871680,8573157376,48.0,700Mhz,96Mhz,
1789649178.2386148,11.515180109000084,9037,9040,0.0,3837952,4,492871680,8573157376,48.0,700Mhz,96Mhz,
1789649178.5585713,11.835136761000058,9037,9040,0.0,3837952,3,492871680,8573157376,48.0,700Mhz,96Mhz,
1789649178.8763113,12.15287652699999,9037,9040,0.0,3837952,5,492871680,8573157376,48.0,700Mhz,96Mhz,
1789649179.1890802,12.465645709,9037,9040,0.0,3837952,3,492871680,8573157376,48.0,700Mhz,96Mhz,
1789649179.5066843,12.783250035000037,9037,9040,0.0,3837952,4,492871680,8573157376,48.0,700Mhz,96Mhz,
