time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789651355.0330012,0.014494435999949928,20493,20526,0.0,314937344,6,1971810304,8573157376,47.0,700Mhz,96Mhz,
1789651355.708835,0.69032961899984,20493,20526,0.0,314937344,4,1969713152,8573157376,47.0,700Mhz,96Mhz,
1789651356.380268,1.361763117999999,20493,20526,0.0,314937344,3,1967058944,8573157376,47.0,700Mhz,96Mhz,
1789651357.054496,2.0359919849997823,20493,20526,0.0,314937344,2,1967058944,8573157376,47.0,700Mhz,96Mhz,
1789651357.7236729,2.705167731000074,20493,20526,0.0,314937344,4,1964961792,8573157376,47.0,700Mhz,96Mhz,
1789651358.3913538,3.3728480119998494,20493,20526,0.0,314937344,6,1967058944,8573157376,47.0,700Mhz,96Mhz,
1789651359.0640867,4.045580823999899,20493,20526,0.0,314937344,5,1967058944,8573157376,47.0,700Mhz,96Mhz,
1789651359.7370422,4.718536248999953,20493,20526,0.0,314937344,3,1964961792,8573157376,47.0,700Mhz,96Mhz,
1789651360.4086032,5.390097478999905,20493,20526,0.0,314937344,5,1964961792,8573157376,47.0,700Mhz,96Mhz,
1789651361.0882742,6.069768610999745,20493,20526,0.0,314937344,5,1953099776,8573157376,47.0,700Mhz,96Mhz,
1789651361.7586982,6.740192439999646,20493,20526,0.0,314937344,4,1953099776,8573157376,47.0,700Mhz,96Mhz,
1789651362.4281025,7.409597468999891,20493,20526,0.0,314937344,4,1955196928,8573157376,47.0,700Mhz,96Mhz,
1789651363.0957534,8.077247360000001,20493,20526,0.0,314937344,2,1953099776,8573157376,47.0,700Mhz,96Mhz,
1789651363.774773,8.75626737499988,20493,20526,0.0,314937344,5,1953099776,8573157376,47.0,700Mhz,96Mhz,
1789651364.4512832,9.432777595000061,20493,20526,0.0,314937344,3,1953099776,8573157376,47.0,700Mhz,96Mhz,
1789651365.1288135,10.110308405000069,20493,20526,0.0,314937344,3,1953099776,8573157376,47.0,700Mhz,96Mhz,
1789651365.8050406,10.786534041999857,20493,20526,41.2,315207680,85,1971351552,8573157376,54.0,2639Mhz,1000Mhz,
1789651366.484775,11.466269204999662,20493,20526,37.4,318902272,87,1973448704,8573157376,52.0,2635Mhz,1000Mhz,
1789651367.153643,12.135137117999875,20493,20526,43.4,320991232,99,1971351552,8573157376,53.0,2635Mhz,541Mhz,
1789651367.822128,12.803622187999736,20493,20526,47.2,322527232,90,1987964928,8573157376,56.0,2635Mhz,1000Mhz,
1789651368.4793496,13.460843573999682,20493,20526,38.8,326893568,95,1987964928,8573157376,56.0,2635Mhz,1000Mhz,
1789651369.1494865,14.130981249999877,20493,20526,34.3,326893568,3,1987964928,8573157376,51.0,700Mhz,96Mhz,
1789651369.8207805,14.802274717999808,20493,20526,0.0,326893568,3,1985867776,8573157376,49.0,700Mhz,96Mhz,
1789651370.488892,15.470386112999677,20493,20526,0.0,326893568,1,1987964928,8573157376,48.0,700Mhz,96Mhz,
1789651371.1688144,16.150308567999673,20493,20526,0.0,326893568,2,1985310720,8573157376,48.0,700Mhz,96Mhz,
1789651371.8398864,16.821380552999926,20493,20526,0.0,326893568,3,1985310720,8573157376,48.0,700Mhz,96Mhz,
1789651372.5027866,17.484280896999735,20493,20526,0.0,326893568,2,1983213568,8573157376,48.0,700Mhz,96Mhz,
1789651373.1755352,18.157029538999723,20493,20526,0.0,326893568,3,1983213568,8573157376,48.0,700Mhz,96Mhz,
1789651373.8619847,18.843478919000063,20493,20526,0.0,326893568,3,1976414208,8573157376,48.0,700Mhz,96Mhz,
1789651374.5233269,19.50482100699992,20493,20526,0.0,326893568,3,1976414208,8573157376,48.0,700Mhz,96Mhz,
1789651375.1949997,20.176493978000053,20493,20526,1.5,326893568,1,1974317056,8573157376,48.0,700Mhz,96Mhz,
1789651375.8744786,20.855973147999975,20493,20526,0.0,326893568,3,1971351552,8573157376,48.0,700Mhz,96Mhz,
1789651376.5615644,21.5430585539998,20493,20526,9.0,328962048,92,1971351552,8573157376,51.0,2639Mhz,541Mhz,
1789651377.2263603,22.207854917000077,20493,20526,53.1,332627968,87,1972854784,8573157376,55.0,1560Mhz,541Mhz,
1789651377.9045696,22.886063594000007,20493,20526,29.7,334163968,94,1975484416,8573157376,55.0,2635Mhz,1000Mhz,
1789651378.5777087,23.559203049999724,20493,20526,55.0,336244736,89,1975484416,8573157376,56.0,2635Mhz,1000Mhz,
1789651379.2507772,24.23227169599977,20493,20526,28.2,339804160,78,1973387264,8573157376,55.0,2630Mhz,1000Mhz,
1789651379.9232779,24.904772245999993,20493,20526,62.1,339804160,88,1973387264,8573157376,57.0,2630Mhz,1000Mhz,
1789651380.5998967,25.581390776999797,20493,20526,56.8,343896064,99,1990000640,8573157376,55.0,2630Mhz,541Mhz,
1789651381.2683778,26.249872265999784,20493,20526,27.0,343896064,88,1990000640,8573157376,56.0,2630Mhz,1000Mhz,
1789651381.9358382,26.917332174999956,20493,20526,43.6,343896064,1,1992097792,8573157376,55.0,700Mhz,96Mhz,
1789651382.6232436,27.604737854999712,20493,20526,0.0,343896064,2,1990000640,8573157376,49.0,700Mhz,96Mhz,
1789651383.291241,28.272735608999938,20493,20526,0.0,343896064,1,1987903488,8573157376,49.0,700Mhz,96Mhz,
1789651383.9593778,28.94087198499983,20493,20526,0.0,343896064,1,1985249280,8573157376,49.0,700Mhz,96Mhz,
1789651384.6232224,29.60471667799993,20493,20526,0.0,343896064,1,1985249280,8573157376,49.0,700Mhz,96Mhz,
1789651385.2907643,30.272258777999923,20493,20526,0.0,343896064,1,1985249280,8573157376,49.0,700Mhz,96Mhz,
1789651385.9551442,30.936638256999686,20493,20526,0.0,343896064,2,1987346432,8573157376,48.0,700Mhz,96Mhz,
1789651386.6241734,31.60566733199994,20493,20526,0.0,343896064,4,1981415424,8573157376,48.0,700Mhz,96Mhz,
1789651387.316102,32.29759612599992,20493,20526,0.0,343896064,6,1987346432,8573157376,49.0,700Mhz,96Mhz,
1789651387.9846346,32.96612891599989,20493,20526,0.0,343896064,4,1987346432,8573157376,48.0,700Mhz,96Mhz,
1789651388.6544077,33.635901978999755,20493,20526,0.0,343896064,8,1985249280,8573157376,49.0,700Mhz,96Mhz,
1789651389.3319085,34.313403108999864,20493,20526,0.0,343896064,6,1985249280,8573157376,48.0,700Mhz,96Mhz,
1789651390.0048504,34.986345252999854,20493,20526,22.1,349495296,95,1986478080,8573157376,54.0,2635Mhz,1000Mhz,
1789651390.6832714,35.66476603199999,20493,20526,43.0,351555584,99,1987981312,8573157376,54.0,2630Mhz,541Mhz,
1789651391.380576,36.3620708909998,20493,20526,22.5,351555584,95,1985888256,8573157376,55.0,2630Mhz,1000Mhz,
1789651392.0476124,37.02910644599979,20493,20526,49.8,351555584,89,1985888256,8573157376,58.0,2630Mhz,1000Mhz,
1789651392.7096899,37.69118400099978,20493,20526,25.4,357642240,99,1977860096,8573157376,54.0,2630Mhz,541Mhz,
1789651393.378671,38.36016617599989,20493,20526,39.1,359178240,86,1977860096,8573157376,57.0,2630Mhz,1000Mhz,
1789651394.044293,39.025786976999825,20493,20526,48.5,359178240,85,1979957248,8573157376,58.0,2630Mhz,1000Mhz,
1789651394.725066,39.706560399999944,20493,20526,23.3,365264896,99,1979957248,8573157376,54.0,2630Mhz,541Mhz,
1789651395.412463,40.39395719899994,20493,20526,49.8,366800896,67,1977860096,8573157376,58.0,2630Mhz,1000Mhz,
