time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789611351.8312812,0.010789254003611859,192845,192874,0.0,302817280,5,2030530560,8573157376,56.0,700Mhz,96Mhz,
1789611352.2575948,0.43710429000202566,192845,192874,0.0,302817280,3,2028433408,8573157376,56.0,700Mhz,541Mhz,
1789611352.6804967,0.860005597001873,192845,192874,0.0,302817280,3,2026336256,8573157376,56.0,700Mhz,96Mhz,
1789611353.102102,1.28161091900256,192845,192874,0.0,302817280,3,2026336256,8573157376,55.0,700Mhz,96Mhz,
1789611353.516615,1.6961239700031001,192845,192874,0.0,302817280,3,2026336256,8573157376,55.0,700Mhz,541Mhz,
1789611353.9469974,2.1265064730032464,192845,192874,0.0,302817280,5,2026336256,8573157376,56.0,700Mhz,541Mhz,
1789611354.3612607,2.5407695710018743,192845,192874,0.0,302817280,7,2026336256,8573157376,55.0,700Mhz,541Mhz,
1789611354.7787077,2.958216844999697,192845,192874,0.0,302817280,3,2028433408,8573157376,55.0,700Mhz,96Mhz,
1789611355.2085667,3.388076022005407,192845,192874,0.0,302817280,3,2028433408,8573157376,54.0,700Mhz,541Mhz,
1789611355.6427724,3.8222812590029207,192845,192874,0.0,302817280,4,2016571392,8573157376,55.0,700Mhz,96Mhz,
1789611356.0507436,4.230252264002047,192845,192874,0.0,302817280,3,2014474240,8573157376,55.0,700Mhz,96Mhz,
1789611356.4664547,4.64596449900273,192845,192874,0.0,302817280,3,2014474240,8573157376,55.0,700Mhz,96Mhz,
1789611356.8843403,5.0638490980054485,192845,192874,0.0,302817280,5,2014474240,8573157376,54.0,700Mhz,96Mhz,
1789611357.3060775,5.485586292001244,192845,192874,0.0,302817280,2,2014474240,8573157376,55.0,700Mhz,96Mhz,
1789611357.736914,5.916422920003242,192845,192874,0.0,302817280,2,2014474240,8573157376,54.0,700Mhz,541Mhz,
1789611358.1475568,6.32706567599962,192845,192874,0.0,302817280,3,2014474240,8573157376,54.0,700Mhz,96Mhz,
1789611358.56466,6.744168866003747,192845,192874,26.5,303095808,86,2032742400,8573157376,61.0,2630Mhz,1000Mhz,
1789611358.9802985,7.159807200005162,192845,192874,56.2,303095808,93,2034839552,8573157376,63.0,2625Mhz,1000Mhz,
1789611359.3898232,7.569332343002316,192845,192874,48.3,306765824,91,2034839552,8573157376,64.0,2625Mhz,1000Mhz,
1789611359.8244402,8.00394957500248,192845,192874,47.2,308846592,99,2034839552,8573157376,66.0,2625Mhz,675Mhz,
1789611360.2478902,8.42739901800087,192845,192874,52.4,310382592,88,2032742400,8573157376,65.0,2625Mhz,1000Mhz,
1789611360.667858,8.84736664200318,192845,192874,48.0,314724352,87,2032742400,8573157376,65.0,2625Mhz,1000Mhz,
1789611361.0841608,9.263669423002284,192845,192874,42.1,314728448,3,2032742400,8573157376,62.0,700Mhz,96Mhz,
1789611361.535326,9.714835064005456,192845,192874,0.0,314728448,2,2032742400,8573157376,56.0,700Mhz,96Mhz,
1789611361.9649396,10.144448568004009,192845,192874,0.0,314728448,4,2032742400,8573157376,55.0,700Mhz,96Mhz,
1789611362.3958254,10.57533397700172,192845,192874,0.0,314728448,2,2032742400,8573157376,56.0,700Mhz,96Mhz,
1789611362.8099787,10.989488234001328,192845,192874,0.0,314728448,2,2034839552,8573157376,55.0,700Mhz,96Mhz,
1789611363.2265906,11.406099728003028,192845,192874,0.0,314728448,2,2034839552,8573157376,55.0,700Mhz,541Mhz,
1789611363.6436496,11.823158178005542,192845,192874,0.0,314728448,2,2034839552,8573157376,55.0,700Mhz,541Mhz,
1789611364.0628057,12.242314602000988,192845,192874,0.0,314728448,2,2032742400,8573157376,55.0,700Mhz,541Mhz,
1789611364.4745402,12.654049520999251,192845,192874,0.0,314728448,4,2032742400,8573157376,54.0,700Mhz,96Mhz,
1789611364.8957536,13.075262630001816,192845,192874,0.0,314728448,3,2032742400,8573157376,55.0,700Mhz,96Mhz,
1789611365.3206782,13.500187120000191,192845,192874,0.0,314728448,2,2032742400,8573157376,54.0,700Mhz,96Mhz,
1789611365.7419603,13.921468988002744,192845,192874,0.0,314728448,0,2032742400,8573157376,54.0,700Mhz,96Mhz,
1789611366.16903,14.34853874300461,192845,192874,0.0,314728448,2,2032742400,8573157376,54.0,700Mhz,96Mhz,
1789611366.593257,14.772766115005652,192845,192874,0.0,314728448,2,2032742400,8573157376,55.0,700Mhz,96Mhz,
1789611367.0246558,15.20416495000245,192845,192874,0.0,314728448,2,2034839552,8573157376,54.0,700Mhz,96Mhz,
1789611367.455179,15.634688294005173,192845,192874,0.0,314728448,2,2034839552,8573157376,54.0,700Mhz,541Mhz,
1789611367.8729575,16.052466033004748,192845,192874,0.0,314728448,1,2032742400,8573157376,54.0,700Mhz,96Mhz,
1789611368.287603,16.46711169500486,192845,192874,0.0,314728448,4,2032742400,8573157376,54.0,700Mhz,96Mhz,
1789611368.7218015,16.90131083199958,192845,192874,4.5,316813312,86,2032742400,8573157376,53.0,2635Mhz,675Mhz,
1789611369.1643505,17.343859364002128,192845,192874,53.2,318349312,90,2032742400,8573157376,62.0,2630Mhz,1000Mhz,
1789611369.5775464,17.757054640002025,192845,192874,32.6,320471040,99,2032750592,8573157376,65.0,2625Mhz,675Mhz,
1789611370.0064409,18.185949826001888,192845,192874,55.4,322007040,86,2033332224,8573157376,64.0,2625Mhz,1000Mhz,
1789611370.4215827,18.60109103400464,192845,192874,50.6,326103040,98,2033332224,8573157376,65.0,2630Mhz,1000Mhz,
1789611370.8559337,19.035442881999188,192845,192874,52.7,327639040,73,2035429376,8573157376,63.0,2625Mhz,1000Mhz,
1789611371.2927992,19.472308730000805,192845,192874,69.9,327647232,77,2040492032,8573157376,61.0,2425Mhz,1000Mhz,
1789611371.7075584,19.88706733300205,192845,192874,70.2,327675904,81,2040492032,8573157376,62.0,2630Mhz,1000Mhz,
1789611372.1205204,20.30002900600084,192845,192874,42.0,331759616,72,2038394880,8573157376,63.0,2250Mhz,1000Mhz,
