time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789609436.496427,0.011279596001259051,185701,185731,0.0,310706176,5,2071416832,8573157376,51.0,700Mhz,96Mhz,
1789609436.9312687,0.44612282299931394,185701,185731,0.0,310706176,3,2067222528,8573157376,51.0,700Mhz,541Mhz,
1789609437.347692,0.8625456540030427,185701,185731,0.0,310706176,4,2067222528,8573157376,51.0,700Mhz,541Mhz,
1789609437.7620437,1.2768971609984874,185701,185731,0.0,310706176,2,2067222528,8573157376,51.0,700Mhz,96Mhz,
1789609438.1883307,1.7031844119992456,185701,185731,0.0,310706176,2,2065125376,8573157376,50.0,700Mhz,96Mhz,
1789609438.619367,2.1342203360036365,185701,185731,0.0,310706176,7,2065125376,8573157376,51.0,700Mhz,96Mhz,
1789609439.0437636,2.558617276001314,185701,185731,0.0,310706176,5,2065125376,8573157376,50.0,700Mhz,96Mhz,
1789609439.4621904,2.977043719001813,185701,185731,0.0,310706176,3,2067222528,8573157376,51.0,700Mhz,96Mhz,
1789609439.8841958,3.399049321997154,185701,185731,0.0,310706176,2,2067222528,8573157376,50.0,700Mhz,96Mhz,
1789609440.3200915,3.834945011003583,185701,185731,0.0,310706176,4,2049429504,8573157376,51.0,700Mhz,541Mhz,
1789609440.7482874,4.263140773000487,185701,185731,0.0,310706176,3,2047332352,8573157376,50.0,700Mhz,96Mhz,
1789609441.1680386,4.682892390999768,185701,185731,0.0,310706176,2,2047332352,8573157376,50.0,700Mhz,96Mhz,
1789609441.5839503,5.098803945998952,185701,185731,0.0,310706176,3,2047332352,8573157376,50.0,700Mhz,96Mhz,
1789609442.0015464,5.516399909000029,185701,185731,0.0,310706176,1,2047332352,8573157376,50.0,700Mhz,96Mhz,
1789609442.418187,5.933040312003868,185701,185731,0.0,310706176,2,2047332352,8573157376,50.0,700Mhz,96Mhz,
1789609442.8347838,6.349637225001061,185701,185731,0.0,310706176,1,2047332352,8573157376,50.0,700Mhz,541Mhz,
1789609443.461726,6.976578941998014,185701,185731,37.8,310927360,89,2049921024,8573157376,58.0,2630Mhz,1000Mhz,
1789609443.8839643,7.398817446999601,185701,185731,46.4,314531840,99,2049921024,8573157376,60.0,2630Mhz,675Mhz,
1789609444.315177,7.830030463002913,185701,185731,49.2,316067840,94,2049921024,8573157376,60.0,2630Mhz,1000Mhz,
1789609444.7421474,8.257000671997957,185701,185731,46.0,321163264,92,2047823872,8573157376,61.0,2630Mhz,1000Mhz,
1789609445.1550612,8.66991485300241,185701,185731,50.7,321167360,91,2047823872,8573157376,60.0,2625Mhz,1000Mhz,
1789609445.56904,9.083893385999545,185701,185731,45.9,326979584,91,2047823872,8573157376,61.0,2630Mhz,1000Mhz,
1789609445.9831,9.49795319000259,185701,185731,34.4,326995968,2,2047823872,8573157376,55.0,700Mhz,96Mhz,
1789609446.4186912,9.933544696003082,185701,185731,0.0,326995968,3,2047823872,8573157376,52.0,700Mhz,541Mhz,
1789609446.849143,10.363996603002306,185701,185731,0.0,326995968,1,2047823872,8573157376,52.0,700Mhz,96Mhz,
1789609447.2703598,10.78521302700392,185701,185731,0.0,326995968,1,2052890624,8573157376,51.0,700Mhz,96Mhz,
1789609447.6871886,11.202042953002092,185701,185731,0.0,326995968,1,2054987776,8573157376,51.0,700Mhz,541Mhz,
1789609448.1425576,11.657411279004009,185701,185731,0.0,326995968,2,2054987776,8573157376,51.0,700Mhz,96Mhz,
1789609448.5629785,12.077831904003688,185701,185731,0.0,326995968,2,2052890624,8573157376,51.0,700Mhz,96Mhz,
1789609448.9783385,12.493191863002721,185701,185731,0.0,326995968,1,2050793472,8573157376,51.0,700Mhz,541Mhz,
1789609449.3980045,12.912858069998038,185701,185731,0.0,326995968,4,2050793472,8573157376,51.0,700Mhz,96Mhz,
1789609449.8162537,13.33110715100338,185701,185731,0.0,326995968,1,2050793472,8573157376,50.0,700Mhz,96Mhz,
1789609450.245359,13.760212253000645,185701,185731,0.0,326995968,1,2050793472,8573157376,51.0,700Mhz,96Mhz,
1789609450.6684809,14.183334009001555,185701,185731,0.0,326995968,2,2050793472,8573157376,51.0,700Mhz,541Mhz,
1789609451.101954,14.616807480000716,185701,185731,0.0,326995968,1,2050793472,8573157376,50.0,700Mhz,541Mhz,
1789609451.526884,15.041737546001968,185701,185731,0.0,326995968,1,2052890624,8573157376,50.0,700Mhz,541Mhz,
1789609451.963296,15.478149460999703,185701,185731,0.0,326995968,1,2052890624,8573157376,50.0,700Mhz,96Mhz,
1789609452.386731,15.901584330000333,185701,185731,0.0,326995968,4,2052890624,8573157376,50.0,700Mhz,541Mhz,
1789609452.8143857,16.329239396000048,185701,185731,0.0,326995968,0,2047827968,8573157376,50.0,700Mhz,96Mhz,
1789609453.2375348,16.752388371998677,185701,185731,0.0,326995968,2,2047827968,8573157376,50.0,700Mhz,96Mhz,
1789609453.6708913,17.185745041999326,185701,185731,7.0,330547200,99,2044862464,8573157376,56.0,2630Mhz,675Mhz,
1789609454.101014,17.615867125998193,185701,185731,51.0,332083200,88,2044862464,8573157376,58.0,2630Mhz,1000Mhz,
1789609454.5325065,18.047359853997477,185701,185731,40.1,337199104,72,2045452288,8573157376,61.0,2195Mhz,1000Mhz,
1789609454.9570014,18.471855235002295,185701,185731,53.5,337199104,89,2045452288,8573157376,61.0,2630Mhz,1000Mhz,
1789609455.3863223,18.901175231003435,185701,185731,38.1,344231936,99,2047549440,8573157376,63.0,2510Mhz,675Mhz,
1789609455.8062217,19.321075369996834,185701,185731,69.1,345767936,58,2047549440,8573157376,59.0,1930Mhz,1000Mhz,
1789609456.225549,19.740402583003743,185701,185731,66.6,345767936,89,2047549440,8573157376,58.0,2630Mhz,1000Mhz,
1789609456.645646,20.16049908399873,185701,185731,66.9,349290496,79,2045452288,8573157376,58.0,2625Mhz,1000Mhz,
1789609457.0793233,20.594176897997386,185701,185731,37.7,352784384,90,2045452288,8573157376,61.0,2630Mhz,1000Mhz,
1789609457.5032651,21.018118332001904,185701,185731,54.4,352784384,86,2045452288,8573157376,61.0,2630Mhz,1000Mhz,
1789609457.926034,21.440887112999917,185701,185731,9.4,352784384,2,2045452288,8573157376,53.0,700Mhz,96Mhz,
1789609458.3536406,21.868494289003138,185701,185731,0.0,352784384,2,2045452288,8573157376,52.0,700Mhz,96Mhz,
1789609458.78568,22.30053382400365,185701,185731,0.0,352784384,3,2045452288,8573157376,52.0,700Mhz,96Mhz,
1789609459.2141685,22.729021890001604,185701,185731,0.0,352784384,7,2045452288,8573157376,52.0,700Mhz,96Mhz,
1789609459.626026,23.14087929899688,185701,185731,0.0,352784384,7,2047549440,8573157376,51.0,700Mhz,541Mhz,
1789609460.0428936,23.557747184997424,185701,185731,0.0,352784384,8,2047549440,8573157376,51.0,705Mhz,541Mhz,
