time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789653477.557247,0.010780401999909373,28602,28632,0.0,314830848,3,2010394624,8573157376,48.0,700Mhz,96Mhz,
1789653478.2447228,0.6982576419995894,28602,28632,0.0,314830848,4,2007429120,8573157376,48.0,700Mhz,96Mhz,
1789653478.9153872,1.368920947999868,28602,28632,0.0,314830848,0,2007429120,8573157376,48.0,700Mhz,96Mhz,
1789653479.5778644,2.031398750000335,28602,28632,0.0,314830848,3,2007429120,8573157376,48.0,700Mhz,96Mhz,
1789653480.2509446,2.7044793109998864,28602,28632,0.0,314830848,4,2007429120,8573157376,48.0,700Mhz,96Mhz,
1789653480.9364924,3.3900267609997172,28602,28632,0.0,314830848,2,2009526272,8573157376,48.0,700Mhz,96Mhz,
1789653481.599241,4.052775565999582,28602,28632,0.0,314830848,3,2001498112,8573157376,47.0,700Mhz,96Mhz,
1789653482.2714782,4.725012517999858,28602,28632,0.0,314830848,3,1979502592,8573157376,48.0,700Mhz,96Mhz,
1789653482.946466,5.400000438999996,28602,28632,0.0,314830848,3,1976537088,8573157376,48.0,700Mhz,96Mhz,
1789653483.623027,6.076561306000258,28602,28632,0.0,314830848,1,1976537088,8573157376,48.0,700Mhz,96Mhz,
1789653484.2919278,6.745461763999629,28602,28632,36.1,315101184,91,1997258752,8573157376,56.0,2630Mhz,1000Mhz,
1789653484.9559565,7.409491051999794,28602,28632,52.6,318816256,87,1999945728,8573157376,57.0,2630Mhz,1000Mhz,
1789653485.6208804,8.074414548999812,28602,28632,53.0,322465792,91,1997848576,8573157376,57.0,2630Mhz,1000Mhz,
1789653486.280812,8.734345224000208,28602,28632,54.1,326828032,89,1997848576,8573157376,58.0,2630Mhz,1000Mhz,
1789653486.9460607,9.399594364000222,28602,28632,10.6,326832128,2,1997848576,8573157376,50.0,700Mhz,96Mhz,
1789653487.6086571,10.062190716999794,28602,28632,0.0,326832128,1,1997848576,8573157376,49.0,700Mhz,96Mhz,
1789653488.2985928,10.75212698300038,28602,28632,0.0,326832128,2,1997848576,8573157376,49.0,700Mhz,96Mhz,
1789653488.968255,11.421788968999863,28602,28632,0.0,326832128,2,1999945728,8573157376,49.0,700Mhz,96Mhz,
1789653489.633792,12.08732591199987,28602,28632,0.0,326832128,1,1997848576,8573157376,48.0,700Mhz,96Mhz,
1789653490.315986,12.769520267000189,28602,28632,0.0,326832128,1,1997848576,8573157376,48.0,700Mhz,96Mhz,
1789653491.0006394,13.454173357999935,28602,28632,0.0,326832128,3,1997848576,8573157376,48.0,700Mhz,96Mhz,
1789653491.6759393,14.129473533000237,28602,28632,0.0,326832128,6,1997848576,8573157376,48.0,700Mhz,96Mhz,
1789653492.3397024,14.793236258000434,28602,28632,0.0,326832128,4,1999945728,8573157376,48.0,700Mhz,96Mhz,
1789653493.0129995,15.466533451000032,28602,28632,0.0,326832128,8,1999945728,8573157376,48.0,700Mhz,96Mhz,
1789653493.6937637,16.147297831999822,28602,28632,0.0,326832128,7,1997848576,8573157376,48.0,700Mhz,96Mhz,
1789653494.3692944,16.82282837799994,28602,28632,24.2,330452992,92,1988902912,8573157376,55.0,2635Mhz,1000Mhz,
1789653495.0316608,17.485194949000288,28602,28632,53.3,343089152,93,1989693440,8573157376,58.0,2630Mhz,1000Mhz,
1789653495.6887257,18.142259604000174,28602,28632,52.4,347205632,69,1989693440,8573157376,59.0,700Mhz,1000Mhz,
