0.00.047.018 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.047.160 W srv  llama_server: -----------------
0.00.047.162 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.047.162 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.047.163 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.047.163 W srv  llama_server: -----------------
0.00.048.396 I srv    load_model: loading model '/home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/results/models/LFM2.5-2.6B-ROCmFP4_FAST.gguf'
0.01.494.147 W llama_kv_cache: the V embeddings have different sizes across layers and FA is not enabled - padding V cache to 512
0.01.507.955 I cmn          init: llama threadpool init, n_threads = 4
0.01.587.508 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 1024, kv_unified = 'false'
0.01.593.662 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.01.593.711 I srv  llama_server: model loaded
0.01.593.716 I srv  llama_server: listening on http://127.0.0.1:18026
0.08.647.636 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.08.647.690 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.09.268.500 I slot print_timing: id  3 | task 0 | prompt eval time =     102.34 ms /   128 tokens (    0.80 ms per token,  1250.73 tokens per second)
0.09.268.503 I slot print_timing: id  3 | task 0 |        eval time =     518.44 ms /    64 tokens (    8.23 ms per token,   121.52 tokens per second)
0.09.268.504 I slot print_timing: id  3 | task 0 |       total time =     620.78 ms /   192 tokens
0.09.268.508 I slot print_timing: id  3 | task 0 |    graphs reused =         63
0.09.268.543 I slot      release: id  3 | task 0 | stop processing: n_tokens = 191, truncated = 0
0.09.273.640 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.09.273.684 I slot launch_slot_: id  2 | task 66 | processing task, is_child = 0
0.09.635.189 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.09.635.243 I slot launch_slot_: id  1 | task 67 | processing task, is_child = 0
0.09.635.342 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.09.635.372 I slot launch_slot_: id  0 | task 68 | processing task, is_child = 0
0.09.635.454 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 5223859897
0.09.635.562 I slot launch_slot_: id  3 | task 69 | processing task, is_child = 0
0.11.003.673 I slot print_timing: id  0 | task 68 | prompt eval time =     513.80 ms /   128 tokens (    4.01 ms per token,   249.12 tokens per second)
0.11.003.679 I slot print_timing: id  0 | task 68 |        eval time =     854.26 ms /    64 tokens (   13.56 ms per token,    73.75 tokens per second)
0.11.003.680 I slot print_timing: id  0 | task 68 |       total time =    1368.06 ms /   192 tokens
0.11.003.682 I slot print_timing: id  0 | task 68 |    graphs reused =        126
0.11.003.728 I slot      release: id  0 | task 68 | stop processing: n_tokens = 191, truncated = 0
0.11.004.009 I slot print_timing: id  1 | task 67 | prompt eval time =     516.09 ms /   128 tokens (    4.03 ms per token,   248.02 tokens per second)
0.11.004.012 I slot print_timing: id  1 | task 67 |        eval time =     852.29 ms /    64 tokens (   13.53 ms per token,    73.92 tokens per second)
0.11.004.013 I slot print_timing: id  1 | task 67 |       total time =    1368.38 ms /   192 tokens
0.11.004.014 I slot print_timing: id  1 | task 67 |    graphs reused =        126
0.11.004.050 I slot      release: id  1 | task 67 | stop processing: n_tokens = 191, truncated = 0
0.11.004.410 I slot print_timing: id  2 | task 66 | prompt eval time =     518.35 ms /   128 tokens (    4.05 ms per token,   246.94 tokens per second)
0.11.004.422 I slot print_timing: id  2 | task 66 |        eval time =     850.42 ms /    64 tokens (   13.50 ms per token,    74.08 tokens per second)
0.11.004.423 I slot print_timing: id  2 | task 66 |       total time =    1368.77 ms /   192 tokens
0.11.004.424 I slot print_timing: id  2 | task 66 |    graphs reused =        126
0.11.004.470 I slot      release: id  2 | task 66 | stop processing: n_tokens = 191, truncated = 0
0.11.004.908 I slot print_timing: id  3 | task 69 | prompt eval time =     520.91 ms /   128 tokens (    4.07 ms per token,   245.72 tokens per second)
0.11.004.912 I slot print_timing: id  3 | task 69 |        eval time =     848.35 ms /    64 tokens (   13.47 ms per token,    74.26 tokens per second)
0.11.004.913 I slot print_timing: id  3 | task 69 |       total time =    1369.26 ms /   192 tokens
0.11.004.914 I slot print_timing: id  3 | task 69 |    graphs reused =        126
0.11.004.948 I slot      release: id  3 | task 69 | stop processing: n_tokens = 191, truncated = 0
0.11.011.715 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 5225595081
0.11.365.503 I slot launch_slot_: id  0 | task 135 | processing task, is_child = 0
0.12.517.498 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 5225595403
0.12.517.644 I slot launch_slot_: id  1 | task 136 | processing task, is_child = 0
0.12.517.798 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 5225595824
0.12.517.897 I slot launch_slot_: id  2 | task 138 | processing task, is_child = 0
0.12.517.975 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 5225596302
0.12.518.090 I slot launch_slot_: id  3 | task 137 | processing task, is_child = 0
0.13.836.521 I slot print_timing: id  0 | task 135 | prompt eval time =     456.60 ms /   128 tokens (    3.57 ms per token,   280.33 tokens per second)
0.13.836.527 I slot print_timing: id  0 | task 135 |        eval time =     861.78 ms /    64 tokens (   13.68 ms per token,    73.10 tokens per second)
0.13.836.529 I slot print_timing: id  0 | task 135 |       total time =    1318.38 ms /   192 tokens
0.13.836.530 I slot print_timing: id  0 | task 135 |    graphs reused =        189
0.13.836.580 I slot      release: id  0 | task 135 | stop processing: n_tokens = 191, truncated = 0
0.13.837.012 I slot print_timing: id  1 | task 136 | prompt eval time =     457.11 ms /   128 tokens (    3.57 ms per token,   280.02 tokens per second)
0.13.837.017 I slot print_timing: id  1 | task 136 |        eval time =     861.66 ms /    64 tokens (   13.68 ms per token,    73.11 tokens per second)
0.13.837.018 I slot print_timing: id  1 | task 136 |       total time =    1318.77 ms /   192 tokens
0.13.837.019 I slot print_timing: id  1 | task 136 |    graphs reused =        189
0.13.837.062 I slot      release: id  1 | task 136 | stop processing: n_tokens = 191, truncated = 0
0.13.837.456 I slot print_timing: id  2 | task 138 | prompt eval time =     457.82 ms /   128 tokens (    3.58 ms per token,   279.58 tokens per second)
0.13.837.463 I slot print_timing: id  2 | task 138 |        eval time =     861.28 ms /    64 tokens (   13.67 ms per token,    73.15 tokens per second)
0.13.837.464 I slot print_timing: id  2 | task 138 |       total time =    1319.10 ms /   192 tokens
0.13.837.465 I slot print_timing: id  2 | task 138 |    graphs reused =        189
0.13.837.500 I slot      release: id  2 | task 138 | stop processing: n_tokens = 191, truncated = 0
0.13.837.893 I slot print_timing: id  3 | task 137 | prompt eval time =     460.46 ms /   128 tokens (    3.60 ms per token,   277.98 tokens per second)
0.13.837.898 I slot print_timing: id  3 | task 137 |        eval time =     859.00 ms /    64 tokens (   13.63 ms per token,    73.34 tokens per second)
0.13.837.899 I slot print_timing: id  3 | task 137 |       total time =    1319.47 ms /   192 tokens
0.13.837.900 I slot print_timing: id  3 | task 137 |    graphs reused =        189
0.13.837.933 I slot      release: id  3 | task 137 | stop processing: n_tokens = 191, truncated = 0
0.13.845.937 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 5228427933
0.14.223.442 I slot launch_slot_: id  0 | task 205 | processing task, is_child = 0
0.15.351.688 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 5228428415
0.15.351.818 I slot launch_slot_: id  1 | task 204 | processing task, is_child = 0
0.15.351.946 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 5228428854
0.15.352.030 I slot launch_slot_: id  2 | task 206 | processing task, is_child = 0
0.15.352.096 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 5228429287
0.15.352.181 I slot launch_slot_: id  3 | task 207 | processing task, is_child = 0
0.16.665.527 I slot print_timing: id  0 | task 205 | prompt eval time =     458.16 ms /   128 tokens (    3.58 ms per token,   279.38 tokens per second)
0.16.665.532 I slot print_timing: id  0 | task 205 |        eval time =     855.15 ms /    64 tokens (   13.57 ms per token,    73.67 tokens per second)
0.16.665.532 I slot print_timing: id  0 | task 205 |       total time =    1313.30 ms /   192 tokens
0.16.665.534 I slot print_timing: id  0 | task 205 |    graphs reused =        252
0.16.665.579 I slot      release: id  0 | task 205 | stop processing: n_tokens = 191, truncated = 0
0.16.665.881 I slot print_timing: id  1 | task 204 | prompt eval time =     458.73 ms /   128 tokens (    3.58 ms per token,   279.03 tokens per second)
0.16.665.889 I slot print_timing: id  1 | task 204 |        eval time =     854.82 ms /    64 tokens (   13.57 ms per token,    73.70 tokens per second)
0.16.665.890 I slot print_timing: id  1 | task 204 |       total time =    1313.55 ms /   192 tokens
0.16.665.890 I slot print_timing: id  1 | task 204 |    graphs reused =        252
0.16.665.935 I slot      release: id  1 | task 204 | stop processing: n_tokens = 191, truncated = 0
0.16.666.258 I slot print_timing: id  2 | task 206 | prompt eval time =     459.25 ms /   128 tokens (    3.59 ms per token,   278.72 tokens per second)
0.16.666.263 I slot print_timing: id  2 | task 206 |        eval time =     854.56 ms /    64 tokens (   13.56 ms per token,    73.72 tokens per second)
0.16.666.264 I slot print_timing: id  2 | task 206 |       total time =    1313.81 ms /   192 tokens
0.16.666.265 I slot print_timing: id  2 | task 206 |    graphs reused =        252
0.16.666.297 I slot      release: id  2 | task 206 | stop processing: n_tokens = 191, truncated = 0
0.16.666.645 I slot print_timing: id  3 | task 207 | prompt eval time =     461.40 ms /   128 tokens (    3.60 ms per token,   277.41 tokens per second)
0.16.666.662 I slot print_timing: id  3 | task 207 |        eval time =     852.69 ms /    64 tokens (   13.53 ms per token,    73.88 tokens per second)
0.16.666.663 I slot print_timing: id  3 | task 207 |       total time =    1314.09 ms /   192 tokens
0.16.666.663 I slot print_timing: id  3 | task 207 |    graphs reused =        252
0.16.666.685 I slot      release: id  3 | task 207 | stop processing: n_tokens = 191, truncated = 0
0.17.700.138 I srv    operator(): operator(): cleaning up before exit...
