time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789652577.7370956,0.010752052000498225,25403,25436,0.0,314937344,0,1999753216,8573157376,49.0,700Mhz,96Mhz,
1789652578.4150977,0.6887555100001919,25403,25436,0.0,314937344,1,1997656064,8573157376,49.0,700Mhz,96Mhz,
1789652579.0877333,1.36139058200024,25403,25436,0.0,314937344,1,1995001856,8573157376,49.0,700Mhz,96Mhz,
1789652579.757077,2.0307341200004885,25403,25436,0.0,314937344,1,1995001856,8573157376,49.0,700Mhz,96Mhz,
1789652580.4309053,2.7045634750002137,25403,25436,0.0,314937344,2,1992904704,8573157376,49.0,700Mhz,96Mhz,
1789652581.112444,3.386101080000117,25403,25436,0.0,314937344,1,1995001856,8573157376,49.0,700Mhz,96Mhz,
1789652581.7857323,4.059389578999799,25403,25436,0.0,314937344,1,1984008192,8573157376,49.0,700Mhz,96Mhz,
1789652582.4635413,4.73719848500059,25403,25436,0.0,314937344,1,1981042688,8573157376,49.0,700Mhz,96Mhz,
1789652583.1421888,5.41584598999998,25403,25436,0.0,314937344,2,1981042688,8573157376,49.0,700Mhz,96Mhz,
1789652583.8004172,6.074074551999729,25403,25436,0.0,314937344,0,1972146176,8573157376,49.0,700Mhz,96Mhz,
1789652584.4813995,6.755056851000518,25403,25436,34.0,315207680,90,1992867840,8573157376,57.0,2635Mhz,1000Mhz,
1789652585.1567326,7.430390452000211,25403,25436,55.4,318902272,86,1995554816,8573157376,59.0,2630Mhz,1000Mhz,
1789652585.8248034,8.09846068600018,25403,25436,52.9,322539520,84,1995554816,8573157376,59.0,2630Mhz,1000Mhz,
1789652586.5054812,8.779138832000172,25403,25436,54.0,326905856,93,1993457664,8573157376,60.0,2630Mhz,1000Mhz,
1789652587.171498,9.445155205999981,25403,25436,9.1,326914048,6,1993457664,8573157376,51.0,700Mhz,96Mhz,
1789652587.8324797,10.106136387000333,25403,25436,0.0,326914048,7,1993457664,8573157376,50.0,700Mhz,96Mhz,
1789652588.5217957,10.795452993000254,25403,25436,0.0,326914048,4,1993457664,8573157376,50.0,700Mhz,96Mhz,
1789652589.1810288,11.454686465000123,25403,25436,0.0,326914048,5,1995554816,8573157376,50.0,700Mhz,96Mhz,
1789652589.8528936,12.12655094999991,25403,25436,0.0,326914048,5,1993457664,8573157376,50.0,700Mhz,96Mhz,
1789652590.5166194,12.790276839000398,25403,25436,0.0,326914048,4,1993457664,8573157376,49.0,700Mhz,96Mhz,
1789652591.195525,13.469182187000115,25403,25436,0.0,326914048,4,1993457664,8573157376,49.0,700Mhz,96Mhz,
1789652591.868649,14.142306204000306,25403,25436,0.0,326914048,4,1993457664,8573157376,50.0,700Mhz,96Mhz,
1789652592.53482,14.808477299000515,25403,25436,0.0,326914048,3,1993457664,8573157376,49.0,700Mhz,96Mhz,
1789652593.2157595,15.489417978000347,25403,25436,0.0,326914048,5,1995554816,8573157376,49.0,700Mhz,96Mhz,
1789652593.879731,16.153387960000146,25403,25436,0.0,326914048,4,1993457664,8573157376,49.0,700Mhz,96Mhz,
1789652594.5528646,16.826521607999894,25403,25436,19.5,330530816,93,1993457664,8573157376,56.0,2635Mhz,1000Mhz,
1789652595.2207537,17.4944113800002,25403,25436,51.1,332664832,83,1994248192,8573157376,58.0,2630Mhz,1000Mhz,
1789652595.8867207,18.160378262999984,25403,25436,51.6,336773120,42,1994248192,8573157376,61.0,2305Mhz,1000Mhz,
1789652596.5462468,18.81990323900027,25403,25436,69.6,338309120,69,1996345344,8573157376,58.0,2630Mhz,1000Mhz,
1789652597.2212844,19.494942035999884,25403,25436,59.6,342384640,75,2001408000,8573157376,60.0,915Mhz,1000Mhz,
1789652597.8928907,20.166547148000063,25403,25436,49.9,342384640,4,1999310848,8573157376,57.0,700Mhz,96Mhz,
1789652598.5742562,20.847913231000348,25403,25436,0.0,342384640,2,1999310848,8573157376,51.0,700Mhz,96Mhz,
1789652599.241055,21.514711923000505,25403,25436,0.0,342384640,2,1997213696,8573157376,50.0,700Mhz,96Mhz,
1789652599.8954375,22.169094425000367,25403,25436,0.0,342384640,2,1997213696,8573157376,50.0,700Mhz,96Mhz,
1789652600.5607553,22.834412410999903,25403,25436,0.0,342384640,3,1999310848,8573157376,50.0,700Mhz,96Mhz,
1789652601.2269073,23.500564175999898,25403,25436,0.0,342384640,4,1999310848,8573157376,50.0,700Mhz,96Mhz,
1789652601.8930109,24.166668099999697,25403,25436,0.0,342384640,2,1997213696,8573157376,50.0,700Mhz,96Mhz,
