time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789656879.0656576,0.01072123900121369,42486,42517,0.0,312860672,3,1966587904,8573157376,48.0,700Mhz,96Mhz,
1789656879.5003395,0.44540456300092046,42486,42517,0.0,312860672,2,1966587904,8573157376,48.0,700Mhz,96Mhz,
1789656879.927506,0.872570388000895,42486,42517,0.0,312860672,5,1966587904,8573157376,48.0,700Mhz,96Mhz,
1789656880.3565323,1.301596713001345,42486,42517,0.0,312860672,3,1966587904,8573157376,48.0,700Mhz,96Mhz,
1789656880.7745602,1.7196248760010349,42486,42517,0.0,312860672,4,1966587904,8573157376,48.0,700Mhz,96Mhz,
1789656881.1919808,2.137044982000589,42486,42517,0.0,312860672,4,1966587904,8573157376,48.0,700Mhz,96Mhz,
1789656881.6171947,2.5622602680014097,42486,42517,0.0,312860672,2,1966587904,8573157376,48.0,700Mhz,96Mhz,
1789656882.0473044,2.9923691240001062,42486,42517,0.0,312860672,0,1966587904,8573157376,48.0,700Mhz,96Mhz,
1789656882.4834154,3.4284794720006175,42486,42517,0.0,312860672,3,1966587904,8573157376,48.0,700Mhz,96Mhz,
1789656882.9026754,3.847740267001427,42486,42517,0.0,312860672,3,1966587904,8573157376,48.0,700Mhz,96Mhz,
1789656883.3224242,4.267488876999778,42486,42517,0.0,312860672,2,1966587904,8573157376,48.0,700Mhz,96Mhz,
1789656883.7487845,4.693848924000122,42486,42517,0.0,312860672,1,1966587904,8573157376,48.0,700Mhz,96Mhz,
1789656884.1802833,5.125347844999851,42486,42517,0.0,312860672,0,1966587904,8573157376,48.0,700Mhz,96Mhz,
1789656884.6000912,5.5451560450001125,42486,42517,0.0,312860672,0,1966587904,8573157376,48.0,700Mhz,96Mhz,
1789656885.0298429,5.974907458001326,42486,42517,0.0,312860672,4,1966587904,8573157376,48.0,700Mhz,96Mhz,
1789656885.4563384,6.401402927000163,42486,42517,24.0,313024512,92,1987309568,8573157376,54.0,2639Mhz,1000Mhz,
1789656885.8728592,6.817923534001238,42486,42517,53.2,313012224,88,1987309568,8573157376,57.0,2630Mhz,1000Mhz,
1789656886.2864387,7.23150287000135,42486,42517,52.3,316641280,89,1987899392,8573157376,57.0,2630Mhz,1000Mhz,
1789656886.7069888,7.6520534490009595,42486,42517,51.8,320270336,87,1987899392,8573157376,58.0,2630Mhz,1000Mhz,
1789656887.1510077,8.096071997000763,42486,42517,57.0,322719744,93,1987899392,8573157376,58.0,2630Mhz,1000Mhz,
1789656887.572266,8.517330223001409,42486,42517,49.1,324620288,91,1987899392,8573157376,58.0,2630Mhz,1000Mhz,
1789656888.000181,8.945245476001219,42486,42517,28.4,324636672,1,1987899392,8573157376,51.0,700Mhz,96Mhz,
1789656888.4222636,9.367328390000694,42486,42517,0.0,324636672,4,1990864896,8573157376,50.0,700Mhz,96Mhz,
1789656888.8473449,9.792409395000504,42486,42517,0.0,324636672,0,1990864896,8573157376,49.0,700Mhz,96Mhz,
1789656889.2699955,10.215059545000258,42486,42517,0.0,324636672,2,1990864896,8573157376,49.0,700Mhz,96Mhz,
1789656889.6784604,10.623524779000945,42486,42517,0.0,324636672,2,1990864896,8573157376,49.0,700Mhz,96Mhz,
1789656890.1035376,11.048602763999952,42486,42517,0.0,324636672,4,1990864896,8573157376,49.0,700Mhz,96Mhz,
1789656890.5257578,11.470822199000395,42486,42517,0.0,324636672,2,1990864896,8573157376,48.0,700Mhz,96Mhz,
1789656890.9420433,11.88710783300121,42486,42517,0.0,324636672,2,1990864896,8573157376,49.0,700Mhz,96Mhz,
1789656891.363162,12.308226527000443,42486,42517,0.0,324636672,1,1990864896,8573157376,48.0,700Mhz,96Mhz,
1789656891.7840881,12.729152638999949,42486,42517,0.0,324636672,6,1990864896,8573157376,48.0,700Mhz,96Mhz,
1789656892.211695,13.156759170000441,42486,42517,0.0,324636672,8,1990864896,8573157376,48.0,700Mhz,96Mhz,
