0.00.050.358 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.050.540 W srv  llama_server: -----------------
0.00.050.543 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.050.543 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.050.543 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.050.543 W srv  llama_server: -----------------
0.00.051.799 I srv    load_model: loading model 'work/results/models/LFM2.5-2.6B-ROCmFP4_FAST.gguf'
0.01.532.866 I cmn          init: llama threadpool init, n_threads = 4
0.01.597.903 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 1024, kv_unified = 'false'
0.01.602.723 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.01.602.757 I srv  llama_server: model loaded
0.01.602.762 I srv  llama_server: listening on http://127.0.0.1:18043
0.08.601.198 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.08.601.257 I slot launch_slot_: id  3 | task 1 | processing task, is_child = 0
0.09.205.770 I slot print_timing: id  3 | task 1 | prompt eval time =      93.17 ms /   128 tokens (    0.73 ms per token,  1373.88 tokens per second)
0.09.205.776 I slot print_timing: id  3 | task 1 |        eval time =     511.30 ms /    64 tokens (    8.12 ms per token,   123.22 tokens per second)
0.09.205.777 I slot print_timing: id  3 | task 1 |       total time =     604.47 ms /   192 tokens
0.09.205.782 I slot print_timing: id  3 | task 1 |    graphs reused =         63
0.09.205.832 I slot      release: id  3 | task 1 | stop processing: n_tokens = 191, truncated = 0
0.09.207.488 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.09.207.506 I slot launch_slot_: id  2 | task 67 | processing task, is_child = 0
0.09.830.933 I slot print_timing: id  2 | task 67 | prompt eval time =      89.89 ms /   128 tokens (    0.70 ms per token,  1424.04 tokens per second)
0.09.830.937 I slot print_timing: id  2 | task 67 |        eval time =     529.54 ms /    64 tokens (    8.41 ms per token,   118.97 tokens per second)
0.09.830.937 I slot print_timing: id  2 | task 67 |       total time =     619.42 ms /   192 tokens
0.09.830.938 I slot print_timing: id  2 | task 67 |    graphs reused =        125
0.09.830.965 I slot      release: id  2 | task 67 | stop processing: n_tokens = 191, truncated = 0
0.09.834.739 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.09.834.770 I slot launch_slot_: id  1 | task 133 | processing task, is_child = 0
0.10.450.179 I slot print_timing: id  1 | task 133 | prompt eval time =      87.12 ms /   128 tokens (    0.68 ms per token,  1469.29 tokens per second)
0.10.450.184 I slot print_timing: id  1 | task 133 |        eval time =     520.85 ms /    64 tokens (    8.27 ms per token,   120.96 tokens per second)
0.10.450.184 I slot print_timing: id  1 | task 133 |       total time =     607.97 ms /   192 tokens
0.10.450.186 I slot print_timing: id  1 | task 133 |    graphs reused =        187
0.10.450.212 I slot      release: id  1 | task 133 | stop processing: n_tokens = 191, truncated = 0
0.10.453.649 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.10.453.692 I slot launch_slot_: id  0 | task 199 | processing task, is_child = 0
0.11.088.284 I slot print_timing: id  0 | task 199 | prompt eval time =      95.56 ms /   128 tokens (    0.75 ms per token,  1339.49 tokens per second)
0.11.088.289 I slot print_timing: id  0 | task 199 |        eval time =     532.55 ms /    64 tokens (    8.45 ms per token,   118.30 tokens per second)
0.11.088.290 I slot print_timing: id  0 | task 199 |       total time =     628.11 ms /   192 tokens
0.11.088.291 I slot print_timing: id  0 | task 199 |    graphs reused =        249
0.11.088.329 I slot      release: id  0 | task 199 | stop processing: n_tokens = 191, truncated = 0
0.18.721.229 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 8867011698
0.18.721.329 I slot launch_slot_: id  3 | task 265 | processing task, is_child = 0
0.19.350.864 I slot print_timing: id  3 | task 265 | prompt eval time =      89.33 ms /   128 tokens (    0.70 ms per token,  1432.81 tokens per second)
0.19.350.870 I slot print_timing: id  3 | task 265 |        eval time =     533.66 ms /    64 tokens (    8.47 ms per token,   118.05 tokens per second)
0.19.350.871 I slot print_timing: id  3 | task 265 |       total time =     623.00 ms /   192 tokens
0.19.350.872 I slot print_timing: id  3 | task 265 |    graphs reused =        311
0.19.350.907 I slot      release: id  3 | task 265 | stop processing: n_tokens = 191, truncated = 0
0.19.355.999 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 8867636832
0.19.356.080 I slot launch_slot_: id  2 | task 331 | processing task, is_child = 0
0.19.360.542 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 8868256079
0.19.360.584 I slot launch_slot_: id  1 | task 332 | processing task, is_child = 0
0.19.360.613 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 8868894195
0.19.360.638 I slot launch_slot_: id  0 | task 333 | processing task, is_child = 0
0.19.360.653 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 8877156774
0.19.360.678 I slot launch_slot_: id  3 | task 334 | processing task, is_child = 0
0.20.468.234 I slot print_timing: id  0 | task 333 | prompt eval time =     323.14 ms /   128 tokens (    2.52 ms per token,   396.12 tokens per second)
0.20.468.241 I slot print_timing: id  0 | task 333 |        eval time =     784.39 ms /    64 tokens (   12.45 ms per token,    80.32 tokens per second)
0.20.468.242 I slot print_timing: id  0 | task 333 |       total time =    1107.53 ms /   192 tokens
0.20.468.243 I slot print_timing: id  0 | task 333 |    graphs reused =        374
0.20.468.274 I slot      release: id  0 | task 333 | stop processing: n_tokens = 191, truncated = 0
0.20.468.569 I slot print_timing: id  1 | task 332 | prompt eval time =     323.78 ms /   128 tokens (    2.53 ms per token,   395.33 tokens per second)
0.20.468.574 I slot print_timing: id  1 | task 332 |        eval time =     784.04 ms /    64 tokens (   12.45 ms per token,    80.35 tokens per second)
0.20.468.574 I slot print_timing: id  1 | task 332 |       total time =    1107.82 ms /   192 tokens
0.20.468.575 I slot print_timing: id  1 | task 332 |    graphs reused =        374
0.20.468.614 I slot      release: id  1 | task 332 | stop processing: n_tokens = 191, truncated = 0
0.20.468.956 I slot print_timing: id  2 | task 331 | prompt eval time =     324.43 ms /   128 tokens (    2.53 ms per token,   394.53 tokens per second)
0.20.468.959 I slot print_timing: id  2 | task 331 |        eval time =     783.72 ms /    64 tokens (   12.44 ms per token,    80.39 tokens per second)
0.20.468.960 I slot print_timing: id  2 | task 331 |       total time =    1108.15 ms /   192 tokens
0.20.468.961 I slot print_timing: id  2 | task 331 |    graphs reused =        374
0.20.468.995 I slot      release: id  2 | task 331 | stop processing: n_tokens = 191, truncated = 0
0.20.469.297 I slot print_timing: id  3 | task 334 | prompt eval time =     325.08 ms /   128 tokens (    2.54 ms per token,   393.75 tokens per second)
0.20.469.300 I slot print_timing: id  3 | task 334 |        eval time =     783.37 ms /    64 tokens (   12.43 ms per token,    80.42 tokens per second)
0.20.469.301 I slot print_timing: id  3 | task 334 |       total time =    1108.45 ms /   192 tokens
0.20.469.302 I slot print_timing: id  3 | task 334 |    graphs reused =        374
0.20.469.332 I slot      release: id  3 | task 334 | stop processing: n_tokens = 191, truncated = 0
0.20.472.904 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 8878274140
0.20.477.918 I slot launch_slot_: id  0 | task 400 | processing task, is_child = 0
0.20.495.914 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 8878274481
0.20.495.968 I slot launch_slot_: id  1 | task 401 | processing task, is_child = 0
0.20.495.998 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 8878274862
0.20.496.025 I slot launch_slot_: id  2 | task 402 | processing task, is_child = 0
0.20.496.040 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 8878275199
0.20.496.067 I slot launch_slot_: id  3 | task 403 | processing task, is_child = 0
0.21.604.901 I slot print_timing: id  0 | task 400 | prompt eval time =     319.29 ms /   128 tokens (    2.49 ms per token,   400.88 tokens per second)
0.21.604.908 I slot print_timing: id  0 | task 400 |        eval time =     789.50 ms /    64 tokens (   12.53 ms per token,    79.80 tokens per second)
0.21.604.910 I slot print_timing: id  0 | task 400 |       total time =    1108.80 ms /   192 tokens
0.21.604.911 I slot print_timing: id  0 | task 400 |    graphs reused =        437
0.21.604.946 I slot      release: id  0 | task 400 | stop processing: n_tokens = 191, truncated = 0
0.21.605.284 I slot print_timing: id  1 | task 401 | prompt eval time =     319.85 ms /   128 tokens (    2.50 ms per token,   400.19 tokens per second)
0.21.605.289 I slot print_timing: id  1 | task 401 |        eval time =     789.27 ms /    64 tokens (   12.53 ms per token,    79.82 tokens per second)
0.21.605.289 I slot print_timing: id  1 | task 401 |       total time =    1109.12 ms /   192 tokens
0.21.605.290 I slot print_timing: id  1 | task 401 |    graphs reused =        437
0.21.605.313 I slot      release: id  1 | task 401 | stop processing: n_tokens = 191, truncated = 0
0.21.605.597 I slot print_timing: id  2 | task 402 | prompt eval time =     320.50 ms /   128 tokens (    2.50 ms per token,   399.38 tokens per second)
0.21.605.605 I slot print_timing: id  2 | task 402 |        eval time =     788.90 ms /    64 tokens (   12.52 ms per token,    79.86 tokens per second)
0.21.605.606 I slot print_timing: id  2 | task 402 |       total time =    1109.39 ms /   192 tokens
0.21.605.606 I slot print_timing: id  2 | task 402 |    graphs reused =        437
0.21.605.628 I slot      release: id  2 | task 402 | stop processing: n_tokens = 191, truncated = 0
0.21.605.924 I slot print_timing: id  3 | task 403 | prompt eval time =     322.72 ms /   128 tokens (    2.52 ms per token,   396.63 tokens per second)
0.21.605.926 I slot print_timing: id  3 | task 403 |        eval time =     786.95 ms /    64 tokens (   12.49 ms per token,    80.06 tokens per second)
0.21.605.927 I slot print_timing: id  3 | task 403 |       total time =    1109.67 ms /   192 tokens
0.21.605.927 I slot print_timing: id  3 | task 403 |    graphs reused =        437
0.21.605.949 I slot      release: id  3 | task 403 | stop processing: n_tokens = 191, truncated = 0
0.21.611.784 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 8879410813
0.21.616.739 I slot launch_slot_: id  0 | task 469 | processing task, is_child = 0
0.21.630.921 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 8879411179
0.21.630.969 I slot launch_slot_: id  1 | task 470 | processing task, is_child = 0
0.21.630.999 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 8879411494
0.21.631.025 I slot launch_slot_: id  2 | task 471 | processing task, is_child = 0
0.21.631.040 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 8879411815
0.21.631.066 I slot launch_slot_: id  3 | task 472 | processing task, is_child = 0
0.22.723.399 I slot print_timing: id  0 | task 469 | prompt eval time =     316.13 ms /   128 tokens (    2.47 ms per token,   404.89 tokens per second)
0.22.723.405 I slot print_timing: id  0 | task 469 |        eval time =     776.16 ms /    64 tokens (   12.32 ms per token,    81.17 tokens per second)
0.22.723.406 I slot print_timing: id  0 | task 469 |       total time =    1092.29 ms /   192 tokens
0.22.723.407 I slot print_timing: id  0 | task 469 |    graphs reused =        500
0.22.723.446 I slot      release: id  0 | task 469 | stop processing: n_tokens = 191, truncated = 0
0.22.723.780 I slot print_timing: id  1 | task 470 | prompt eval time =     316.69 ms /   128 tokens (    2.47 ms per token,   404.18 tokens per second)
0.22.723.787 I slot print_timing: id  1 | task 470 |        eval time =     775.95 ms /    64 tokens (   12.32 ms per token,    81.19 tokens per second)
0.22.723.788 I slot print_timing: id  1 | task 470 |       total time =    1092.64 ms /   192 tokens
0.22.723.788 I slot print_timing: id  1 | task 470 |    graphs reused =        500
0.22.723.843 I slot      release: id  1 | task 470 | stop processing: n_tokens = 191, truncated = 0
0.22.724.241 I slot print_timing: id  2 | task 471 | prompt eval time =     317.25 ms /   128 tokens (    2.48 ms per token,   403.47 tokens per second)
0.22.724.253 I slot print_timing: id  2 | task 471 |        eval time =     775.78 ms /    64 tokens (   12.31 ms per token,    81.21 tokens per second)
0.22.724.255 I slot print_timing: id  2 | task 471 |       total time =    1093.03 ms /   192 tokens
0.22.724.255 I slot print_timing: id  2 | task 471 |    graphs reused =        500
0.22.724.299 I slot      release: id  2 | task 471 | stop processing: n_tokens = 191, truncated = 0
0.22.724.704 I slot print_timing: id  3 | task 472 | prompt eval time =     319.36 ms /   128 tokens (    2.50 ms per token,   400.80 tokens per second)
0.22.724.713 I slot print_timing: id  3 | task 472 |        eval time =     774.10 ms /    64 tokens (   12.29 ms per token,    81.38 tokens per second)
0.22.724.714 I slot print_timing: id  3 | task 472 |       total time =    1093.46 ms /   192 tokens
0.22.724.715 I slot print_timing: id  3 | task 472 |    graphs reused =        500
0.22.724.748 I slot      release: id  3 | task 472 | stop processing: n_tokens = 191, truncated = 0
0.23.790.966 I srv    operator(): operator(): cleaning up before exit...
