time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789656817.7178297,0.011374226000043564,42251,42287,0.0,225062912,1,1971908608,8573157376,47.0,700Mhz,96Mhz,
1789656818.1491287,0.44267527500051074,42251,42287,0.0,225062912,1,1969811456,8573157376,47.0,700Mhz,96Mhz,
1789656818.5791185,0.8726640790009697,42251,42287,0.0,225062912,2,1969811456,8573157376,47.0,700Mhz,96Mhz,
1789656819.0009277,1.2944733800013637,42251,42287,0.0,225062912,2,1969811456,8573157376,47.0,700Mhz,96Mhz,
1789656819.4182546,1.7118003360010334,42251,42287,0.0,225062912,3,1969811456,8573157376,46.0,700Mhz,96Mhz,
1789656819.8455274,2.139072853000471,42251,42287,0.0,225062912,3,1969811456,8573157376,47.0,700Mhz,96Mhz,
1789656820.2641892,2.557734922000236,42251,42287,0.0,225062912,2,1969811456,8573157376,47.0,700Mhz,96Mhz,
1789656820.6892664,2.9828116860007867,42251,42287,0.0,225062912,1,1969811456,8573157376,47.0,700Mhz,96Mhz,
1789656821.1047428,3.398288272001082,42251,42287,0.0,225062912,1,1969811456,8573157376,47.0,700Mhz,96Mhz,
1789656821.5252779,3.818823751000309,42251,42287,0.0,225062912,2,1969811456,8573157376,47.0,700Mhz,96Mhz,
1789656821.9445875,4.238133086000744,42251,42287,0.0,225062912,0,1969811456,8573157376,46.0,700Mhz,96Mhz,
1789656822.372615,4.666160871000102,42251,42287,0.0,225062912,0,1969811456,8573157376,47.0,700Mhz,96Mhz,
1789656822.7979188,5.091464578001251,42251,42287,0.0,225062912,2,1969811456,8573157376,46.0,700Mhz,96Mhz,
1789656823.23211,5.525655486000687,42251,42287,0.0,225062912,1,1969811456,8573157376,47.0,700Mhz,96Mhz,
1789656823.6511724,5.944718099000966,42251,42287,0.0,225062912,5,1969811456,8573157376,46.0,700Mhz,96Mhz,
1789656824.083515,6.377060528000584,42251,42287,4.7,225226752,60,1971728384,8573157376,46.0,1930Mhz,541Mhz,
1789656824.5085962,6.802141732001473,42251,42287,56.9,225427456,86,1972350976,8573157376,55.0,2635Mhz,1000Mhz,
1789656824.9305725,7.224118105001253,42251,42287,51.3,225513472,90,1972350976,8573157376,56.0,2630Mhz,1000Mhz,
1789656825.379015,7.672560239001541,42251,42287,50.7,225583104,99,1983909888,8573157376,56.0,2630Mhz,1000Mhz,
1789656825.8127234,8.106268702000307,42251,42287,53.6,225615872,91,1983909888,8573157376,57.0,2630Mhz,1000Mhz,
1789656826.24153,8.535075265001069,42251,42287,50.3,225697792,88,1983909888,8573157376,58.0,2630Mhz,1000Mhz,
1789656826.6587577,8.95230260900098,42251,42287,33.0,225697792,4,1983909888,8573157376,51.0,700Mhz,96Mhz,
1789656827.1132445,9.406789775001016,42251,42287,0.0,225697792,5,1983909888,8573157376,49.0,700Mhz,96Mhz,
1789656827.5281394,9.821685335000438,42251,42287,0.0,225697792,4,1983909888,8573157376,48.0,700Mhz,96Mhz,
1789656827.9598355,10.253380998001376,42251,42287,0.0,225697792,5,1981255680,8573157376,48.0,700Mhz,96Mhz,
1789656828.3759172,10.669462930000009,42251,42287,0.0,225697792,8,1981255680,8573157376,48.0,700Mhz,96Mhz,
1789656828.8031702,11.096716037000078,42251,42287,0.0,225697792,7,1981255680,8573157376,48.0,700Mhz,96Mhz,
