time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789658057.0559554,0.01039033600136463,46695,46728,0.0,386830336,6,2126061568,8573157376,49.0,700Mhz,96Mhz,
1789658057.4854462,0.43988225199973385,46695,46728,0.0,386830336,5,2126061568,8573157376,50.0,700Mhz,96Mhz,
1789658057.8987155,0.853151393999724,46695,46728,0.0,386830336,8,2126061568,8573157376,49.0,700Mhz,96Mhz,
1789658058.3185132,1.2729488820004917,46695,46728,0.0,386830336,8,2126061568,8573157376,49.0,700Mhz,96Mhz,
1789658058.7353032,1.6897390700014512,46695,46728,0.0,386830336,8,2123964416,8573157376,50.0,700Mhz,96Mhz,
1789658059.1516023,2.10603821299992,46695,46728,0.0,386830336,7,2123964416,8573157376,49.0,700Mhz,96Mhz,
1789658059.5704873,2.5249235020000924,46695,46728,0.0,386830336,6,2123964416,8573157376,49.0,700Mhz,96Mhz,
1789658059.997044,2.951479418001327,46695,46728,0.0,386830336,6,2123964416,8573157376,49.0,700Mhz,96Mhz,
1789658060.4153492,3.369784960999823,46695,46728,0.0,386830336,6,2123960320,8573157376,49.0,700Mhz,96Mhz,
1789658060.8323858,3.786821741001404,46695,46728,0.0,386830336,5,2123960320,8573157376,49.0,700Mhz,96Mhz,
1789658061.2506382,4.205074104000232,46695,46728,0.0,386830336,3,2123960320,8573157376,49.0,700Mhz,96Mhz,
1789658061.6607366,4.615172854000775,46695,46728,0.0,386830336,5,2120994816,8573157376,49.0,700Mhz,96Mhz,
1789658062.0832608,5.037696729001254,46695,46728,0.0,386830336,6,2120994816,8573157376,49.0,700Mhz,96Mhz,
1789658062.4972706,5.451706349000233,46695,46728,0.0,386830336,5,2120994816,8573157376,49.0,700Mhz,96Mhz,
1789658062.915044,5.869480006000231,46695,46728,0.0,386830336,5,2120994816,8573157376,50.0,700Mhz,96Mhz,
1789658063.3328578,6.287294084000678,46695,46728,0.0,386830336,3,2120994816,8573157376,49.0,700Mhz,96Mhz,
1789658063.7638257,6.718260846000703,46695,46728,42.1,387035136,93,2142441472,8573157376,56.0,2635Mhz,1000Mhz,
1789658064.1912515,7.145687391001047,46695,46728,51.9,387473408,93,2142441472,8573157376,56.0,2630Mhz,1000Mhz,
1789658064.6151924,7.569628131001082,46695,46728,55.1,393703424,84,2142932992,8573157376,59.0,2630Mhz,1000Mhz,
1789658065.032759,7.987194647001161,46695,46728,60.0,393707520,82,2142932992,8573157376,62.0,2630Mhz,1000Mhz,
1789658065.4497871,8.404223387000457,46695,46728,53.2,402219008,99,2142932992,8573157376,59.0,2630Mhz,1000Mhz,
1789658065.863347,8.817782642001475,46695,46728,58.2,403791872,92,2142932992,8573157376,61.0,2625Mhz,1000Mhz,
1789658066.2754083,9.229844351000793,46695,46728,60.8,403791872,85,2142932992,8573157376,62.0,2625Mhz,1000Mhz,
1789658066.7029855,9.657421278001493,46695,46728,55.6,409464832,45,2142932992,8573157376,61.0,2485Mhz,1000Mhz,
1789658067.1167896,10.071225376001166,46695,46728,55.6,411029504,85,2142932992,8573157376,62.0,2625Mhz,1000Mhz,
1789658067.5302658,10.484702170000674,46695,46728,62.1,411029504,89,2142932992,8573157376,63.0,2625Mhz,1000Mhz,
1789658067.9487357,10.903172255000754,46695,46728,58.0,421056512,79,2142932992,8573157376,61.0,2060Mhz,1000Mhz,
1789658068.3622732,11.316708800000924,46695,46728,55.3,421068800,90,2147995648,8573157376,64.0,2625Mhz,1000Mhz,
1789658068.7784905,11.732926192000377,46695,46728,57.1,421068800,82,2147995648,8573157376,64.0,2625Mhz,1000Mhz,
1789658069.1987996,12.153235365,46695,46728,58.0,428687360,84,2147995648,8573157376,61.0,1315Mhz,1000Mhz,
1789658069.612703,12.56713880300049,46695,46728,57.5,439349248,90,2148524032,8573157376,63.0,2625Mhz,1000Mhz,
1789658070.0300047,12.984440296000685,46695,46728,59.8,439349248,86,2148524032,8573157376,63.0,2625Mhz,1000Mhz,
1789658070.4479237,13.402359495001292,46695,46728,57.7,448991232,87,2146426880,8573157376,62.0,2560Mhz,1000Mhz,
1789658070.8642092,13.818644718001451,46695,46728,52.7,448999424,91,2146426880,8573157376,64.0,2625Mhz,1000Mhz,
1789658071.2816331,14.236068572001386,46695,46728,60.8,448999424,83,2146426880,8573157376,65.0,2625Mhz,1000Mhz,
1789658071.692856,14.647291762999885,46695,46728,55.0,455077888,98,2146426880,8573157376,62.0,2625Mhz,1000Mhz,
