time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789609630.0303614,0.011408247002691496,186569,186596,0.0,372490240,3,2019540992,8573157376,51.0,700Mhz,541Mhz,
1789609630.469758,0.4508061250016908,186569,186596,0.0,372490240,6,2019540992,8573157376,51.0,700Mhz,96Mhz,
1789609630.8931072,0.8741549730038969,186569,186596,0.0,372490240,3,2017443840,8573157376,51.0,700Mhz,96Mhz,
1789609631.3235018,1.3045497800048906,186569,186596,0.0,372490240,4,2017443840,8573157376,51.0,700Mhz,96Mhz,
1789609631.744155,1.7252028479997534,186569,186596,0.0,372490240,4,2017443840,8573157376,51.0,700Mhz,96Mhz,
1789609632.1710403,2.1520877459988697,186569,186596,0.0,372490240,4,2017456128,8573157376,50.0,700Mhz,96Mhz,
1789609632.6082804,2.5893282090037246,186569,186596,0.0,372490240,2,2017443840,8573157376,50.0,700Mhz,541Mhz,
1789609633.036353,3.017400680000719,186569,186596,0.0,372490240,5,2017443840,8573157376,50.0,700Mhz,96Mhz,
1789609633.467978,3.4490254710035515,186569,186596,0.0,372490240,3,2017443840,8573157376,50.0,700Mhz,96Mhz,
1789609633.8892853,3.870332796002913,186569,186596,0.0,372490240,4,2019540992,8573157376,50.0,700Mhz,96Mhz,
1789609634.325074,4.306122093003069,186569,186596,0.0,372490240,4,2019540992,8573157376,50.0,700Mhz,541Mhz,
1789609634.7535684,4.734616289002588,186569,186596,0.0,372490240,4,2017443840,8573157376,50.0,700Mhz,541Mhz,
1789609635.1689868,5.150034839003638,186569,186596,0.0,372490240,6,2017443840,8573157376,50.0,700Mhz,541Mhz,
1789609635.5906844,5.571731987998646,186569,186596,0.0,372490240,4,2014478336,8573157376,50.0,700Mhz,541Mhz,
1789609636.018186,5.999233533002553,186569,186596,0.0,372490240,2,2014478336,8573157376,50.0,700Mhz,96Mhz,
1789609636.440919,6.421966824003903,186569,186596,21.3,376963072,5,2015506432,8573157376,50.0,700Mhz,541Mhz,
1789609636.8632588,6.844306541002879,186569,186596,99.3,376963072,3,2015506432,8573157376,50.0,700Mhz,541Mhz,
1789609637.2864182,7.267465896999056,186569,186596,101.1,376963072,3,2015506432,8573157376,50.0,700Mhz,96Mhz,
1789609637.7214253,7.7024729550030315,186569,186596,62.3,377233408,93,2034843648,8573157376,58.0,2630Mhz,1000Mhz,
1789609638.1546729,8.135720244004915,186569,186596,38.7,377528320,99,2034843648,8573157376,61.0,2625Mhz,1000Mhz,
1789609638.568192,8.549239651998505,186569,186596,27.4,377528320,88,2034864128,8573157376,62.0,2630Mhz,1000Mhz,
1789609639.00577,8.986817680000968,186569,186596,60.7,377532416,85,2032766976,8573157376,61.0,2630Mhz,1000Mhz,
1789609639.434148,9.415195503999712,186569,186596,51.2,377659392,99,2032766976,8573157376,61.0,2630Mhz,1000Mhz,
1789609639.8439345,9.82498162000411,186569,186596,21.6,377659392,98,2032766976,8573157376,62.0,2630Mhz,1000Mhz,
1789609640.2596748,10.240722303002258,186569,186596,63.5,377659392,80,2032766976,8573157376,61.0,2630Mhz,1000Mhz,
1789609640.7008026,10.681849890002923,186569,186596,54.9,383885312,98,2032766976,8573157376,60.0,2630Mhz,1000Mhz,
1789609641.119966,11.101013242005138,186569,186596,20.7,383885312,85,2032766976,8573157376,63.0,2475Mhz,1000Mhz,
1789609641.5544136,11.535460883998894,186569,186596,60.1,383885312,87,2034864128,8573157376,63.0,2620Mhz,1000Mhz,
1789609641.9866433,11.967690600999049,186569,186596,53.8,383885312,5,2034864128,8573157376,60.0,700Mhz,96Mhz,
1789609642.4156475,12.396696533003706,186569,186596,0.0,383885312,4,2034864128,8573157376,53.0,700Mhz,96Mhz,
1789609642.8372908,12.81833858200116,186569,186596,0.0,383885312,1,2032766976,8573157376,53.0,700Mhz,96Mhz,
