time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789609613.4632194,0.011821582003904041,186441,186465,0.0,310906880,3,2049433600,8573157376,51.0,700Mhz,96Mhz,
1789609613.902941,0.4515445040015038,186441,186465,0.0,310906880,3,2051530752,8573157376,51.0,700Mhz,96Mhz,
1789609614.328033,0.8766358310022042,186441,186465,0.0,310906880,4,2051530752,8573157376,51.0,700Mhz,96Mhz,
1789609614.7503207,1.2989236080029514,186441,186465,0.0,310906880,2,2049433600,8573157376,51.0,700Mhz,541Mhz,
1789609615.167008,1.7156114509998588,186441,186465,0.0,310906880,1,2049433600,8573157376,51.0,700Mhz,96Mhz,
1789609615.5883553,2.136958877003053,186441,186465,0.0,310906880,2,2047336448,8573157376,51.0,700Mhz,96Mhz,
1789609616.0089874,2.557590774005803,186441,186465,0.0,310906880,3,2047336448,8573157376,50.0,700Mhz,96Mhz,
1789609616.4309318,2.979534637001052,186441,186465,0.0,310906880,1,2047336448,8573157376,50.0,700Mhz,96Mhz,
1789609616.8538935,3.402496851005708,186441,186465,0.0,310906880,3,2047336448,8573157376,50.0,700Mhz,96Mhz,
1789609617.2836351,3.8322381600009976,186441,186465,0.0,310906880,1,2047336448,8573157376,50.0,700Mhz,96Mhz,
1789609617.7052796,4.253882449003868,186441,186465,0.0,310906880,1,2054496256,8573157376,50.0,700Mhz,96Mhz,
1789609618.1392226,4.6878261960009695,186441,186465,0.0,310906880,1,2054496256,8573157376,50.0,700Mhz,541Mhz,
1789609618.5660641,5.114666983005009,186441,186465,0.0,310906880,4,2054496256,8573157376,50.0,700Mhz,96Mhz,
1789609618.9929783,5.5415818210021826,186441,186465,0.0,310906880,3,2052399104,8573157376,50.0,700Mhz,541Mhz,
1789609619.413653,5.962256199003605,186441,186465,0.0,310906880,1,2052399104,8573157376,50.0,700Mhz,96Mhz,
1789609619.8383687,6.386971533000178,186441,186465,13.9,311042048,99,2052861952,8573157376,56.0,2635Mhz,675Mhz,
1789609620.2704284,6.819031277998874,186441,186465,52.7,311123968,93,2050793472,8573157376,59.0,2630Mhz,1000Mhz,
1789609620.688207,7.236809943999106,186441,186465,29.8,314912768,99,2050793472,8573157376,62.0,2435Mhz,1000Mhz,
1789609621.1240013,7.672605630999897,186441,186465,38.8,321417216,78,2050809856,8573157376,61.0,2620Mhz,1000Mhz,
1789609621.5363295,8.08493253600318,186441,186465,62.6,321421312,72,2052907008,8573157376,60.0,2475Mhz,1000Mhz,
1789609621.9672766,8.515879589001997,186441,186465,45.4,335900672,99,2052907008,8573157376,61.0,2625Mhz,1000Mhz,
1789609622.3858159,8.934418813005323,186441,186465,28.8,337436672,99,2052907008,8573157376,62.0,2625Mhz,1000Mhz,
1789609622.8019853,9.350587831002485,186441,186465,55.3,337440768,79,2050809856,8573157376,62.0,2630Mhz,1000Mhz,
1789609623.2362916,9.784894472002634,186441,186465,66.6,351477760,22,2050809856,8573157376,60.0,700Mhz,675Mhz,
1789609623.6570606,10.2056639010043,186441,186465,16.8,351477760,99,2055872512,8573157376,64.0,2440Mhz,1000Mhz,
1789609624.0745163,10.623119403004239,186441,186465,55.8,353013760,81,2055872512,8573157376,62.0,2630Mhz,1000Mhz,
1789609624.5047452,11.053348138004367,186441,186465,60.5,353013760,83,2055872512,8573157376,63.0,2625Mhz,1000Mhz,
1789609624.9344466,11.483051077004347,186441,186465,7.3,353017856,8,2055872512,8573157376,54.0,720Mhz,541Mhz,
1789609625.3463476,11.894950587004132,186441,186465,0.0,353017856,2,2055872512,8573157376,53.0,700Mhz,541Mhz,
