time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789609689.1242287,0.010380856998381205,186839,186864,0.0,310923264,1,2013106176,8573157376,50.0,700Mhz,541Mhz,
1789609689.5643666,0.4505196930040256,186839,186864,0.0,310923264,0,2013106176,8573157376,50.0,700Mhz,96Mhz,
1789609689.9862893,0.8724417949997587,186839,186864,0.0,310923264,2,2011009024,8573157376,50.0,700Mhz,96Mhz,
1789609690.4037013,1.2898536560023786,186839,186864,0.0,310923264,1,2011009024,8573157376,51.0,700Mhz,96Mhz,
1789609690.8439763,1.7301289540046128,186839,186864,0.0,310923264,2,2008043520,8573157376,51.0,700Mhz,541Mhz,
1789609691.270255,2.1564077450020704,186839,186864,0.0,310923264,3,2008055808,8573157376,50.0,700Mhz,96Mhz,
1789609691.7060077,2.5921607120035333,186839,186864,0.0,310923264,2,2008043520,8573157376,50.0,700Mhz,96Mhz,
1789609692.1359677,3.022120683999674,186839,186864,0.0,310923264,3,2008043520,8573157376,50.0,700Mhz,96Mhz,
1789609692.5543091,3.4404617859981954,186839,186864,0.0,310923264,4,2015203328,8573157376,51.0,700Mhz,541Mhz,
1789609692.9757855,3.861938613001257,186839,186864,0.0,310923264,6,2015203328,8573157376,50.0,700Mhz,96Mhz,
1789609693.3996017,4.285754476004513,186839,186864,0.0,310923264,5,2015203328,8573157376,50.0,700Mhz,96Mhz,
1789609693.8175147,4.703667503999895,186839,186864,0.0,310923264,2,2013106176,8573157376,50.0,700Mhz,96Mhz,
1789609694.2397318,5.125884369001142,186839,186864,0.0,310923264,7,2013106176,8573157376,50.0,700Mhz,96Mhz,
1789609694.6623044,5.548457117998623,186839,186864,0.0,310923264,4,2011009024,8573157376,50.0,700Mhz,96Mhz,
1789609695.085499,5.971651954998379,186839,186864,0.0,310923264,5,2011009024,8573157376,49.0,700Mhz,96Mhz,
1789609695.5110228,6.39717536700482,186839,186864,0.0,310923264,5,2011009024,8573157376,49.0,700Mhz,96Mhz,
1789609695.9360845,6.8222370439980295,186839,186864,52.6,311144448,90,2030080000,8573157376,58.0,2630Mhz,1000Mhz,
1789609696.3538365,7.239988829998765,186839,186864,41.2,314929152,99,2030080000,8573157376,60.0,2630Mhz,1000Mhz,
1789609696.7664378,7.6525908170006005,186839,186864,21.5,314961920,94,2037776384,8573157376,61.0,2630Mhz,1000Mhz,
1789609697.1844797,8.070632255999953,186839,186864,64.6,321126400,74,2037776384,8573157376,62.0,2490Mhz,1000Mhz,
1789609697.6027563,8.488908928004093,186839,186864,58.3,335577088,64,2037776384,8573157376,59.0,1835Mhz,541Mhz,
1789609698.0316608,8.917813448002562,186839,186864,16.7,335577088,99,2035679232,8573157376,63.0,2445Mhz,1000Mhz,
1789609698.4495714,9.335723424999742,186839,186864,56.6,337113088,81,2035679232,8573157376,62.0,2630Mhz,1000Mhz,
1789609698.87371,9.759862742001133,186839,186864,62.8,337113088,87,2032713728,8573157376,62.0,2630Mhz,1000Mhz,
1789609699.2878418,10.173994377000781,186839,186864,23.6,351494144,99,2032713728,8573157376,64.0,2445Mhz,1000Mhz,
1789609699.711888,10.598040812998079,186839,186864,53.4,354566144,89,2032713728,8573157376,63.0,2625Mhz,1000Mhz,
1789609700.123856,11.01000888300041,186839,186864,58.1,354566144,80,2032713728,8573157376,63.0,2625Mhz,1000Mhz,
1789609700.55408,11.440232499000558,186839,186864,19.4,354566144,5,2039873536,8573157376,55.0,700Mhz,96Mhz,
1789609700.9675,11.853652705001878,186839,186864,0.0,354566144,3,2039873536,8573157376,53.0,700Mhz,96Mhz,
