time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789778590.6429746,0.010531558997172397,634826,634995,0.0,237187072,3,2233253888,8573157376,49.0,700Mhz,96Mhz,
1789778591.1018677,0.46942522999597713,634826,634995,0.0,237187072,3,2233253888,8573157376,49.0,700Mhz,96Mhz,
1789778591.5701387,0.93769626699941,634826,634995,0.0,237187072,1,2233253888,8573157376,49.0,700Mhz,96Mhz,
1789778592.034643,1.4022001159974025,634826,634995,0.0,237187072,3,2233253888,8573157376,48.0,700Mhz,96Mhz,
1789778592.5050797,1.872637296000903,634826,634995,0.0,237187072,5,2233253888,8573157376,49.0,700Mhz,96Mhz,
1789778592.991678,2.359235014002479,634826,634995,0.0,237187072,2,2233253888,8573157376,49.0,700Mhz,96Mhz,
1789778593.4602537,2.82781147499918,634826,634995,0.0,237187072,5,2233253888,8573157376,48.0,700Mhz,96Mhz,
1789778593.9448273,3.3123851919954177,634826,634995,0.0,237187072,3,2233253888,8573157376,49.0,700Mhz,96Mhz,
1789778594.4089804,3.776539047001279,634826,634995,0.0,237187072,3,2233253888,8573157376,49.0,700Mhz,96Mhz,
1789778594.884832,4.2523900840024,634826,634995,0.0,237187072,6,2233253888,8573157376,49.0,700Mhz,96Mhz,
1789778595.3703797,4.737937250996765,634826,634995,0.0,237187072,4,2233253888,8573157376,49.0,700Mhz,96Mhz,
1789778595.854899,5.2224566579971,634826,634995,0.0,237187072,6,2233253888,8573157376,49.0,700Mhz,96Mhz,
1789778596.320027,5.687584553001216,634826,634995,0.0,237187072,5,2233253888,8573157376,49.0,700Mhz,96Mhz,
1789778596.8053262,6.172883637002087,634826,634995,0.0,237187072,3,2233253888,8573157376,49.0,700Mhz,96Mhz,
1789778597.2888901,6.656447733999812,634826,634995,8.4,240095232,3,2233253888,8573157376,49.0,700Mhz,96Mhz,
1789778597.7625859,7.130143267997482,634826,634995,20.0,240095232,99,2235232256,8573157376,60.0,2555Mhz,1000Mhz,
1789778598.262299,7.629856612998992,634826,634995,26.0,240095232,99,2235232256,8573157376,60.0,2560Mhz,1000Mhz,
1789778598.7233942,8.090951366000809,634826,634995,26.3,240095232,99,2235756544,8573157376,62.0,2565Mhz,1000Mhz,
1789778599.1800532,8.547610813002393,634826,634995,25.8,240160768,97,2235756544,8573157376,62.0,2590Mhz,1000Mhz,
1789778599.645105,9.012662237000768,634826,634995,19.2,240160768,95,2235756544,8573157376,62.0,2620Mhz,1000Mhz,
