time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789787580.2719016,0.011433886000304483,702065,702151,0.0,237002752,0,2352599040,8573157376,48.0,700Mhz,96Mhz,
1789787580.6579854,0.39751906000310555,702065,702151,0.0,237002752,0,2352599040,8573157376,48.0,700Mhz,96Mhz,
1789787581.0480287,0.7875612640054896,702065,702151,0.0,237002752,1,2354696192,8573157376,48.0,700Mhz,96Mhz,
1789787581.4299226,1.1694554650021018,702065,702151,0.0,237002752,0,2360627200,8573157376,48.0,700Mhz,96Mhz,
1789787581.8167257,1.5562590660047135,702065,702151,0.0,237002752,2,2360627200,8573157376,47.0,700Mhz,96Mhz,
1789787582.2249901,1.9645233250048477,702065,702151,0.0,237002752,0,2360627200,8573157376,48.0,700Mhz,96Mhz,
1789787582.601546,2.341078962002939,702065,702151,0.0,237002752,0,2360627200,8573157376,48.0,700Mhz,96Mhz,
1789787582.982428,2.7219613830020535,702065,702151,0.0,237002752,0,2360627200,8573157376,48.0,700Mhz,96Mhz,
1789787583.3682127,3.1077456030034227,702065,702151,0.0,237002752,0,2360627200,8573157376,47.0,700Mhz,96Mhz,
1789787583.744359,3.4838919260000694,702065,702151,0.0,237002752,0,2358530048,8573157376,48.0,700Mhz,96Mhz,
1789787584.1179073,3.8574401830046554,702065,702151,0.0,237002752,1,2351149056,8573157376,48.0,700Mhz,96Mhz,
1789787584.489098,4.22863156600215,702065,702151,0.0,237002752,1,2351149056,8573157376,47.0,700Mhz,96Mhz,
1789787584.8556688,4.595201952004572,702065,702151,0.0,237002752,0,2351149056,8573157376,48.0,700Mhz,96Mhz,
1789787585.2301989,4.96973181800422,702065,702151,0.0,237002752,0,2351149056,8573157376,48.0,700Mhz,96Mhz,
1789787585.6027584,5.34229157500522,702065,702151,0.0,237002752,0,2336452608,8573157376,48.0,700Mhz,96Mhz,
1789787585.9787397,5.718272746002185,702065,702151,0.0,237002752,0,2336452608,8573157376,47.0,700Mhz,96Mhz,
1789787586.3615334,6.101066297000216,702065,702151,0.0,237002752,0,2330161152,8573157376,48.0,700Mhz,96Mhz,
1789787586.7410965,6.4806292339999345,702065,702151,20.0,239181824,99,2332139520,8573157376,56.0,2630Mhz,1000Mhz,
1789787587.0914266,6.830959546001395,702065,702151,29.4,239181824,99,2328469504,8573157376,59.0,2550Mhz,1000Mhz,
1789787587.465183,7.204715864005266,702065,702151,28.8,239181824,99,2328469504,8573157376,60.0,2545Mhz,1000Mhz,
1789787587.8470893,7.586622236005496,702065,702151,27.6,239247360,99,2328469504,8573157376,60.0,2630Mhz,1000Mhz,
1789787588.2102313,7.949764357006643,702065,702151,26.8,239247360,99,2316607488,8573157376,61.0,2530Mhz,1000Mhz,
1789787588.5838969,8.323429975003819,702065,702151,29.8,239247360,98,2316607488,8573157376,60.0,2630Mhz,1000Mhz,
1789787588.9529028,8.692436036006256,702065,702151,29.8,239247360,97,2316607488,8573157376,61.0,2630Mhz,1000Mhz,
1789787589.3220925,9.061626068003534,702065,702151,24.2,239247360,99,2316607488,8573157376,62.0,2540Mhz,1000Mhz,
1789787589.6937418,9.433274856004573,702065,702151,29.3,239247360,98,2316607488,8573157376,62.0,2555Mhz,1000Mhz,
1789787590.0694144,9.808947634002834,702065,702151,27.0,239247360,99,2316607488,8573157376,62.0,2525Mhz,1000Mhz,
