rocmfpx-plugin: info: registered 1 ROCmFPX Vulkan device(s)
rocmfpx-plugin: info: loaded rocmfpx-vulkan-charlie 0.1.0 from /home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/builds/v11-control-bin/rocmfpx-vulkan-plugin.so
0.00.091.754 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.092.194 W srv  llama_server: -----------------
0.00.092.197 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.092.197 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.092.197 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.092.198 W srv  llama_server: -----------------
0.00.093.622 I srv    load_model: loading model '/home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/results/models/LFM2.5-2.6B-ROCmFP4_FAST.gguf'
0.01.991.907 I cmn          init: llama threadpool init, n_threads = 4
0.02.032.524 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 9216, kv_unified = 'false'
0.02.032.570 W srv    load_model: LLAMA_SERVER_PREFILL_CHUNK_TOKENS = 128
0.02.032.571 I srv    load_model: sequence policy: lowest_slot_first=0 dense_sequences=0 remap_trace=0
0.02.037.596 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.02.037.642 I srv  llama_server: model loaded
0.02.037.647 I srv  llama_server: listening on http://127.0.0.1:18321
0.10.387.633 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.10.387.683 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.10.387.688 I slot get_availabl: id  2 | task -1 | selected slot by id (2)
0.10.387.714 I slot launch_slot_: id  2 | task 2 | processing task, is_child = 0
0.10.462.783 I slot get_availabl: id  1 | task -1 | selected slot by id (1)
0.10.462.811 I slot launch_slot_: id  1 | task 4 | processing task, is_child = 0
0.13.433.989 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2048, progress = 0.25, t =   3.05 s / 672.31 tokens per second
0.13.434.048 I slot print_timing: id  2 | task 2 | prompt processing, n_tokens =   2048, progress = 0.25, t =   3.05 s / 672.32 tokens per second
0.13.635.664 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2176, progress = 0.27, t =   3.25 s / 669.97 tokens per second
0.13.635.709 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2048, progress = 0.25, t =   3.17 s / 645.49 tokens per second
0.13.635.744 I slot print_timing: id  2 | task 2 | prompt processing, n_tokens =   2176, progress = 0.27, t =   3.25 s / 669.98 tokens per second
0.13.838.874 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2304, progress = 0.28, t =   3.45 s / 667.61 tokens per second
0.13.838.910 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2176, progress = 0.27, t =   3.38 s / 644.55 tokens per second
0.13.838.933 I slot print_timing: id  2 | task 2 | prompt processing, n_tokens =   2304, progress = 0.28, t =   3.45 s / 667.62 tokens per second
0.14.043.375 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2432, progress = 0.30, t =   3.66 s / 665.28 tokens per second
0.14.043.409 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2304, progress = 0.28, t =   3.58 s / 643.48 tokens per second
0.14.043.433 I slot print_timing: id  2 | task 2 | prompt processing, n_tokens =   2432, progress = 0.30, t =   3.66 s / 665.29 tokens per second
0.14.247.887 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2560, progress = 0.31, t =   3.86 s / 663.19 tokens per second
0.14.247.921 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2432, progress = 0.30, t =   3.79 s / 642.53 tokens per second
0.14.247.943 I slot print_timing: id  2 | task 2 | prompt processing, n_tokens =   2560, progress = 0.31, t =   3.86 s / 663.20 tokens per second
0.14.453.936 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2688, progress = 0.33, t =   4.07 s / 661.06 tokens per second
0.14.453.970 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2560, progress = 0.31, t =   3.99 s / 641.43 tokens per second
0.14.453.993 I slot print_timing: id  2 | task 2 | prompt processing, n_tokens =   2688, progress = 0.33, t =   4.07 s / 661.07 tokens per second
0.14.660.634 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2816, progress = 0.34, t =   4.27 s / 659.05 tokens per second
