rocmfpx-plugin: info: registered 1 ROCmFPX Vulkan device(s)
rocmfpx-plugin: info: loaded rocmfpx-vulkan-charlie 0.1.0 from /home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/builds/rocmfpx-vulkan-gfx1032-v3-instrumented/bin/rocmfpx-vulkan-plugin.so
0.00.074.386 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.074.849 W srv  llama_server: -----------------
0.00.074.852 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.074.852 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.074.853 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.074.853 W srv  llama_server: -----------------
0.00.076.147 I srv    load_model: loading model '/home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/results/models/LFM2.5-2.6B-ROCmFP4_FAST.gguf'
0.01.932.372 I cmn          init: llama threadpool init, n_threads = 4
0.01.972.411 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 9216, kv_unified = 'false'
0.01.972.456 W srv    load_model: LLAMA_SERVER_PREFILL_CHUNK_TOKENS = 128
0.01.972.457 I srv    load_model: sequence policy: lowest_slot_first=0 dense_sequences=0 remap_trace=0
0.01.977.364 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.01.977.397 I srv  llama_server: model loaded
0.01.977.402 I srv  llama_server: listening on http://127.0.0.1:18311
0.10.612.099 I slot get_availabl: id  1 | task -1 | selected slot by id (1)
0.10.612.163 I slot launch_slot_: id  1 | task 1 | processing task, is_child = 0
0.10.638.650 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.10.638.697 I slot launch_slot_: id  0 | task 3 | processing task, is_child = 0
0.10.638.703 I slot get_availabl: id  2 | task -1 | selected slot by id (2)
0.10.638.732 I slot launch_slot_: id  2 | task 4 | processing task, is_child = 0
0.13.807.585 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2048, progress = 0.25, t =   3.17 s / 646.30 tokens per second
0.13.807.627 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   2176, progress = 0.27, t =   3.20 s / 680.99 tokens per second
0.13.807.654 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   2048, progress = 0.25, t =   3.17 s / 646.31 tokens per second
0.14.009.690 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2176, progress = 0.27, t =   3.37 s / 645.52 tokens per second
0.14.009.722 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   2304, progress = 0.28, t =   3.40 s / 678.15 tokens per second
0.14.009.743 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   2176, progress = 0.27, t =   3.37 s / 645.53 tokens per second
0.14.213.085 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2304, progress = 0.28, t =   3.57 s / 644.60 tokens per second
0.14.213.111 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   2432, progress = 0.30, t =   3.60 s / 675.39 tokens per second
0.14.213.127 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   2304, progress = 0.28, t =   3.57 s / 644.61 tokens per second
0.14.417.939 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2432, progress = 0.30, t =   3.78 s / 643.53 tokens per second
0.14.417.973 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   2560, progress = 0.31, t =   3.81 s / 672.68 tokens per second
0.14.417.997 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   2432, progress = 0.30, t =   3.78 s / 643.54 tokens per second
