time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789784707.730943,0.011572078998142388,650701,650790,0.0,237576192,0,2463821824,8573157376,49.0,700Mhz,96Mhz,
1789784708.1175857,0.39821633999963524,650701,650790,0.0,237576192,0,2463821824,8573157376,49.0,700Mhz,96Mhz,
1789784708.4847999,0.7654298189954716,650701,650790,0.0,237576192,0,2463821824,8573157376,49.0,700Mhz,96Mhz,
1789784708.8570662,1.137696539000899,650701,650790,0.0,237576192,0,2463821824,8573157376,49.0,700Mhz,96Mhz,
1789784709.2231383,1.5037687539952458,650701,650790,0.0,237576192,0,2463821824,8573157376,49.0,700Mhz,96Mhz,
1789784709.5954673,1.876097303997085,650701,650790,0.0,237576192,0,2463821824,8573157376,49.0,700Mhz,96Mhz,
1789784710.008477,2.2891066869997303,650701,650790,0.0,237576192,0,2463821824,8573157376,49.0,700Mhz,96Mhz,
1789784710.3655496,2.646179593000852,650701,650790,0.0,237576192,0,2463821824,8573157376,49.0,700Mhz,96Mhz,
1789784710.7266545,3.0072845659960876,650701,650790,0.0,237576192,0,2463821824,8573157376,49.0,700Mhz,96Mhz,
1789784711.1088798,3.3895096790001844,650701,650790,0.0,237576192,0,2463821824,8573157376,49.0,700Mhz,96Mhz,
1789784711.4812183,3.761848148998979,650701,650790,0.0,237576192,0,2463821824,8573157376,49.0,700Mhz,96Mhz,
1789784711.8673644,4.147994127997663,650701,650790,0.0,237576192,0,2463821824,8573157376,49.0,700Mhz,96Mhz,
1789784712.2256293,4.5062598299991805,650701,650790,0.0,237576192,1,2463821824,8573157376,49.0,700Mhz,96Mhz,
1789784712.5886922,4.869322400998499,650701,650790,0.0,237576192,1,2463821824,8573157376,49.0,700Mhz,96Mhz,
1789784712.9567325,5.237362243999087,650701,650790,0.0,237576192,0,2463821824,8573157376,49.0,700Mhz,96Mhz,
