time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789789028.1054513,0.0206682499992894,717027,717116,0.0,239026176,0,2468311040,8573157376,49.0,700Mhz,96Mhz,
1789789028.4938357,0.4090534659990226,717027,717116,0.0,239026176,0,2468311040,8573157376,48.0,700Mhz,96Mhz,
1789789028.8652842,0.7805023319961037,717027,717116,0.0,239026176,0,2468311040,8573157376,49.0,700Mhz,96Mhz,
1789789029.2721255,1.1873430449995794,717027,717116,0.0,239026176,0,2468311040,8573157376,48.0,700Mhz,96Mhz,
1789789029.6468809,1.562099335998937,717027,717116,0.0,239026176,0,2468311040,8573157376,48.0,700Mhz,96Mhz,
1789789030.0190818,1.9342997489948175,717027,717116,0.0,239026176,0,2468311040,8573157376,49.0,700Mhz,96Mhz,
1789789030.3904068,2.3056246339983772,717027,717116,0.0,239026176,0,2468311040,8573157376,49.0,700Mhz,96Mhz,
1789789030.7610042,2.676222300993686,717027,717116,0.0,239026176,0,2468311040,8573157376,48.0,700Mhz,96Mhz,
1789789031.1257546,3.040972664995934,717027,717116,0.0,239026176,0,2468311040,8573157376,48.0,700Mhz,96Mhz,
1789789031.5743897,3.4896075629949337,717027,717116,0.0,239026176,3,2468311040,8573157376,48.0,700Mhz,96Mhz,
1789789031.9487205,3.863938019996567,717027,717116,0.0,239026176,0,2468311040,8573157376,48.0,700Mhz,96Mhz,
1789789032.3261466,4.241364278997935,717027,717116,0.0,239026176,0,2468311040,8573157376,49.0,700Mhz,96Mhz,
1789789032.6926541,4.607871841995802,717027,717116,0.0,239026176,0,2468311040,8573157376,48.0,700Mhz,96Mhz,
1789789033.0518272,4.967045056997449,717027,717116,0.0,239026176,2,2468311040,8573157376,48.0,700Mhz,96Mhz,
1789789033.413962,5.329179673994076,717027,717116,0.0,239026176,0,2468311040,8573157376,48.0,700Mhz,96Mhz,
1789789033.784287,5.699504637996142,717027,717116,0.0,239026176,1,2468311040,8573157376,48.0,700Mhz,96Mhz,
1789789034.1547236,6.069940912995662,717027,717116,0.0,239026176,1,2468311040,8573157376,48.0,700Mhz,96Mhz,
1789789034.5232666,6.438484737998806,717027,717116,0.0,239026176,1,2468311040,8573157376,49.0,700Mhz,96Mhz,
1789789034.8991187,6.814336140996602,717027,717116,21.3,241205248,98,2470289408,8573157376,57.0,2630Mhz,1000Mhz,
1789789035.2739527,7.18917041199893,717027,717116,29.1,241205248,99,2470289408,8573157376,60.0,2475Mhz,1000Mhz,
1789789035.6514294,7.566647232997639,717027,717116,29.4,241270784,97,2470813696,8573157376,60.0,2535Mhz,1000Mhz,
1789789036.0253327,7.940550344996154,717027,717116,27.7,241270784,98,2470813696,8573157376,61.0,2495Mhz,1000Mhz,
1789789036.3859851,8.301202935996116,717027,717116,33.0,241270784,99,2470813696,8573157376,62.0,2480Mhz,1000Mhz,
1789789036.749933,8.665150752000045,717027,717116,30.4,241270784,99,2470813696,8573157376,61.0,2475Mhz,1000Mhz,
1789789037.111961,9.027179066993995,717027,717116,29.2,241270784,94,2470813696,8573157376,61.0,2535Mhz,1000Mhz,
1789789037.489367,9.40458454599866,717027,717116,31.2,241270784,99,2470813696,8573157376,62.0,2480Mhz,1000Mhz,
1789789037.8422332,9.757450493998476,717027,717116,30.8,241270784,99,2470813696,8573157376,61.0,2470Mhz,1000Mhz,
1789789038.1991992,10.114417345997936,717027,717116,31.9,241270784,99,2470813696,8573157376,62.0,2470Mhz,1000Mhz,
1789789038.5751522,10.49036969000008,717027,717116,32.2,241270784,99,2470813696,8573157376,62.0,2475Mhz,1000Mhz,
1789789038.948003,10.863220699997328,717027,717116,30.1,241270784,99,2470813696,8573157376,63.0,2480Mhz,1000Mhz,
1789789039.3131604,11.228378128995246,717027,717116,29.6,241270784,99,2470813696,8573157376,63.0,2485Mhz,1000Mhz,
1789789039.7191584,11.634376162997796,717027,717116,31.8,241270784,99,2470813696,8573157376,63.0,2480Mhz,1000Mhz,
