time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789788957.2027614,0.010699703998398036,716772,716858,0.0,237068288,0,2316468224,8573157376,46.0,700Mhz,96Mhz,
1789788957.585411,0.3933504790038569,716772,716858,0.0,237068288,0,2316468224,8573157376,46.0,700Mhz,96Mhz,
1789788957.958321,0.7662602600030368,716772,716858,0.0,237068288,0,2316468224,8573157376,46.0,700Mhz,96Mhz,
1789788958.3347807,1.1427194900024915,716772,716858,0.0,237068288,0,2316468224,8573157376,46.0,700Mhz,96Mhz,
1789788958.701885,1.5098244590044487,716772,716858,0.0,237068288,0,2316468224,8573157376,46.0,700Mhz,96Mhz,
1789788959.0757732,1.8837125409991131,716772,716858,0.0,237068288,1,2316468224,8573157376,46.0,700Mhz,96Mhz,
1789788959.4803817,2.288320820000081,716772,716858,0.0,237068288,0,2316468224,8573157376,46.0,700Mhz,96Mhz,
1789788959.85289,2.660829057000228,716772,716858,0.0,237068288,0,2316468224,8573157376,46.0,700Mhz,96Mhz,
1789788960.22919,3.0371289949980564,716772,716858,0.0,237068288,0,2316468224,8573157376,46.0,700Mhz,96Mhz,
1789788960.597922,3.405860851999023,716772,716858,0.0,237068288,0,2316468224,8573157376,46.0,700Mhz,96Mhz,
1789788961.0230925,3.8310313490001136,716772,716858,0.0,237068288,0,2316468224,8573157376,46.0,700Mhz,96Mhz,
1789788961.427471,4.235410366003634,716772,716858,0.0,237068288,0,2316468224,8573157376,46.0,700Mhz,96Mhz,
1789788961.799627,4.607565639998938,716772,716858,0.0,237068288,0,2316468224,8573157376,46.0,700Mhz,96Mhz,
1789788962.1732705,4.981209689001844,716772,716858,0.0,237068288,0,2316468224,8573157376,46.0,700Mhz,96Mhz,
1789788962.5622854,5.370224352001969,716772,716858,0.0,237068288,0,2316468224,8573157376,46.0,700Mhz,96Mhz,
1789788962.9462407,5.754179641000519,716772,716858,0.0,237068288,0,2316468224,8573157376,46.0,700Mhz,96Mhz,
1789788963.321444,6.129383216997667,716772,716858,0.0,237068288,0,2316468224,8573157376,46.0,700Mhz,96Mhz,
1789788963.7100925,6.518031746003544,716772,716858,32.4,239218688,98,2318970880,8573157376,56.0,2630Mhz,1000Mhz,
1789788964.0805635,6.888502371002687,716772,716858,26.6,239218688,99,2318970880,8573157376,58.0,2535Mhz,1000Mhz,
