time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789879213.6840816,0.010261396997520933,10639,10727,0.0,237432832,2,2317996032,8573157376,49.0,700Mhz,96Mhz,
1789879214.071381,0.39756162599951494,10639,10727,0.0,237432832,1,2317996032,8573157376,49.0,700Mhz,96Mhz,
1789879214.4559577,0.7821379589986464,10639,10727,0.0,237432832,0,2317996032,8573157376,49.0,700Mhz,96Mhz,
1789879214.8314412,1.1576213560001634,10639,10727,0.0,237432832,2,2317996032,8573157376,49.0,700Mhz,96Mhz,
1789879215.212848,1.539028638999298,10639,10727,0.0,237432832,3,2317996032,8573157376,49.0,700Mhz,96Mhz,
1789879215.5753536,1.9015339729994594,10639,10727,0.0,237432832,0,2317996032,8573157376,49.0,700Mhz,96Mhz,
1789879215.9462466,2.2724267569974472,10639,10727,0.0,237432832,0,2317996032,8573157376,48.0,700Mhz,96Mhz,
1789879216.312857,2.639037159999134,10639,10727,0.0,237432832,0,2317996032,8573157376,49.0,700Mhz,96Mhz,
1789879216.6705449,2.9967252889982774,10639,10727,0.0,237432832,0,2317996032,8573157376,49.0,700Mhz,96Mhz,
1789879217.042228,3.36840827999913,10639,10727,0.0,237432832,0,2317996032,8573157376,49.0,700Mhz,96Mhz,
1789879217.4213312,3.747511300996848,10639,10727,0.0,237432832,0,2317996032,8573157376,49.0,700Mhz,96Mhz,
1789879217.785192,4.111372418999963,10639,10727,0.0,237432832,1,2317996032,8573157376,49.0,700Mhz,96Mhz,
1789879218.1668897,4.493069934997038,10639,10727,0.0,237432832,1,2317996032,8573157376,49.0,700Mhz,96Mhz,
1789879218.535531,4.861710966997634,10639,10727,0.0,237432832,1,2317996032,8573157376,49.0,700Mhz,96Mhz,
1789879218.9162564,5.242436794000241,10639,10727,0.0,237432832,2,2317996032,8573157376,49.0,700Mhz,96Mhz,
1789879219.3019621,5.628142626999761,10639,10727,0.0,237432832,0,2317996032,8573157376,49.0,700Mhz,96Mhz,
1789879219.6892776,6.015457866000361,10639,10727,0.0,237432832,0,2317996032,8573157376,49.0,700Mhz,96Mhz,
1789879220.0737176,6.399897747000068,10639,10727,5.4,239611904,69,2319974400,8573157376,49.0,700Mhz,541Mhz,
1789879220.4423833,6.768563598998298,10639,10727,27.4,239611904,99,2319974400,8573157376,60.0,2525Mhz,1000Mhz,
1789879220.8077645,7.1339447509999445,10639,10727,32.8,239611904,99,2319974400,8573157376,61.0,2470Mhz,1000Mhz,
1789879221.173544,7.499724484998296,10639,10727,31.7,239677440,94,2320498688,8573157376,61.0,2620Mhz,1000Mhz,
1789879221.552248,7.878428201998759,10639,10727,26.8,239677440,99,2320498688,8573157376,61.0,2495Mhz,1000Mhz,
1789879221.92611,8.252290293999977,10639,10727,32.5,239677440,99,2320498688,8573157376,61.0,2460Mhz,1000Mhz,
1789879222.2954974,8.621677593997447,10639,10727,30.2,239677440,99,2320498688,8573157376,61.0,2480Mhz,1000Mhz,
1789879222.65907,8.985250187997735,10639,10727,27.0,239677440,99,2320498688,8573157376,62.0,2470Mhz,1000Mhz,
1789879223.0302105,9.356390834000194,10639,10727,26.9,239677440,96,2320498688,8573157376,62.0,2515Mhz,1000Mhz,
1789879223.402606,9.728786731997388,10639,10727,28.7,239677440,99,2320498688,8573157376,62.0,2495Mhz,1000Mhz,
1789879223.785494,10.111674668998603,10639,10727,32.4,239677440,99,2320498688,8573157376,62.0,2495Mhz,1000Mhz,
1789879224.1557012,10.48188160599966,10639,10727,28.9,239677440,99,2320498688,8573157376,63.0,2485Mhz,1000Mhz,
1789879224.5367126,10.862893055000313,10639,10727,29.8,239677440,97,2320498688,8573157376,63.0,2500Mhz,1000Mhz,
1789879224.9053683,11.231548527997802,10639,10727,35.5,239677440,99,2320498688,8573157376,63.0,2480Mhz,1000Mhz,
1789879225.2716913,11.597871647998545,10639,10727,29.5,239677440,99,2320498688,8573157376,63.0,2475Mhz,1000Mhz,
1789879225.6453035,11.971484007997788,10639,10727,29.5,239677440,99,2320498688,8573157376,63.0,2480Mhz,1000Mhz,
1789879226.0181522,12.344332679997024,10639,10727,34.8,239677440,93,2320498688,8573157376,63.0,2615Mhz,1000Mhz,
1789879226.3917153,12.717895598998439,10639,10727,30.1,239677440,99,2320498688,8573157376,64.0,2470Mhz,1000Mhz,
1789879226.7566767,13.082857076999062,10639,10727,27.5,239677440,98,2320498688,8573157376,64.0,2500Mhz,1000Mhz,
1789879227.120161,13.446341339997161,10639,10727,31.6,239677440,99,2320498688,8573157376,64.0,2480Mhz,1000Mhz,
1789879227.4991264,13.825306809998438,10639,10727,26.7,239677440,99,2320498688,8573157376,65.0,2495Mhz,1000Mhz,
1789879227.873465,14.19964541599984,10639,10727,32.4,239677440,99,2320498688,8573157376,64.0,2465Mhz,1000Mhz,
1789879228.2442162,14.57039661899762,10639,10727,29.7,239677440,93,2320498688,8573157376,65.0,2625Mhz,1000Mhz,
1789879228.615063,14.941243271998246,10639,10727,27.3,239677440,99,2320498688,8573157376,66.0,2470Mhz,1000Mhz,
1789879228.9806495,15.306829604996892,10639,10727,34.5,239677440,99,2320498688,8573157376,65.0,2480Mhz,1000Mhz,
1789879229.3575153,15.68369548499686,10639,10727,30.1,239677440,94,2320498688,8573157376,65.0,2555Mhz,1000Mhz,
1789879229.7233825,16.049563021999347,10639,10727,32.2,239677440,97,2324709376,8573157376,65.0,2565Mhz,1000Mhz,
1789879230.096047,16.42222719199708,10639,10727,26.4,239677440,99,2324709376,8573157376,65.0,2460Mhz,1000Mhz,
1789879230.4740984,16.80027833299755,10639,10727,28.3,239677440,99,2324709376,8573157376,65.0,2490Mhz,1000Mhz,
1789879230.8278365,17.15401666499747,10639,10727,31.9,239677440,99,2324709376,8573157376,66.0,2465Mhz,1000Mhz,
1789879231.2037034,17.529883454997616,10639,10727,32.0,239677440,99,2324709376,8573157376,66.0,2480Mhz,1000Mhz,
1789879231.578979,17.90515966000021,10639,10727,30.3,239677440,99,2324709376,8573157376,66.0,2475Mhz,1000Mhz,
1789879231.9424791,18.26865973399981,10639,10727,32.2,239677440,99,2324709376,8573157376,66.0,2465Mhz,1000Mhz,
1789879232.3152573,18.641437356000097,10639,10727,28.1,239677440,99,2324709376,8573157376,66.0,2470Mhz,1000Mhz,
