rocmfpx-plugin: info: registered 1 ROCmFPX Vulkan device(s)
rocmfpx-plugin: info: loaded rocmfpx-vulkan-charlie 0.1.0 from /home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/builds/rocmfpx-vulkan-gfx1032-v3-instrumented/bin/rocmfpx-vulkan-plugin.so
0.00.076.564 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.077.041 W srv  llama_server: -----------------
0.00.077.044 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.077.044 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.077.045 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.077.045 W srv  llama_server: -----------------
0.00.078.313 I srv    load_model: loading model '/home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/results/models/LFM2.5-2.6B-Q4_0.gguf'
0.02.003.200 I cmn          init: llama threadpool init, n_threads = 4
0.02.064.502 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 9216, kv_unified = 'false'
0.02.064.554 W srv    load_model: LLAMA_SERVER_PREFILL_CHUNK_TOKENS = 128
0.02.064.556 I srv    load_model: sequence policy: lowest_slot_first=0 dense_sequences=0 remap_trace=0
0.02.070.436 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.02.070.475 I srv  llama_server: model loaded
0.02.070.481 I srv  llama_server: listening on http://127.0.0.1:18521
0.11.334.850 I slot get_availabl: id  2 | task -1 | selected slot by id (2)
0.11.334.898 I slot launch_slot_: id  2 | task 1 | processing task, is_child = 0
0.11.353.147 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.11.353.176 I slot launch_slot_: id  0 | task 3 | processing task, is_child = 0
0.11.353.177 I slot get_availabl: id  1 | task -1 | selected slot by id (1)
0.11.353.189 I slot launch_slot_: id  1 | task 4 | processing task, is_child = 0
0.14.418.041 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2176, progress = 0.27, t =   3.06 s / 709.99 tokens per second
0.14.418.081 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2176, progress = 0.27, t =   3.06 s / 710.00 tokens per second
0.14.418.105 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2304, progress = 0.28, t =   3.08 s / 747.30 tokens per second
0.14.602.840 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2304, progress = 0.28, t =   3.25 s / 709.01 tokens per second
0.14.602.874 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2304, progress = 0.28, t =   3.25 s / 709.01 tokens per second
0.14.602.899 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2432, progress = 0.30, t =   3.27 s / 744.21 tokens per second
0.14.788.136 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2432, progress = 0.30, t =   3.43 s / 708.03 tokens per second
0.14.788.169 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2432, progress = 0.30, t =   3.43 s / 708.03 tokens per second
0.14.788.191 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2560, progress = 0.31, t =   3.45 s / 741.34 tokens per second
0.14.974.545 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   2560, progress = 0.31, t =   3.62 s / 706.93 tokens per second
