time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789879142.81987,0.010358577001170488,10374,10472,0.0,235507712,2,2192384000,8573157376,48.0,700Mhz,96Mhz,
1789879143.1938193,0.3843087999994168,10374,10472,0.0,235507712,1,2192384000,8573157376,48.0,700Mhz,96Mhz,
1789879143.5660274,0.7565170859998034,10374,10472,0.0,235507712,2,2192384000,8573157376,48.0,700Mhz,96Mhz,
1789879143.9285665,1.1190558710004552,10374,10472,0.0,235507712,1,2192384000,8573157376,48.0,700Mhz,96Mhz,
1789879144.2960174,1.4865070820014807,10374,10472,0.0,235507712,0,2192384000,8573157376,48.0,700Mhz,96Mhz,
1789879144.6647663,1.8552552559995092,10374,10472,0.0,235507712,1,2192384000,8573157376,48.0,700Mhz,96Mhz,
1789879145.0318198,2.2223092330023064,10374,10472,0.0,235507712,1,2176647168,8573157376,48.0,700Mhz,96Mhz,
1789879145.4011822,2.591671602000133,10374,10472,0.0,235507712,1,2176647168,8573157376,48.0,700Mhz,96Mhz,
1789879145.7778935,2.9683831010006543,10374,10472,0.0,235507712,1,2166128640,8573157376,48.0,700Mhz,96Mhz,
1789879146.152336,3.3428251879995514,10374,10472,0.0,235507712,1,2166128640,8573157376,48.0,700Mhz,96Mhz,
1789879146.5364609,3.7269498560017382,10374,10472,0.0,235507712,0,2166128640,8573157376,48.0,700Mhz,96Mhz,
1789879146.9231694,4.11365866000051,10374,10472,0.0,235507712,0,2166128640,8573157376,48.0,700Mhz,96Mhz,
1789879147.3041542,4.49464351899951,10374,10472,0.0,235507712,1,2166128640,8573157376,48.0,700Mhz,96Mhz,
1789879147.68026,4.870749611000065,10374,10472,0.0,235507712,2,2166128640,8573157376,48.0,700Mhz,96Mhz,
1789879148.059532,5.250021433999791,10374,10472,0.0,235507712,0,2166128640,8573157376,48.0,700Mhz,96Mhz,
1789879148.4373512,5.627841273002559,10374,10472,0.0,235507712,2,2166128640,8573157376,48.0,700Mhz,96Mhz,
1789879148.8090045,5.999494253999728,10374,10472,0.0,235507712,0,2166128640,8573157376,48.0,700Mhz,96Mhz,
1789879149.1883209,6.378810587000771,10374,10472,0.0,235507712,0,2166128640,8573157376,48.0,700Mhz,96Mhz,
1789879149.568566,6.759055839000212,10374,10472,32.4,237658112,99,2168631296,8573157376,58.0,2630Mhz,1000Mhz,
1789879149.9385042,7.128993704001914,10374,10472,29.4,237658112,98,2168631296,8573157376,60.0,2570Mhz,1000Mhz,
1789879150.3127234,7.503212709001673,10374,10472,27.4,237723648,95,2168631296,8573157376,57.0,2630Mhz,675Mhz,
1789879150.6774898,7.8679795150019345,10374,10472,30.3,237723648,96,2168631296,8573157376,60.0,2610Mhz,1000Mhz,
1789879151.0398278,8.23031747800269,10374,10472,27.2,237723648,99,2168631296,8573157376,61.0,2525Mhz,1000Mhz,
1789879151.4081712,8.598660797000775,10374,10472,30.3,237723648,97,2168631296,8573157376,60.0,2575Mhz,1000Mhz,
1789879151.7710917,8.961581294999633,10374,10472,32.3,237723648,99,2168631296,8573157376,61.0,2535Mhz,1000Mhz,
