time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789784792.2661276,0.01141753800038714,650999,651087,0.0,235687936,1,2024579072,8573157376,49.0,700Mhz,96Mhz,
1789784792.6868782,0.43216888300230494,650999,651087,0.0,235687936,1,2024579072,8573157376,49.0,700Mhz,96Mhz,
1789784793.1247594,0.8700505410015467,650999,651087,0.0,235687936,0,2024579072,8573157376,49.0,700Mhz,96Mhz,
1789784793.5651808,1.3104714490036713,650999,651087,0.0,235687936,1,2024579072,8573157376,49.0,700Mhz,96Mhz,
1789784794.0570266,1.8023174530026154,650999,651087,0.0,235687936,1,2024579072,8573157376,49.0,700Mhz,96Mhz,
1789784794.4868991,2.232189817004837,650999,651087,0.0,235687936,1,2024579072,8573157376,49.0,700Mhz,96Mhz,
1789784794.9078734,2.6531640230023186,650999,651087,0.0,235687936,1,2024579072,8573157376,49.0,700Mhz,96Mhz,
1789784795.3638377,3.1091281859989977,650999,651087,0.0,235687936,0,2024579072,8573157376,49.0,700Mhz,96Mhz,
1789784795.7793233,3.5246139590017265,650999,651087,0.0,235687936,1,2024579072,8573157376,49.0,700Mhz,96Mhz,
1789784796.2039523,3.94924333000381,650999,651087,0.0,235687936,2,2024579072,8573157376,49.0,700Mhz,96Mhz,
1789784796.6226373,4.367927937004424,650999,651087,0.0,235687936,1,2024579072,8573157376,49.0,700Mhz,96Mhz,
1789784797.0383656,4.78365661099815,650999,651087,0.0,235687936,0,2024579072,8573157376,49.0,700Mhz,96Mhz,
1789784797.455443,5.200733750003565,650999,651087,0.0,235687936,1,2024579072,8573157376,49.0,700Mhz,96Mhz,
1789784797.934273,5.6795637000032,650999,651087,0.0,235687936,2,2024579072,8573157376,49.0,700Mhz,96Mhz,
1789784798.3475723,6.092862994002644,650999,651087,0.0,235687936,2,2024579072,8573157376,49.0,700Mhz,96Mhz,
1789784798.7617192,6.5070104010010255,650999,651087,0.0,235687936,0,2024579072,8573157376,49.0,700Mhz,96Mhz,
1789784799.1891181,6.934409223998955,650999,651087,30.0,235958272,88,2027118592,8573157376,55.0,2635Mhz,1000Mhz,
1789784799.622084,7.367374480003491,650999,651087,52.1,236032000,99,2027118592,8573157376,58.0,2630Mhz,1000Mhz,
1789784800.0442011,7.789491971001553,650999,651087,54.9,236036096,88,2027118592,8573157376,58.0,2630Mhz,1000Mhz,
1789784800.4452734,8.190563953001401,650999,651087,52.9,236109824,93,2027114496,8573157376,58.0,2630Mhz,1000Mhz,
1789784800.8608727,8.606163916003425,650999,651087,47.5,236158976,90,2027114496,8573157376,59.0,2630Mhz,1000Mhz,
