time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789670041.5309157,0.011730049998732284,85255,85392,0.0,422309888,3,6643765248,8573157376,46.0,700Mhz,96Mhz,
1789670041.9932244,0.47404813899993314,85255,85392,0.0,422309888,4,6643765248,8573157376,46.0,700Mhz,96Mhz,
1789670042.4548106,0.9356249909978942,85255,85392,0.0,422309888,3,6643765248,8573157376,46.0,700Mhz,96Mhz,
1789670042.9321904,1.413005083999451,85255,85392,0.0,422309888,3,6643765248,8573157376,46.0,700Mhz,96Mhz,
1789670043.3982246,1.879059701001097,85255,85392,0.0,422309888,3,6643765248,8573157376,46.0,700Mhz,96Mhz,
1789670043.8766205,2.3574355649980134,85255,85392,0.0,422309888,2,6643765248,8573157376,46.0,700Mhz,96Mhz,
1789670044.3492582,2.830075399000634,85255,85392,0.0,422309888,5,6643765248,8573157376,46.0,700Mhz,96Mhz,
1789670044.815984,3.2967986539988487,85255,85392,0.0,422309888,6,6643765248,8573157376,46.0,700Mhz,96Mhz,
1789670045.2769947,3.757809828999598,85255,85392,0.0,422309888,1,6643765248,8573157376,46.0,700Mhz,96Mhz,
1789670045.7614057,4.24222038500011,85255,85392,0.0,422309888,4,6637834240,8573157376,46.0,700Mhz,96Mhz,
1789670046.2424102,4.72322490499937,85255,85392,0.0,422309888,5,6637834240,8573157376,46.0,700Mhz,96Mhz,
1789670046.7006173,5.181432371999108,85255,85392,0.0,422309888,4,6637834240,8573157376,46.0,700Mhz,96Mhz,
1789670047.1525552,5.633369794999453,85255,85392,0.0,422309888,4,6637834240,8573157376,46.0,700Mhz,96Mhz,
1789670047.6314654,6.112280514000304,85255,85392,0.0,422309888,2,6637834240,8573157376,46.0,700Mhz,96Mhz,
1789670048.1191688,6.599983572999918,85255,85392,0.0,422309888,2,6637834240,8573157376,46.0,700Mhz,96Mhz,
1789670048.6040885,7.084902902999602,85255,85392,31.9,429195264,88,6658555904,8573157376,51.0,2635Mhz,1000Mhz,
1789670049.0750248,7.555839699998614,85255,85392,52.5,429371392,87,6658555904,8573157376,54.0,1950Mhz,675Mhz,
1789670049.5510159,8.031830549000006,85255,85392,53.2,433700864,82,6659739648,8573157376,56.0,2635Mhz,1000Mhz,
1789670050.0216498,8.502464273999067,85255,85392,60.9,435712000,90,6659739648,8573157376,57.0,2635Mhz,1000Mhz,
1789670050.4975345,8.978349641998648,85255,85392,31.9,435810304,98,6607818752,8573157376,52.0,2635Mhz,541Mhz,
1789670050.9676926,9.448507412998879,85255,85392,20.4,435810304,99,6607818752,8573157376,52.0,2635Mhz,541Mhz,
1789670051.4569147,9.937729547000345,85255,85392,51.6,435818496,91,6607818752,8573157376,55.0,2635Mhz,1000Mhz,
1789670051.9416842,10.422499215001153,85255,85392,54.9,435830784,83,6607818752,8573157376,55.0,2635Mhz,1000Mhz,
1789670052.4152517,10.896065950000775,85255,85392,43.2,438198272,44,6663118848,8573157376,59.0,2330Mhz,1000Mhz,
1789670052.9009788,11.381792839998525,85255,85392,60.9,438198272,84,6663118848,8573157376,59.0,2630Mhz,1000Mhz,
1789670053.3768368,11.857651598998928,85255,85392,29.8,438214656,2,6663118848,8573157376,51.0,700Mhz,96Mhz,
1789670053.8461072,12.326922218999243,85255,85392,0.0,438214656,5,6663118848,8573157376,49.0,700Mhz,96Mhz,
