time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789670183.4629934,0.011404887001845054,85930,86064,0.0,422129664,1,6637834240,8573157376,46.0,700Mhz,96Mhz,
1789670183.9162416,0.4646539329987718,85930,86064,0.0,422129664,3,6640799744,8573157376,46.0,700Mhz,96Mhz,
1789670184.3841324,0.9325449700008903,85930,86064,0.0,422129664,1,6640799744,8573157376,46.0,700Mhz,96Mhz,
1789670184.8416445,1.3900571099984518,85930,86064,0.0,422129664,3,6640799744,8573157376,46.0,700Mhz,96Mhz,
1789670185.3151393,1.8635522129989113,85930,86064,0.0,422129664,2,6640799744,8573157376,46.0,700Mhz,96Mhz,
1789670185.781031,2.329443408998486,85930,86064,0.0,422129664,2,6640799744,8573157376,46.0,700Mhz,96Mhz,
1789670186.245245,2.7936577379987284,85930,86064,0.0,422129664,1,6640799744,8573157376,46.0,700Mhz,96Mhz,
1789670186.7215273,3.269940130001487,85930,86064,0.0,422129664,3,6640799744,8573157376,46.0,700Mhz,96Mhz,
1789670187.1957288,3.7441414200002328,85930,86064,0.0,422129664,3,6640799744,8573157376,46.0,700Mhz,96Mhz,
1789670187.6623547,4.21076731300127,85930,86064,0.0,422129664,2,6640799744,8573157376,46.0,700Mhz,96Mhz,
1789670188.1343815,4.682794502001343,85930,86064,0.0,422129664,3,6640799744,8573157376,46.0,700Mhz,96Mhz,
1789670188.6138217,5.162234406001517,85930,86064,0.0,422129664,1,6640799744,8573157376,46.0,700Mhz,96Mhz,
1789670189.0784986,5.626911100000143,85930,86064,0.0,422129664,0,6640799744,8573157376,46.0,700Mhz,96Mhz,
1789670189.5348709,6.0832834579996415,85930,86064,0.0,422129664,2,6637834240,8573157376,46.0,700Mhz,96Mhz,
1789670190.0019078,6.550320185000601,85930,86064,0.0,422129664,1,6637834240,8573157376,46.0,700Mhz,96Mhz,
1789670190.467658,7.016070570000011,85930,86064,13.1,425136128,51,6640001024,8573157376,46.0,700Mhz,541Mhz,
1789670190.9257922,7.474205036000058,85930,86064,58.1,429146112,94,6661521408,8573157376,54.0,2635Mhz,1000Mhz,
1789670191.3907475,7.939160392001213,85930,86064,46.3,433631232,30,6662705152,8573157376,55.0,700Mhz,541Mhz,
1789670191.866423,8.4148352480006,85930,86064,62.4,433659904,87,6662705152,8573157376,57.0,2635Mhz,1000Mhz,
1789670192.3308384,8.879250889000105,85930,86064,54.1,435748864,82,6663139328,8573157376,54.0,2635Mhz,1000Mhz,
1789670192.8111002,9.359512641000038,85930,86064,53.0,435761152,87,6663139328,8573157376,58.0,2630Mhz,1000Mhz,
1789670193.2828145,9.831227016999037,85930,86064,62.6,437190656,78,6663122944,8573157376,57.0,720Mhz,1000Mhz,
1789670193.7463477,10.294761248998839,85930,86064,12.7,437190656,99,6610788352,8573157376,53.0,2635Mhz,541Mhz,
1789670194.216916,10.765328461999161,85930,86064,34.4,437190656,88,6610788352,8573157376,53.0,2635Mhz,1000Mhz,
1789670194.68143,11.229842273998656,85930,86064,51.6,437190656,85,6610788352,8573157376,55.0,2635Mhz,1000Mhz,
1789670195.1469858,11.695398235999164,85930,86064,51.6,437198848,64,6610788352,8573157376,56.0,2635Mhz,1000Mhz,
1789670195.6121793,12.16059202500037,85930,86064,4.1,437202944,0,6610788352,8573157376,49.0,700Mhz,96Mhz,
1789670196.1008806,12.649293493999721,85930,86064,0.0,437202944,6,6610788352,8573157376,48.0,700Mhz,96Mhz,
1789670196.566022,13.114434422001068,85930,86064,0.0,437202944,1,6607822848,8573157376,48.0,700Mhz,96Mhz,
1789670197.0467162,13.59512881900082,85930,86064,0.0,437202944,5,6607822848,8573157376,48.0,700Mhz,96Mhz,
1789670197.5059237,14.054336466000677,85930,86064,0.0,437202944,3,6619373568,8573157376,48.0,700Mhz,96Mhz,
1789670197.9647985,14.5132110500017,85930,86064,0.0,437202944,3,6619373568,8573157376,47.0,700Mhz,96Mhz,
1789670198.4347718,14.98318442800155,85930,86064,0.0,437202944,4,6619373568,8573157376,48.0,700Mhz,96Mhz,
1789670198.929351,15.477763677001349,85930,86064,0.0,437202944,6,6619373568,8573157376,47.0,700Mhz,96Mhz,
1789670199.3974006,15.94581304500025,85930,86064,0.0,437202944,5,6619373568,8573157376,47.0,700Mhz,96Mhz,
1789670199.8559644,16.404376146001596,85930,86064,0.0,437202944,8,6619373568,8573157376,47.0,700Mhz,96Mhz,
1789670200.3345907,16.883003232000192,85930,86064,0.0,437202944,3,6619373568,8573157376,47.0,700Mhz,96Mhz,
1789670200.8037975,17.352210200999252,85930,86064,0.0,437202944,3,6619373568,8573157376,47.0,700Mhz,96Mhz,
