time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789669913.7515476,0.010435906999191502,84395,84529,0.0,422113280,6,6640799744,8573157376,45.0,700Mhz,96Mhz,
1789669914.2240427,0.4829312499969092,84395,84529,0.0,422113280,2,6640799744,8573157376,45.0,700Mhz,96Mhz,
1789669914.681855,0.9407439930000692,84395,84529,0.0,422113280,3,6640799744,8573157376,45.0,700Mhz,96Mhz,
1789669915.1595018,1.4183906489997753,84395,84529,0.0,422113280,3,6640799744,8573157376,45.0,700Mhz,96Mhz,
1789669915.6284778,1.8873664659986389,84395,84529,0.0,422113280,4,6637834240,8573157376,45.0,700Mhz,96Mhz,
1789669916.094095,2.35298420899926,84395,84529,0.0,422113280,4,6637834240,8573157376,45.0,700Mhz,96Mhz,
1789669916.5694664,2.828355441997701,84395,84529,0.0,422113280,5,6640799744,8573157376,45.0,700Mhz,96Mhz,
1789669917.1273239,3.386212887999136,84395,84529,0.0,422113280,3,6643765248,8573157376,45.0,700Mhz,96Mhz,
1789669917.5826976,3.8415867169969715,84395,84529,0.0,422113280,3,6643765248,8573157376,45.0,700Mhz,96Mhz,
1789669918.0559874,4.31487637799728,84395,84529,0.0,422113280,2,6643765248,8573157376,45.0,700Mhz,96Mhz,
1789669918.5163999,4.775288727996667,84395,84529,0.0,422113280,1,6643765248,8573157376,45.0,700Mhz,96Mhz,
1789669918.9957924,5.254681741997047,84395,84529,0.0,422113280,1,6643765248,8573157376,45.0,700Mhz,96Mhz,
1789669919.4737172,5.732606349996786,84395,84529,0.0,422113280,1,6643765248,8573157376,45.0,700Mhz,96Mhz,
1789669919.948771,6.207660099997156,84395,84529,0.0,422113280,1,6643765248,8573157376,45.0,700Mhz,96Mhz,
1789669920.420986,6.679874800000107,84395,84529,0.0,422113280,3,6643765248,8573157376,45.0,700Mhz,96Mhz,
1789669920.9002037,7.159092651996616,84395,84529,46.8,429084672,87,6664486912,8573157376,53.0,2635Mhz,1000Mhz,
1789669921.34925,7.608139205996849,84395,84529,49.9,429260800,85,6665080832,8573157376,54.0,2120Mhz,1000Mhz,
1789669921.8097672,8.068656085997645,84395,84529,56.4,433586176,91,6665670656,8573157376,56.0,2635Mhz,1000Mhz,
1789669922.288117,8.54700579999917,84395,84529,64.9,444071936,38,6665670656,8573157376,54.0,700Mhz,675Mhz,
1789669922.7659845,9.024873567999748,84395,84529,8.5,446054400,1,6663110656,8573157376,47.0,700Mhz,96Mhz,
1789669923.2366884,9.495577422996575,84395,84529,0.0,446054400,2,6660145152,8573157376,46.0,700Mhz,96Mhz,
1789669923.700264,9.959152854997228,84395,84529,0.0,446054400,2,6660145152,8573157376,46.0,700Mhz,96Mhz,
1789669924.170532,10.429421105000074,84395,84529,0.0,446054400,0,6660145152,8573157376,46.0,700Mhz,96Mhz,
1789669924.6369617,10.895850806999078,84395,84529,0.0,446054400,1,6660145152,8573157376,46.0,700Mhz,96Mhz,
1789669925.1161423,11.375031617997593,84395,84529,0.0,446054400,2,6660145152,8573157376,46.0,700Mhz,96Mhz,
1789669925.5820408,11.840929423997295,84395,84529,0.0,446054400,1,6660145152,8573157376,46.0,700Mhz,96Mhz,
1789669926.0519202,12.31080966099762,84395,84529,0.0,446054400,3,6660145152,8573157376,46.0,700Mhz,96Mhz,
1789669926.5249493,12.783838438997918,84395,84529,0.0,446054400,2,6660145152,8573157376,46.0,700Mhz,96Mhz,
1789669927.0010712,13.259959969996999,84395,84529,0.0,446054400,2,6660145152,8573157376,46.0,700Mhz,96Mhz,
1789669927.4738145,13.732703865996882,84395,84529,0.0,446054400,4,6669041664,8573157376,46.0,700Mhz,96Mhz,
1789669927.946381,14.205269638998288,84395,84529,0.0,446054400,2,6669041664,8573157376,46.0,700Mhz,96Mhz,
