time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789669781.0254674,0.01082134100215626,83619,83736,0.0,421167104,1,6643769344,8573157376,45.0,700Mhz,96Mhz,
1789669781.5150387,0.500393359001464,83619,83736,0.0,421167104,3,6640803840,8573157376,45.0,700Mhz,96Mhz,
1789669781.9772427,0.96259741600079,83619,83736,0.0,421167104,2,6640803840,8573157376,45.0,700Mhz,96Mhz,
1789669782.4594462,1.4448014789995796,83619,83736,0.0,421167104,3,6640803840,8573157376,45.0,700Mhz,96Mhz,
1789669782.9311526,1.9165075540004182,83619,83736,0.0,421167104,1,6640803840,8573157376,45.0,700Mhz,96Mhz,
1789669783.4067297,2.3920846190012526,83619,83736,0.0,421167104,4,6640803840,8573157376,45.0,700Mhz,96Mhz,
1789669783.8699431,2.8552977170002123,83619,83736,0.0,421167104,3,6640803840,8573157376,45.0,700Mhz,96Mhz,
1789669784.3324223,3.317776658001094,83619,83736,0.0,421167104,3,6640803840,8573157376,45.0,700Mhz,96Mhz,
1789669784.7967696,3.782124448000104,83619,83736,0.0,421167104,1,6640803840,8573157376,45.0,700Mhz,96Mhz,
1789669785.2630723,4.248426818001462,83619,83736,0.0,421167104,4,6640803840,8573157376,45.0,700Mhz,96Mhz,
1789669785.7359629,4.721317675001046,83619,83736,0.0,421167104,3,6640803840,8573157376,45.0,700Mhz,96Mhz,
1789669786.2027416,5.1880965500022285,83619,83736,0.0,421167104,4,6640803840,8573157376,45.0,700Mhz,96Mhz,
1789669786.681995,5.66734996300147,83619,83736,0.0,421167104,5,6640803840,8573157376,45.0,700Mhz,96Mhz,
1789669787.1605852,6.145939988000464,83619,83736,0.0,421167104,2,6640803840,8573157376,45.0,700Mhz,96Mhz,
1789669787.6165478,6.601902622001944,83619,83736,0.0,421167104,1,6640803840,8573157376,45.0,700Mhz,96Mhz,
1789669788.10128,7.086635291001585,83619,83736,61.2,428167168,86,6661525504,8573157376,53.0,2635Mhz,1000Mhz,
1789669788.5756173,7.560972162998951,83619,83736,50.1,432648192,70,6662709248,8573157376,56.0,2585Mhz,1000Mhz,
1789669789.0343916,8.019746196001506,83619,83736,70.9,432648192,82,6662709248,8573157376,54.0,2635Mhz,1000Mhz,
1789669789.5140834,8.499438413000462,83619,83736,75.0,432668672,88,6662709248,8573157376,54.0,2635Mhz,1000Mhz,
1789669789.9940917,8.979446412999096,83619,83736,41.5,432758784,1,6659743744,8573157376,50.0,700Mhz,96Mhz,
1789669790.4760797,9.461434332999488,83619,83736,0.0,432758784,1,6659743744,8573157376,47.0,700Mhz,96Mhz,
1789669790.9498847,9.93523895999897,83619,83736,0.0,432758784,1,6659743744,8573157376,46.0,700Mhz,96Mhz,
1789669791.4151735,10.400528270001814,83619,83736,0.0,432758784,2,6659743744,8573157376,46.0,700Mhz,96Mhz,
1789669791.8794937,10.8648482589997,83619,83736,0.0,432758784,2,6659743744,8573157376,46.0,700Mhz,96Mhz,
1789669792.3469028,11.332257869999012,83619,83736,0.0,432758784,0,6659743744,8573157376,46.0,700Mhz,96Mhz,
1789669792.8227413,11.80809606800176,83619,83736,0.0,432758784,4,6659743744,8573157376,46.0,700Mhz,96Mhz,
1789669793.2865877,12.271942543000478,83619,83736,0.0,432758784,1,6659743744,8573157376,46.0,700Mhz,96Mhz,
1789669793.748131,12.733485744000063,83619,83736,0.0,432758784,2,6662709248,8573157376,46.0,700Mhz,96Mhz,
1789669794.2309365,13.216291453001759,83619,83736,0.0,432758784,2,6662709248,8573157376,46.0,700Mhz,96Mhz,
1789669794.7018704,13.68722495000111,83619,83736,0.0,432758784,1,6662709248,8573157376,46.0,700Mhz,96Mhz,
1789669795.179268,14.164622823001991,83619,83736,0.0,432758784,2,6662709248,8573157376,45.0,700Mhz,96Mhz,
