time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789675363.067653,0.011694916000124067,100865,100998,0.0,422273024,4,6637117440,8573157376,47.0,700Mhz,96Mhz,
1789675363.5374887,0.48153137199915363,100865,100998,0.0,422273024,2,6637117440,8573157376,47.0,700Mhz,96Mhz,
1789675363.9953449,0.9393883499978983,100865,100998,0.0,422273024,5,6637117440,8573157376,47.0,700Mhz,96Mhz,
1789675364.4659312,1.4099742929975037,100865,100998,0.0,422273024,3,6637117440,8573157376,47.0,700Mhz,96Mhz,
1789675364.937011,1.881054180998035,100865,100998,0.0,422273024,6,6637117440,8573157376,47.0,700Mhz,96Mhz,
1789675365.4270337,2.371076756997354,100865,100998,0.0,422273024,4,6637117440,8573157376,47.0,700Mhz,96Mhz,
1789675365.8961153,2.840158025999699,100865,100998,0.0,422273024,6,6640082944,8573157376,47.0,700Mhz,96Mhz,
1789675366.3621056,3.306148013998609,100865,100998,0.0,422273024,4,6640082944,8573157376,47.0,700Mhz,96Mhz,
1789675366.829206,3.7732489829977567,100865,100998,0.0,422273024,5,6640082944,8573157376,47.0,700Mhz,96Mhz,
1789675367.311066,4.25510956799917,100865,100998,0.0,422273024,5,6640082944,8573157376,47.0,700Mhz,96Mhz,
1789675367.7873325,4.731375437997485,100865,100998,0.0,422273024,4,6640082944,8573157376,47.0,700Mhz,96Mhz,
1789675368.2564151,5.200458315997821,100865,100998,0.0,422273024,3,6640082944,8573157376,47.0,700Mhz,96Mhz,
1789675368.738654,5.682696974999999,100865,100998,0.0,422273024,3,6640082944,8573157376,47.0,700Mhz,96Mhz,
1789675369.223181,6.167223356998875,100865,100998,0.0,422273024,3,6640082944,8573157376,47.0,700Mhz,96Mhz,
1789675369.6846793,6.628722129997186,100865,100998,0.0,422273024,4,6640082944,8573157376,47.0,700Mhz,96Mhz,
1789675370.17,7.114043019999372,100865,100998,45.2,429215744,77,6660804608,8573157376,54.0,2635Mhz,1000Mhz,
1789675370.6345868,7.578629423998791,100865,100998,45.1,429654016,30,6661398528,8573157376,55.0,700Mhz,1000Mhz,
1789675371.121883,8.065925912997045,100865,100998,51.6,429658112,72,6661398528,8573157376,55.0,2630Mhz,1000Mhz,
1789675371.6065266,8.550569564999023,100865,100998,44.3,429731840,72,6658433024,8573157376,56.0,2630Mhz,1000Mhz,
1789675372.102719,9.046761621997575,100865,100998,47.1,429785088,62,6658433024,8573157376,56.0,2630Mhz,1000Mhz,
1789675372.570119,9.514161783998134,100865,100998,43.8,429785088,73,6658433024,8573157376,55.0,2265Mhz,1000Mhz,
1789675373.0264332,9.970476655998937,100865,100998,36.6,429801472,5,6658433024,8573157376,53.0,700Mhz,96Mhz,
