time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789670373.2278519,0.010531837997405091,86795,86913,0.0,422404096,5,6638583808,8573157376,46.0,700Mhz,96Mhz,
1789670373.6749077,0.4575883109973802,86795,86913,0.0,422404096,5,6638583808,8573157376,46.0,700Mhz,96Mhz,
1789670374.1367552,0.9194360549990961,86795,86913,0.0,422404096,5,6638583808,8573157376,46.0,700Mhz,96Mhz,
1789670374.5985155,1.3811966689972905,86795,86913,0.0,422404096,5,6638583808,8573157376,46.0,700Mhz,96Mhz,
1789670375.0655036,1.8481850159987516,86795,86913,0.0,422404096,5,6638583808,8573157376,46.0,700Mhz,96Mhz,
1789670375.5326889,2.3153699739996227,86795,86913,0.0,422404096,4,6638583808,8573157376,46.0,700Mhz,96Mhz,
1789670375.9928675,2.7755486919995747,86795,86913,0.0,422404096,3,6638583808,8573157376,46.0,700Mhz,96Mhz,
1789670376.4685671,3.251247868000064,86795,86913,0.0,422404096,4,6638583808,8573157376,46.0,700Mhz,96Mhz,
1789670376.9350746,3.7177556499991624,86795,86913,0.0,422404096,4,6638583808,8573157376,46.0,700Mhz,96Mhz,
1789670377.402392,4.185073119999288,86795,86913,0.0,422404096,6,6638583808,8573157376,46.0,700Mhz,96Mhz,
1789670377.8549063,4.637587748999067,86795,86913,0.0,422404096,5,6638583808,8573157376,46.0,700Mhz,96Mhz,
1789670378.3346198,5.117300875997898,86795,86913,0.0,422404096,1,6638583808,8573157376,46.0,700Mhz,96Mhz,
1789670378.8039148,5.586595696997392,86795,86913,0.0,422404096,4,6638583808,8573157376,46.0,700Mhz,96Mhz,
1789670379.2774348,6.060115930999018,86795,86913,0.0,422404096,5,6638583808,8573157376,46.0,700Mhz,96Mhz,
1789670379.7478898,6.530570792998333,86795,86913,0.0,422404096,3,6638583808,8573157376,46.0,700Mhz,96Mhz,
1789670380.2241035,7.006784613997297,86795,86913,14.8,428503040,92,6662332416,8573157376,54.0,2639Mhz,1000Mhz,
1789670380.6955683,7.478249466999841,86795,86913,13.1,428756992,96,6662860800,8573157376,58.0,2630Mhz,1000Mhz,
1789670381.1545944,7.9372757130004175,86795,86913,17.5,429379584,99,6662860800,8573157376,58.0,2630Mhz,1000Mhz,
1789670381.6122053,8.394885983998392,86795,86913,12.8,430989312,3,6662860800,8573157376,48.0,700Mhz,96Mhz,
1789670382.0801659,8.862846940999589,86795,86913,0.0,430989312,3,6662860800,8573157376,47.0,700Mhz,96Mhz,
1789670382.545861,9.32854232399768,86795,86913,0.0,430989312,2,6662860800,8573157376,47.0,700Mhz,96Mhz,
1789670383.0091224,9.791804332999163,86795,86913,0.0,430989312,5,6662860800,8573157376,47.0,700Mhz,96Mhz,
1789670383.4725869,10.255268023996905,86795,86913,0.0,430989312,1,6662860800,8573157376,47.0,700Mhz,96Mhz,
1789670383.931554,10.714235038998595,86795,86913,0.0,430989312,1,6662860800,8573157376,46.0,700Mhz,96Mhz,
1789670384.40628,11.188960974999645,86795,86913,0.0,430989312,6,6662860800,8573157376,47.0,700Mhz,96Mhz,
1789670384.8848665,11.667547610999463,86795,86913,0.0,430989312,7,6662860800,8573157376,47.0,700Mhz,96Mhz,
1789670385.3662727,12.148954144999152,86795,86913,0.0,430989312,3,6662860800,8573157376,47.0,700Mhz,96Mhz,
1789670385.8141985,12.596879616998194,86795,86913,0.0,430989312,2,6662860800,8573157376,46.0,700Mhz,96Mhz,
1789670386.2791693,13.061850103000324,86795,86913,0.0,430989312,3,6662860800,8573157376,47.0,700Mhz,96Mhz,
1789670386.7344427,13.51712385999781,86795,86913,0.0,430989312,1,6659895296,8573157376,46.0,700Mhz,96Mhz,
