time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789691215.4660695,0.01015493399972911,25463,25549,0.0,233648128,3,2238169088,8573157376,44.0,700Mhz,96Mhz,
1789691215.8832333,0.4273195899986604,25463,25549,0.0,233648128,2,2238169088,8573157376,44.0,700Mhz,96Mhz,
1789691216.298221,0.8423073869998916,25463,25549,0.0,233648128,3,2238169088,8573157376,44.0,700Mhz,96Mhz,
1789691216.7260993,1.270185531999232,25463,25549,0.0,233648128,2,2238169088,8573157376,44.0,700Mhz,96Mhz,
1789691217.1463294,1.6904158069992263,25463,25549,0.0,233648128,3,2238169088,8573157376,44.0,700Mhz,96Mhz,
1789691217.5745325,2.1186189349991764,25463,25549,0.0,233648128,3,2238169088,8573157376,44.0,700Mhz,96Mhz,
1789691217.9948032,2.538889350000318,25463,25549,0.0,233648128,2,2238169088,8573157376,44.0,700Mhz,96Mhz,
1789691218.406486,2.9505729760003305,25463,25549,0.0,233648128,2,2238169088,8573157376,44.0,700Mhz,96Mhz,
1789691218.8322396,3.376326290999714,25463,25549,0.0,233648128,2,2238169088,8573157376,44.0,700Mhz,96Mhz,
1789691219.2574706,3.801557471999331,25463,25549,0.0,233648128,2,2238169088,8573157376,44.0,700Mhz,96Mhz,
1789691219.6748214,4.218907919999765,25463,25549,0.0,233648128,4,2238169088,8573157376,44.0,700Mhz,96Mhz,
1789691220.0909705,4.635057596999104,25463,25549,0.0,233648128,0,2238169088,8573157376,44.0,700Mhz,96Mhz,
1789691220.5111778,5.055263971999011,25463,25549,0.0,233648128,1,2238169088,8573157376,44.0,700Mhz,96Mhz,
1789691220.921174,5.465260502000092,25463,25549,0.0,233648128,3,2238169088,8573157376,44.0,700Mhz,96Mhz,
1789691221.3444867,5.8885728850000305,25463,25549,0.0,233648128,3,2238169088,8573157376,44.0,700Mhz,96Mhz,
1789691221.7607305,6.304817053000079,25463,25549,0.0,233648128,1,2238169088,8573157376,44.0,700Mhz,96Mhz,
1789691222.1827095,6.7267959139990126,25463,25549,22.2,236417024,93,2240147456,8573157376,53.0,2635Mhz,1000Mhz,
1789691222.58763,7.131716586998664,25463,25549,14.6,236417024,99,2240671744,8573157376,56.0,2630Mhz,1000Mhz,
1789691222.9982796,7.542366543999378,25463,25549,16.8,236417024,87,2240671744,8573157376,58.0,2630Mhz,1000Mhz,
1789691223.4157374,7.959823772998789,25463,25549,12.1,236417024,88,2240671744,8573157376,58.0,2630Mhz,1000Mhz,
1789691223.8287997,8.372886171999198,25463,25549,12.2,236417024,90,2240671744,8573157376,58.0,2630Mhz,1000Mhz,
1789691224.2387578,8.782844231000126,25463,25549,14.5,236441600,88,2240671744,8573157376,53.0,905Mhz,541Mhz,
1789691224.651842,9.19592829999965,25463,25549,16.6,236441600,98,2240671744,8573157376,58.0,2630Mhz,1000Mhz,
1789691225.0735426,9.617629258998932,25463,25549,14.5,236441600,68,2240671744,8573157376,59.0,2630Mhz,1000Mhz,
1789691225.486822,10.03090827899905,25463,25549,9.8,236441600,98,2240671744,8573157376,58.0,2630Mhz,1000Mhz,
1789691225.8936741,10.437760670998614,25463,25549,14.4,236441600,99,2240671744,8573157376,59.0,2630Mhz,1000Mhz,
1789691226.3097534,10.8538398769997,25463,25549,12.0,236441600,86,2240671744,8573157376,59.0,2630Mhz,1000Mhz,
1789691226.7254329,11.269519258999935,25463,25549,14.6,236441600,88,2240770048,8573157376,59.0,2630Mhz,1000Mhz,
1789691227.135733,11.679819293000037,25463,25549,14.5,236441600,99,2240770048,8573157376,61.0,2630Mhz,1000Mhz,
1789691227.5501447,12.094231473998661,25463,25549,14.4,236441600,81,2240770048,8573157376,60.0,1475Mhz,1000Mhz,
1789691227.9677005,12.511786883998866,25463,25549,14.5,236441600,85,2240770048,8573157376,59.0,2630Mhz,1000Mhz,
1789691228.3816192,12.925705629999356,25463,25549,14.6,236441600,68,2240770048,8573157376,60.0,1165Mhz,1000Mhz,
1789691228.793001,13.337087432999397,25463,25549,16.8,236478464,99,2240770048,8573157376,57.0,2630Mhz,1000Mhz,
1789691229.2207942,13.764880658000038,25463,25549,11.7,236478464,97,2240770048,8573157376,61.0,2625Mhz,1000Mhz,
1789691229.6352382,14.179324519000147,25463,25549,14.6,236478464,73,2240770048,8573157376,61.0,2620Mhz,1000Mhz,
1789691230.0472598,14.591346199000327,25463,25549,12.1,236478464,99,2240770048,8573157376,61.0,2625Mhz,1000Mhz,
1789691230.4599903,15.00407675399947,25463,25549,14.7,236478464,70,2240770048,8573157376,61.0,1820Mhz,1000Mhz,
1789691230.8685446,15.41263097099909,25463,25549,14.6,236478464,98,2240770048,8573157376,61.0,2625Mhz,1000Mhz,
1789691231.280003,15.824089424999329,25463,25549,14.4,236609536,98,2240770048,8573157376,62.0,2630Mhz,675Mhz,
1789691231.6976192,16.241705495998758,25463,25549,14.3,236609536,99,2240770048,8573157376,61.0,2625Mhz,1000Mhz,
1789691232.1182106,16.662296873999367,25463,25549,19.3,236609536,47,2240770048,8573157376,62.0,2475Mhz,1000Mhz,
1789691232.5332398,17.077326279999397,25463,25549,12.4,236609536,79,2240770048,8573157376,63.0,2625Mhz,1000Mhz,
1789691232.9370618,17.48114849400008,25463,25549,14.4,236609536,93,2240770048,8573157376,62.0,2620Mhz,1000Mhz,
1789691233.3552136,17.899300088998643,25463,25549,14.3,236609536,93,2240770048,8573157376,62.0,2625Mhz,1000Mhz,
1789691233.7750247,18.319110991000343,25463,25549,17.1,236646400,87,2240770048,8573157376,61.0,2625Mhz,1000Mhz,
1789691234.1850603,18.729146861000117,25463,25549,14.4,236646400,89,2240770048,8573157376,62.0,2625Mhz,1000Mhz,
1789691234.6009529,19.14503899599913,25463,25549,9.6,236646400,99,2240770048,8573157376,63.0,2625Mhz,1000Mhz,
1789691235.0158432,19.559929342000032,25463,25549,12.1,236646400,90,2240770048,8573157376,63.0,2625Mhz,1000Mhz,
1789691235.4286556,19.9727418579987,25463,25549,12.4,236646400,98,2240770048,8573157376,63.0,2625Mhz,1000Mhz,
1789691235.8321211,20.376207577999594,25463,25549,14.4,236646400,99,2240770048,8573157376,63.0,2625Mhz,1000Mhz,
1789691236.249659,20.793745478000346,25463,25549,17.1,236646400,96,2240770048,8573157376,63.0,2625Mhz,1000Mhz,
1789691236.658973,21.203059202000077,25463,25549,14.4,236646400,99,2240770048,8573157376,63.0,2625Mhz,1000Mhz,
1789691237.074536,21.618622613999833,25463,25549,12.1,236646400,92,2240770048,8573157376,63.0,2625Mhz,1000Mhz,
1789691237.4884129,22.032499220000318,25463,25549,12.1,236646400,98,2240770048,8573157376,64.0,2625Mhz,1000Mhz,
1789691237.9027147,22.44680092999988,25463,25549,12.1,236646400,99,2240770048,8573157376,64.0,2625Mhz,1000Mhz,
