time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789691021.097408,0.01098897100018803,24646,24771,0.0,230019072,4,2238328832,8573157376,42.0,700Mhz,96Mhz,
1789691021.5067196,0.4203014649992838,24646,24771,0.0,230019072,0,2238328832,8573157376,42.0,700Mhz,96Mhz,
1789691021.91849,0.8320717419992434,24646,24771,0.0,230019072,1,2238328832,8573157376,42.0,700Mhz,96Mhz,
1789691022.335496,1.2490781569995306,24646,24771,0.0,230019072,2,2238328832,8573157376,42.0,700Mhz,96Mhz,
1789691022.7574732,1.6710554380006215,24646,24771,0.0,230019072,2,2238328832,8573157376,42.0,700Mhz,96Mhz,
1789691023.174359,2.0879408820001117,24646,24771,0.0,230019072,0,2238328832,8573157376,42.0,700Mhz,96Mhz,
1789691023.5983715,2.511953141000049,24646,24771,0.0,230019072,3,2238341120,8573157376,42.0,700Mhz,96Mhz,
1789691024.0223184,2.9359003899990057,24646,24771,0.0,230019072,1,2238328832,8573157376,42.0,700Mhz,96Mhz,
1789691024.450389,3.3639705469995533,24646,24771,0.0,230019072,0,2238328832,8573157376,42.0,700Mhz,96Mhz,
1789691024.8656828,3.779264525999679,24646,24771,0.0,230019072,2,2238328832,8573157376,42.0,700Mhz,96Mhz,
1789691025.2736044,4.187186347000534,24646,24771,0.0,230019072,0,2238328832,8573157376,42.0,700Mhz,96Mhz,
1789691025.688952,4.602534677000222,24646,24771,0.0,230019072,1,2238328832,8573157376,42.0,700Mhz,96Mhz,
1789691026.1042867,5.017868406999696,24646,24771,0.0,230019072,2,2238328832,8573157376,42.0,700Mhz,96Mhz,
1789691026.5183623,5.431944294999994,24646,24771,0.0,230019072,2,2238328832,8573157376,42.0,700Mhz,96Mhz,
1789691026.9292753,5.842857022998942,24646,24771,0.0,230019072,0,2238328832,8573157376,42.0,700Mhz,96Mhz,
1789691027.3501213,6.263703024000279,24646,24771,0.0,230019072,4,2238328832,8573157376,42.0,700Mhz,96Mhz,
1789691027.7675972,6.681178892999014,24646,24771,0.0,230019072,3,2238328832,8573157376,42.0,700Mhz,96Mhz,
1789691028.1803942,7.093976068999837,24646,24771,17.0,230244352,4,2240344064,8573157376,46.0,700Mhz,96Mhz,
1789691028.592342,7.505924057999437,24646,24771,14.5,230420480,5,2240344064,8573157376,43.0,700Mhz,96Mhz,
1789691029.0064893,7.920071225998981,24646,24771,0.0,230420480,4,2240344064,8573157376,43.0,700Mhz,96Mhz,
1789691029.4320488,8.345630460000393,24646,24771,0.0,230420480,4,2240344064,8573157376,42.0,700Mhz,96Mhz,
1789691029.8502402,8.763822095999785,24646,24771,0.0,230420480,3,2240344064,8573157376,42.0,700Mhz,96Mhz,
1789691030.2669816,9.18056335899928,24646,24771,0.0,230420480,4,2240344064,8573157376,43.0,700Mhz,96Mhz,
1789691030.6800447,9.593626186999245,24646,24771,0.0,230420480,6,2240344064,8573157376,42.0,700Mhz,96Mhz,
1789691031.0882773,10.001858681000158,24646,24771,0.0,230420480,5,2240344064,8573157376,42.0,700Mhz,96Mhz,
1789691031.505077,10.41865895400042,24646,24771,0.0,230420480,7,2240344064,8573157376,42.0,700Mhz,96Mhz,
1789691031.927067,10.84064912499889,24646,24771,0.0,230420480,2,2240344064,8573157376,42.0,700Mhz,96Mhz,
1789691032.3352451,11.248827168999924,24646,24771,0.0,230420480,7,2240344064,8573157376,42.0,700Mhz,96Mhz,
1789691032.7592444,11.672826418000113,24646,24771,0.0,230420480,5,2240344064,8573157376,42.0,700Mhz,96Mhz,
1789691033.1729913,12.086573073000181,24646,24771,0.0,230420480,2,2240344064,8573157376,42.0,700Mhz,96Mhz,
1789691033.5865824,12.50016371699894,24646,24771,0.0,230420480,3,2240344064,8573157376,42.0,700Mhz,96Mhz,
