time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789687785.6595223,0.010262382999826514,13801,13905,0.0,234508288,0,2204950528,8573157376,43.0,700Mhz,96Mhz,
1789687786.0206485,0.3713892030000352,13801,13905,0.0,234508288,3,2204950528,8573157376,43.0,700Mhz,96Mhz,
1789687786.3855693,0.7363100479997229,13801,13905,0.0,234508288,3,2204950528,8573157376,43.0,700Mhz,96Mhz,
1789687786.7611623,1.1119031389998781,13801,13905,0.0,234508288,1,2204950528,8573157376,43.0,700Mhz,96Mhz,
1789687787.134638,1.485378972000035,13801,13905,0.0,234508288,5,2204950528,8573157376,43.0,700Mhz,96Mhz,
1789687787.509157,1.859897643000295,13801,13905,0.0,234508288,7,2204950528,8573157376,43.0,700Mhz,96Mhz,
1789687787.8728042,2.223544825999852,13801,13905,0.0,234508288,3,2204950528,8573157376,43.0,700Mhz,96Mhz,
1789687788.2370982,2.587839625000015,13801,13905,0.0,234508288,4,2204950528,8573157376,43.0,700Mhz,96Mhz,
1789687788.6206033,2.9713443390000975,13801,13905,0.0,234508288,2,2204950528,8573157376,43.0,700Mhz,96Mhz,
1789687788.9878302,3.338571473999764,13801,13905,0.0,234508288,0,2204950528,8573157376,43.0,700Mhz,96Mhz,
1789687789.3495715,3.700312330000088,13801,13905,0.0,234508288,0,2204950528,8573157376,43.0,700Mhz,96Mhz,
1789687789.7221642,4.072905183999865,13801,13905,0.0,234508288,1,2204950528,8573157376,43.0,700Mhz,96Mhz,
1789687790.0974908,4.448231583000052,13801,13905,0.0,234508288,0,2204950528,8573157376,43.0,700Mhz,96Mhz,
1789687790.466281,4.817021863000264,13801,13905,0.0,234508288,2,2204950528,8573157376,43.0,700Mhz,96Mhz,
1789687790.841972,5.192713385000388,13801,13905,0.0,234508288,1,2204950528,8573157376,43.0,700Mhz,96Mhz,
1789687791.2033598,5.554100516999824,13801,13905,0.0,234508288,1,2204950528,8573157376,43.0,700Mhz,96Mhz,
1789687791.5771527,5.927893883000252,13801,13905,0.0,234508288,2,2204950528,8573157376,43.0,700Mhz,96Mhz,
1789687791.9416852,6.292426322999745,13801,13905,0.0,234508288,2,2204950528,8573157376,43.0,700Mhz,96Mhz,
1789687792.3183804,6.669121365000137,13801,13905,22.7,235241472,99,2206928896,8573157376,54.0,2630Mhz,1000Mhz,
1789687792.67051,7.02125092300048,13801,13905,27.8,235241472,94,2207453184,8573157376,56.0,2630Mhz,1000Mhz,
1789687793.0296662,7.380406705000496,13801,13905,25.0,235241472,95,2207453184,8573157376,57.0,2625Mhz,1000Mhz,
1789687793.3902204,7.74096106900015,13801,13905,27.0,235241472,95,2207453184,8573157376,57.0,2630Mhz,1000Mhz,
1789687793.7602468,8.11098751999998,13801,13905,28.2,235241472,99,2207453184,8573157376,58.0,2580Mhz,1000Mhz,
1789687794.1154366,8.466177575999609,13801,13905,28.2,235241472,99,2207453184,8573157376,59.0,2605Mhz,1000Mhz,
1789687794.4705813,8.82132225100031,13801,13905,25.1,235241472,99,2207453184,8573157376,58.0,2570Mhz,1000Mhz,
1789687794.8298001,9.180541583999911,13801,13905,27.0,235241472,98,2207453184,8573157376,59.0,2630Mhz,1000Mhz,
1789687795.1997302,9.550471303999984,13801,13905,27.1,235241472,99,2207453184,8573157376,59.0,2575Mhz,1000Mhz,
1789687795.5689013,9.919642337000369,13801,13905,26.9,235241472,99,2207453184,8573157376,60.0,2575Mhz,1000Mhz,
1789687795.9401307,10.290872018999835,13801,13905,27.6,235241472,99,2207453184,8573157376,59.0,2610Mhz,1000Mhz,
1789687796.3026426,10.653384231000018,13801,13905,29.7,236224512,23,2207551488,8573157376,56.0,700Mhz,675Mhz,
1789687796.6725175,11.023258451000402,13801,13905,51.8,236224512,93,2207551488,8573157376,56.0,2630Mhz,1000Mhz,
1789687797.0393596,11.390100202999747,13801,13905,51.1,236224512,95,2207551488,8573157376,56.0,2630Mhz,1000Mhz,
1789687797.4111462,11.761887010000464,13801,13905,52.1,236224512,84,2207551488,8573157376,56.0,2630Mhz,1000Mhz,
1789687797.7758071,12.126547521999782,13801,13905,55.5,236224512,94,2207551488,8573157376,56.0,2630Mhz,1000Mhz,
1789687798.1361153,12.486856393999915,13801,13905,48.8,236224512,95,2207551488,8573157376,56.0,2630Mhz,1000Mhz,
1789687798.5048041,12.855544932999692,13801,13905,58.1,236224512,92,2207551488,8573157376,57.0,2630Mhz,1000Mhz,
1789687798.866182,13.216922454999803,13801,13905,55.1,236945408,91,2207551488,8573157376,56.0,2630Mhz,1000Mhz,
1789687799.2290835,13.579824851000012,13801,13905,55.6,236945408,90,2207551488,8573157376,56.0,2630Mhz,1000Mhz,
1789687799.5888472,13.939588248999826,13801,13905,55.5,236945408,93,2207551488,8573157376,56.0,2630Mhz,1000Mhz,
1789687799.9488354,14.299575578000258,13801,13905,50.8,236945408,95,2207551488,8573157376,57.0,2630Mhz,1000Mhz,
1789687800.3227065,14.67344733400023,13801,13905,55.4,236945408,93,2207551488,8573157376,57.0,2630Mhz,1000Mhz,
1789687800.683627,15.034367852000287,13801,13905,50.5,236945408,90,2207551488,8573157376,57.0,2630Mhz,1000Mhz,
1789687801.0402062,15.390946450000229,13801,13905,52.5,237666304,92,2207551488,8573157376,57.0,2630Mhz,1000Mhz,
1789687801.402325,15.753065478999815,13801,13905,55.3,237666304,93,2207551488,8573157376,57.0,2630Mhz,1000Mhz,
1789687801.7642186,16.114958985999692,13801,13905,49.9,237666304,94,2207551488,8573157376,57.0,2630Mhz,1000Mhz,
1789687802.125085,16.475825653000356,13801,13905,52.0,237666304,87,2207551488,8573157376,57.0,2630Mhz,1000Mhz,
1789687802.4904363,16.84117709200018,13801,13905,51.6,237666304,94,2207551488,8573157376,57.0,2630Mhz,1000Mhz,
1789687802.858855,17.209595307999734,13801,13905,52.9,237666304,91,2207551488,8573157376,57.0,2630Mhz,1000Mhz,
1789687803.2176824,17.568423536999944,13801,13905,24.6,237666304,3,2207551488,8573157376,51.0,700Mhz,96Mhz,
1789687803.5842068,17.934947706000457,13801,13905,0.0,237666304,5,2207551488,8573157376,49.0,700Mhz,96Mhz,
1789687803.9629953,18.313736136999978,13801,13905,0.0,237666304,8,2207551488,8573157376,48.0,700Mhz,96Mhz,
1789687804.3398352,18.690575640000134,13801,13905,0.0,237666304,5,2207551488,8573157376,48.0,700Mhz,96Mhz,
1789687804.7028322,19.05357290699976,13801,13905,0.0,237666304,1,2207551488,8573157376,48.0,700Mhz,96Mhz,
1789687805.0675364,19.418277189000037,13801,13905,0.0,237666304,2,2207551488,8573157376,48.0,700Mhz,96Mhz,
1789687805.4313157,19.78205613299997,13801,13905,0.0,237666304,4,2207551488,8573157376,48.0,700Mhz,96Mhz,
1789687805.7936747,20.144415824000134,13801,13905,0.0,237666304,2,2207551488,8573157376,47.0,700Mhz,96Mhz,
1789687806.149372,20.500113015000352,13801,13905,0.0,237666304,3,2207551488,8573157376,48.0,700Mhz,96Mhz,
1789687806.5152462,20.865986668000005,13801,13905,0.0,237666304,1,2207551488,8573157376,47.0,700Mhz,96Mhz,
1789687806.8831131,21.233853339000234,13801,13905,0.0,237666304,1,2207551488,8573157376,47.0,700Mhz,96Mhz,
1789687807.2508383,21.60157872899981,13801,13905,0.0,237666304,6,2207551488,8573157376,47.0,700Mhz,96Mhz,
1789687807.6213682,21.972109033999914,13801,13905,0.0,237666304,2,2207551488,8573157376,47.0,700Mhz,96Mhz,
1789687807.9849522,22.335693177000394,13801,13905,0.0,237666304,4,2207551488,8573157376,47.0,700Mhz,96Mhz,
1789687808.3589098,22.709650843000418,13801,13905,0.0,237666304,5,2207551488,8573157376,47.0,700Mhz,96Mhz,
1789687808.72281,23.073551067999688,13801,13905,0.0,237666304,3,2207551488,8573157376,47.0,700Mhz,96Mhz,
1789687809.0891259,23.439866765999795,13801,13905,0.0,237666304,3,2207551488,8573157376,47.0,700Mhz,96Mhz,
1789687809.465422,23.81616259400016,13801,13905,0.0,237666304,3,2207551488,8573157376,47.0,700Mhz,96Mhz,
1789687809.843252,24.19399293599963,13801,13905,0.0,237666304,4,2207551488,8573157376,47.0,700Mhz,96Mhz,
1789687810.2183619,24.569103232999623,13801,13905,0.0,237666304,6,2207551488,8573157376,47.0,700Mhz,96Mhz,
1789687810.5925736,24.94331429199974,13801,13905,28.7,313012224,99,2207555584,8573157376,54.0,2630Mhz,1000Mhz,
1789687810.9406319,25.291371983000317,13801,13905,27.3,313012224,97,2207555584,8573157376,59.0,2600Mhz,1000Mhz,
1789687811.3069394,25.657680520000213,13801,13905,25.0,313012224,98,2207555584,8573157376,61.0,2620Mhz,1000Mhz,
1789687811.6666288,26.01736900600008,13801,13905,27.3,313012224,98,2207555584,8573157376,61.0,2610Mhz,1000Mhz,
1789687812.0334184,26.384159178000118,13801,13905,29.8,313012224,96,2207555584,8573157376,61.0,2615Mhz,1000Mhz,
1789687812.402982,26.753722755000126,13801,13905,28.0,313049088,99,2207555584,8573157376,61.0,2565Mhz,1000Mhz,
1789687812.7597578,27.110497894999753,13801,13905,33.5,313049088,99,2207555584,8573157376,62.0,2560Mhz,1000Mhz,
1789687813.117476,27.468216743000085,13801,13905,24.7,313049088,99,2207555584,8573157376,62.0,2580Mhz,1000Mhz,
1789687813.4816039,27.83234436099974,13801,13905,26.5,313049088,99,2207555584,8573157376,62.0,2580Mhz,1000Mhz,
1789687813.8586798,28.20942078600001,13801,13905,25.1,313049088,95,2207555584,8573157376,62.0,2625Mhz,1000Mhz,
