time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789691834.6248162,0.010057158999188687,27386,27473,0.0,233185280,3,2238005248,8573157376,46.0,700Mhz,96Mhz,
1789691835.040794,0.42603547999897273,27386,27473,0.0,233185280,5,2238005248,8573157376,46.0,700Mhz,96Mhz,
1789691835.475461,0.8607026159988891,27386,27473,0.0,233185280,6,2238005248,8573157376,47.0,700Mhz,96Mhz,
1789691835.896139,1.2813806640006078,27386,27473,0.0,233185280,4,2238005248,8573157376,47.0,700Mhz,96Mhz,
1789691836.3205338,1.705775607999385,27386,27473,0.0,233185280,4,2238005248,8573157376,46.0,700Mhz,96Mhz,
1789691836.7449477,2.130189772999074,27386,27473,0.0,233185280,4,2238005248,8573157376,46.0,700Mhz,96Mhz,
1789691837.1712785,2.5565205969996896,27386,27473,0.0,233185280,4,2238005248,8573157376,46.0,700Mhz,96Mhz,
1789691837.5829992,2.968240595999305,27386,27473,0.0,233185280,7,2238005248,8573157376,46.0,700Mhz,96Mhz,
1789691837.9980829,3.3833243589997437,27386,27473,0.0,233185280,2,2238005248,8573157376,46.0,700Mhz,96Mhz,
1789691838.4219458,3.8071874079996633,27386,27473,0.0,233185280,6,2238005248,8573157376,46.0,700Mhz,96Mhz,
1789691838.8500936,4.235335199999099,27386,27473,0.0,233185280,4,2238005248,8573157376,46.0,700Mhz,96Mhz,
1789691839.257579,4.642820957000367,27386,27473,0.0,233185280,5,2238005248,8573157376,46.0,700Mhz,96Mhz,
1789691839.6765058,5.061747738000122,27386,27473,0.0,233185280,4,2238005248,8573157376,46.0,700Mhz,96Mhz,
1789691840.0948474,5.480089332999341,27386,27473,0.0,233185280,7,2238005248,8573157376,46.0,700Mhz,96Mhz,
1789691840.5138369,5.899078213999019,27386,27473,0.0,233185280,2,2238005248,8573157376,46.0,700Mhz,96Mhz,
1789691840.922352,6.307594521998908,27386,27473,0.0,233185280,4,2238005248,8573157376,46.0,700Mhz,96Mhz,
1789691841.3437433,6.728984657000183,27386,27473,21.9,236068864,99,2239983616,8573157376,54.0,2630Mhz,1000Mhz,
1789691841.7553647,7.140606344999469,27386,27473,27.0,236068864,98,2239983616,8573157376,59.0,2605Mhz,1000Mhz,
1789691842.1629386,7.548180243999013,27386,27473,24.0,236068864,98,2239983616,8573157376,60.0,2610Mhz,1000Mhz,
1789691842.5797412,7.964982573999805,27386,27473,24.1,236068864,99,2239983616,8573157376,60.0,2625Mhz,1000Mhz,
1789691842.9939709,8.379212417999952,27386,27473,26.2,236068864,99,2240507904,8573157376,61.0,2625Mhz,1000Mhz,
1789691843.4132257,8.798467372000232,27386,27473,21.6,236068864,99,2240507904,8573157376,61.0,2580Mhz,1000Mhz,
1789691843.8302622,9.215503784000248,27386,27473,26.6,236068864,99,2240507904,8573157376,61.0,2600Mhz,1000Mhz,
1789691844.2447217,9.629963109999153,27386,27473,23.9,236068864,96,2240507904,8573157376,62.0,2615Mhz,1000Mhz,
1789691844.6637595,10.049000761999196,27386,27473,24.2,236068864,99,2240507904,8573157376,61.0,2575Mhz,1000Mhz,
1789691845.0767915,10.462033593999877,27386,27473,24.4,236068864,97,2240507904,8573157376,62.0,2625Mhz,1000Mhz,
1789691845.4864597,10.87170165399948,27386,27473,24.7,236068864,99,2240507904,8573157376,62.0,2580Mhz,1000Mhz,
1789691845.8918023,11.277044070000557,27386,27473,28.9,236068864,93,2240507904,8573157376,63.0,2625Mhz,1000Mhz,
1789691846.3065984,11.691839979999713,27386,27473,21.0,236068864,99,2240507904,8573157376,63.0,2575Mhz,1000Mhz,
1789691846.73427,12.119511766999494,27386,27473,26.4,236068864,97,2240507904,8573157376,63.0,2625Mhz,1000Mhz,
1789691847.1502779,12.535519318998922,27386,27473,25.9,236068864,99,2240507904,8573157376,63.0,2570Mhz,1000Mhz,
1789691847.5747945,12.960036065000168,27386,27473,24.3,236068864,99,2240507904,8573157376,63.0,2565Mhz,1000Mhz,
1789691847.9867237,13.371965035999892,27386,27473,26.9,236068864,97,2240507904,8573157376,63.0,2610Mhz,1000Mhz,
1789691848.396213,13.781454873000257,27386,27473,21.8,236068864,99,2240507904,8573157376,64.0,2575Mhz,1000Mhz,
1789691848.8087099,14.193951319999542,27386,27473,26.4,236068864,99,2240507904,8573157376,64.0,2560Mhz,1000Mhz,
1789691849.2256958,14.610937641999044,27386,27473,26.8,236068864,99,2240507904,8573157376,64.0,2560Mhz,1000Mhz,
1789691849.636678,15.021919263999735,27386,27473,27.2,236068864,99,2240507904,8573157376,65.0,2555Mhz,1000Mhz,
1789691850.0414171,15.426658264999787,27386,27473,24.4,236068864,99,2240507904,8573157376,64.0,2565Mhz,1000Mhz,
