time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789688127.9165149,0.010476024999661604,15247,15340,0.0,234401792,1,2205102080,8573157376,48.0,700Mhz,96Mhz,
1789688128.2877634,0.38172523799948976,15247,15340,0.0,234401792,3,2205102080,8573157376,48.0,700Mhz,96Mhz,
1789688128.6506507,0.7446127839994006,15247,15340,0.0,234401792,5,2205102080,8573157376,49.0,700Mhz,96Mhz,
1789688129.025809,1.1197714410000117,15247,15340,0.0,234401792,6,2205102080,8573157376,49.0,700Mhz,96Mhz,
1789688129.3942566,1.488218847999633,15247,15340,0.0,234401792,8,2205102080,8573157376,48.0,700Mhz,96Mhz,
1789688129.7573504,1.8513126660000125,15247,15340,0.0,234401792,3,2205102080,8573157376,48.0,700Mhz,96Mhz,
1789688130.1294086,2.2233706150000216,15247,15340,0.0,234401792,5,2205102080,8573157376,48.0,700Mhz,96Mhz,
1789688130.491819,2.5857812759995795,15247,15340,0.0,234401792,5,2205102080,8573157376,48.0,700Mhz,96Mhz,
1789688130.8562653,2.9502277569999933,15247,15340,0.0,234401792,6,2205102080,8573157376,49.0,700Mhz,96Mhz,
1789688131.2286491,3.322611348999999,15247,15340,0.0,234401792,7,2205102080,8573157376,49.0,700Mhz,96Mhz,
1789688131.5941968,3.6881587190000573,15247,15340,0.0,234401792,6,2205102080,8573157376,49.0,700Mhz,96Mhz,
1789688131.9604874,4.054449915999612,15247,15340,0.0,234401792,6,2205102080,8573157376,48.0,700Mhz,96Mhz,
1789688132.3285277,4.422489708999819,15247,15340,0.0,234401792,6,2205102080,8573157376,48.0,700Mhz,96Mhz,
1789688132.6955948,4.789556882999932,15247,15340,0.0,234401792,2,2205102080,8573157376,48.0,700Mhz,96Mhz,
1789688133.0717432,5.165705348999836,15247,15340,0.0,234401792,5,2205102080,8573157376,48.0,700Mhz,96Mhz,
1789688133.446156,5.540118189999703,15247,15340,0.0,234401792,2,2205102080,8573157376,49.0,700Mhz,96Mhz,
1789688133.8196628,5.913624842999525,15247,15340,0.0,234401792,6,2205102080,8573157376,49.0,700Mhz,96Mhz,
1789688134.191302,6.285264257999188,15247,15340,5.3,237191168,2,2205102080,8573157376,48.0,700Mhz,96Mhz,
1789688134.5700903,6.66405266899983,15247,15340,29.5,237191168,99,2207080448,8573157376,60.0,2625Mhz,1000Mhz,
1789688134.9436176,7.037579152000035,15247,15340,28.2,237191168,99,2207604736,8573157376,61.0,2575Mhz,1000Mhz,
1789688135.2984962,7.392457724999986,15247,15340,25.4,237191168,99,2207604736,8573157376,62.0,2565Mhz,1000Mhz,
1789688135.652242,7.746203987999252,15247,15340,25.1,237191168,99,2207604736,8573157376,62.0,2575Mhz,1000Mhz,
1789688136.0106916,8.104653692999818,15247,15340,27.7,237191168,98,2207604736,8573157376,63.0,2625Mhz,1000Mhz,
1789688136.3711944,8.465156396999191,15247,15340,33.4,237228032,99,2207604736,8573157376,63.0,2625Mhz,1000Mhz,
1789688136.7308352,8.82479725399935,15247,15340,30.5,237228032,99,2207604736,8573157376,63.0,2585Mhz,1000Mhz,
1789688137.0911665,9.185128635999718,15247,15340,22.5,237228032,98,2207604736,8573157376,64.0,2595Mhz,1000Mhz,
1789688137.4461558,9.540118409999195,15247,15340,27.9,237228032,99,2207604736,8573157376,65.0,2580Mhz,1000Mhz,
1789688137.8046198,9.89858245599953,15247,15340,27.8,237228032,99,2207604736,8573157376,64.0,2580Mhz,1000Mhz,
1789688138.164806,10.258768066999437,15247,15340,22.0,237228032,99,2207604736,8573157376,64.0,2565Mhz,1000Mhz,
1789688138.528046,10.6220080159992,15247,15340,33.0,237228032,99,2207703040,8573157376,63.0,2625Mhz,1000Mhz,
1789688138.8912985,10.985260964999725,15247,15340,27.4,237228032,99,2207703040,8573157376,65.0,2565Mhz,1000Mhz,
1789688139.2562041,11.350166360000003,15247,15340,27.4,237228032,99,2207703040,8573157376,65.0,2560Mhz,1000Mhz,
1789688139.6206393,11.714601509999738,15247,15340,24.4,237228032,99,2207703040,8573157376,65.0,2555Mhz,1000Mhz,
1789688139.9901328,12.084094775999802,15247,15340,25.2,237228032,99,2207703040,8573157376,67.0,2565Mhz,1000Mhz,
1789688140.3471885,12.441150437999568,15247,15340,30.6,237228032,97,2207703040,8573157376,65.0,2610Mhz,1000Mhz,
1789688140.7064497,12.80041233099928,15247,15340,30.3,237264896,99,2207703040,8573157376,66.0,2625Mhz,1000Mhz,
1789688141.0697277,13.163689920999786,15247,15340,24.8,237264896,98,2207703040,8573157376,67.0,2590Mhz,1000Mhz,
1789688141.4324925,13.526454625999577,15247,15340,25.1,237264896,99,2207703040,8573157376,66.0,2575Mhz,1000Mhz,
1789688141.7908297,13.884792099999686,15247,15340,30.5,237264896,99,2207703040,8573157376,66.0,2570Mhz,1000Mhz,
1789688142.1511514,14.245113581999249,15247,15340,27.9,237264896,99,2207703040,8573157376,67.0,2620Mhz,1000Mhz,
1789688142.5092015,14.60316375399998,15247,15340,22.4,237264896,99,2207703040,8573157376,66.0,2570Mhz,1000Mhz,
1789688142.8656037,14.959565570999985,15247,15340,35.8,237395968,99,2207703040,8573157376,66.0,2625Mhz,1000Mhz,
1789688143.228638,15.322599948000061,15247,15340,24.8,237395968,99,2207703040,8573157376,67.0,2565Mhz,1000Mhz,
1789688143.591897,15.685859447999974,15247,15340,27.4,237395968,99,2207703040,8573157376,67.0,2560Mhz,1000Mhz,
