time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789688247.9412796,0.010132403000170598,15707,15813,0.0,387944448,1,2362621952,8573157376,49.0,700Mhz,96Mhz,
1789688248.312407,0.38126066400036507,15707,15813,0.0,387944448,3,2362621952,8573157376,48.0,700Mhz,96Mhz,
1789688248.6994584,0.7683116600001085,15707,15813,0.0,387944448,3,2362621952,8573157376,49.0,700Mhz,96Mhz,
1789688249.0674982,1.1363514820004639,15707,15813,0.0,387944448,5,2362621952,8573157376,48.0,700Mhz,96Mhz,
1789688249.430334,1.4991877580005166,15707,15813,0.0,387944448,3,2362621952,8573157376,49.0,700Mhz,96Mhz,
1789688249.7956421,1.86449552600061,15707,15813,0.0,387944448,2,2362621952,8573157376,49.0,700Mhz,96Mhz,
1789688250.1647084,2.233561658000326,15707,15813,0.0,387944448,3,2362621952,8573157376,49.0,700Mhz,96Mhz,
1789688250.5282242,2.597078320000037,15707,15813,0.0,387944448,2,2362621952,8573157376,49.0,700Mhz,96Mhz,
1789688250.9094381,2.9782914630004598,15707,15813,0.0,387944448,1,2362621952,8573157376,49.0,700Mhz,96Mhz,
1789688251.2759717,3.344824762000826,15707,15813,0.0,387944448,1,2362621952,8573157376,49.0,700Mhz,96Mhz,
1789688251.6425664,3.7114197310002055,15707,15813,0.0,387944448,4,2362621952,8573157376,49.0,700Mhz,96Mhz,
1789688252.0122893,4.0811428690003595,15707,15813,0.0,387944448,1,2362621952,8573157376,49.0,700Mhz,96Mhz,
1789688252.38861,4.4574632280000515,15707,15813,0.0,387944448,2,2362621952,8573157376,49.0,700Mhz,96Mhz,
1789688252.7535155,4.822368862000076,15707,15813,0.0,387944448,4,2362621952,8573157376,49.0,700Mhz,96Mhz,
1789688253.1179028,5.186756561000038,15707,15813,0.0,387944448,2,2362621952,8573157376,49.0,700Mhz,96Mhz,
1789688253.4810977,5.549951040000451,15707,15813,0.0,387944448,2,2362621952,8573157376,49.0,700Mhz,96Mhz,
1789688253.8488781,5.917731491000268,15707,15813,0.0,387944448,3,2362621952,8573157376,49.0,700Mhz,96Mhz,
1789688254.2156963,6.284549622000668,15707,15813,0.0,387944448,3,2362621952,8573157376,49.0,700Mhz,96Mhz,
