time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789693953.966597,0.010311632000593818,36268,36356,0.0,234020864,2,2247249920,8573157376,45.0,700Mhz,96Mhz,
1789693954.4246786,0.4683940899994923,36268,36356,0.0,234020864,2,2247249920,8573157376,45.0,700Mhz,96Mhz,
1789693954.8436985,0.8874135429996386,36268,36356,0.0,234020864,1,2247249920,8573157376,45.0,700Mhz,96Mhz,
1789693955.2581244,1.3018395210001472,36268,36356,0.0,234020864,5,2247249920,8573157376,45.0,700Mhz,96Mhz,
1789693955.6710243,1.7147396929995011,36268,36356,0.0,234020864,8,2247249920,8573157376,45.0,700Mhz,96Mhz,
1789693956.0850675,2.1287828069998795,36268,36356,0.0,234020864,0,2247249920,8573157376,45.0,700Mhz,96Mhz,
1789693956.492709,2.5364238870006375,36268,36356,0.0,234020864,5,2247249920,8573157376,45.0,700Mhz,96Mhz,
1789693956.9035738,2.94728903000032,36268,36356,0.0,234020864,2,2247249920,8573157376,45.0,700Mhz,96Mhz,
1789693957.3089547,3.3526698389996454,36268,36356,0.0,234020864,2,2247249920,8573157376,45.0,700Mhz,96Mhz,
1789693957.7149057,3.758620062999398,36268,36356,0.0,234020864,3,2247249920,8573157376,45.0,700Mhz,96Mhz,
1789693958.11787,4.161585366999134,36268,36356,0.0,234020864,5,2247249920,8573157376,45.0,700Mhz,96Mhz,
1789693958.5233698,4.567084246999002,36268,36356,0.0,234020864,2,2247249920,8573157376,46.0,700Mhz,96Mhz,
1789693958.9284165,4.972131102000276,36268,36356,0.0,234020864,3,2247249920,8573157376,45.0,700Mhz,96Mhz,
1789693959.3413777,5.385092925000208,36268,36356,0.0,234020864,6,2247249920,8573157376,45.0,700Mhz,96Mhz,
1789693959.7526162,5.796330871999089,36268,36356,0.0,234020864,3,2247249920,8573157376,45.0,700Mhz,96Mhz,
1789693960.1592524,6.20296768299886,36268,36356,0.0,234020864,8,2247249920,8573157376,45.0,700Mhz,96Mhz,
1789693960.5675077,6.611222629000622,36268,36356,22.0,236126208,99,2249228288,8573157376,55.0,2630Mhz,1000Mhz,
1789693960.9757648,7.0194800659992325,36268,36356,26.5,236126208,95,2249752576,8573157376,58.0,2630Mhz,1000Mhz,
1789693961.3913913,7.435106364999228,36268,36356,28.3,236126208,99,2249752576,8573157376,59.0,2570Mhz,1000Mhz,
1789693961.7802196,7.8239347799990355,36268,36356,26.9,236126208,93,2249752576,8573157376,60.0,2630Mhz,1000Mhz,
1789693962.1896372,8.233352917999582,36268,36356,28.4,236163072,99,2249752576,8573157376,60.0,2575Mhz,1000Mhz,
1789693962.611719,8.655434030999459,36268,36356,26.7,236163072,99,2249752576,8573157376,61.0,2560Mhz,1000Mhz,
1789693963.0242825,9.067997449999893,36268,36356,26.7,236163072,99,2249752576,8573157376,61.0,2575Mhz,1000Mhz,
1789693963.4357398,9.47945493899897,36268,36356,27.1,236163072,99,2249752576,8573157376,61.0,2585Mhz,1000Mhz,
1789693963.8422573,9.88597246899917,36268,36356,26.8,236163072,99,2249752576,8573157376,61.0,2575Mhz,1000Mhz,
1789693964.2530992,10.296814690998872,36268,36356,29.5,236163072,99,2249752576,8573157376,61.0,2590Mhz,1000Mhz,
1789693964.659139,10.702854215000116,36268,36356,29.2,236163072,94,2249850880,8573157376,61.0,2630Mhz,1000Mhz,
1789693965.0706224,11.114337703998899,36268,36356,25.0,236163072,94,2249850880,8573157376,61.0,2625Mhz,1000Mhz,
1789693965.4703472,11.514061857000343,36268,36356,27.4,236163072,99,2249850880,8573157376,62.0,2565Mhz,1000Mhz,
1789693965.8715558,11.915270984000017,36268,36356,26.9,236163072,99,2249850880,8573157376,62.0,2595Mhz,1000Mhz,
1789693966.2799625,12.323677672000485,36268,36356,27.4,236163072,99,2249850880,8573157376,62.0,2560Mhz,1000Mhz,
1789693966.6812909,12.725006259999645,36268,36356,29.5,236199936,83,2249850880,8573157376,62.0,2625Mhz,1000Mhz,
1789693967.0885658,13.132280747999175,36268,36356,29.9,236199936,98,2249850880,8573157376,63.0,2625Mhz,1000Mhz,
1789693967.4893887,13.533103470999777,36268,36356,27.2,236199936,97,2249850880,8573157376,64.0,2625Mhz,1000Mhz,
1789693967.8943017,13.938016574998983,36268,36356,27.3,236199936,96,2249850880,8573157376,63.0,2615Mhz,1000Mhz,
1789693968.2972436,14.340958958999181,36268,36356,26.8,236199936,99,2249850880,8573157376,63.0,2575Mhz,1000Mhz,
1789693968.7073638,14.751079485000446,36268,36356,29.5,236331008,99,2249850880,8573157376,64.0,2595Mhz,1000Mhz,
1789693969.113671,15.157386753000537,36268,36356,27.2,236331008,99,2249850880,8573157376,63.0,2555Mhz,1000Mhz,
1789693969.5179548,15.561669630000324,36268,36356,27.2,236331008,99,2249850880,8573157376,64.0,2590Mhz,1000Mhz,
1789693969.9216108,15.965326031999211,36268,36356,26.6,236331008,98,2249850880,8573157376,64.0,2600Mhz,1000Mhz,
1789693970.33524,16.378955140999096,36268,36356,23.8,236331008,99,2249850880,8573157376,64.0,2550Mhz,1000Mhz,
1789693970.755028,16.798743151999588,36268,36356,31.7,236331008,27,2249850880,8573157376,64.0,700Mhz,675Mhz,
1789693971.1646538,17.20836915200016,36268,36356,26.6,236331008,99,2249850880,8573157376,64.0,2560Mhz,1000Mhz,
1789693971.5778131,17.62152821699965,36268,36356,26.8,236331008,99,2249850880,8573157376,65.0,2560Mhz,1000Mhz,
1789693971.9878087,18.031523880999885,36268,36356,26.6,236331008,99,2249850880,8573157376,65.0,2570Mhz,1000Mhz,
1789693972.4018455,18.445560824000495,36268,36356,29.3,236331008,99,2249850880,8573157376,65.0,2560Mhz,1000Mhz,
1789693972.810983,18.854698109998935,36268,36356,29.4,236331008,99,2249850880,8573157376,65.0,2600Mhz,1000Mhz,
1789693973.2186422,19.26235761099997,36268,36356,50.9,381906944,95,2249863168,8573157376,56.0,2630Mhz,675Mhz,
1789693973.6310568,19.674773328999436,36268,36356,53.9,381906944,77,2249863168,8573157376,62.0,2630Mhz,1000Mhz,
1789693974.0392978,20.083012765000603,36268,36356,56.9,381906944,91,2249863168,8573157376,62.0,2630Mhz,1000Mhz,
1789693974.4434593,20.48717401199974,36268,36356,54.9,381906944,91,2249863168,8573157376,63.0,2630Mhz,1000Mhz,
1789693974.8443067,20.888021664999542,36268,36356,58.4,381906944,86,2249863168,8573157376,62.0,2630Mhz,1000Mhz,
1789693975.2551,21.29881482699966,36268,36356,57.4,381906944,83,2249863168,8573157376,62.0,2630Mhz,1000Mhz,
1789693975.6555727,21.699287856999945,36268,36356,61.4,381906944,91,2249863168,8573157376,62.0,2630Mhz,1000Mhz,
1789693976.0625854,22.106300651999845,36268,36356,57.5,381906944,90,2249863168,8573157376,63.0,2630Mhz,1000Mhz,
1789693976.4797301,22.523445556000297,36268,36356,54.0,381906944,92,2249863168,8573157376,62.0,2630Mhz,1000Mhz,
1789693976.8869839,22.930698292999296,36268,36356,53.8,381906944,93,2249863168,8573157376,63.0,2630Mhz,1000Mhz,
1789693977.2961438,23.339858699000615,36268,36356,52.1,381906944,90,2249863168,8573157376,62.0,2630Mhz,1000Mhz,
