time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789698107.0919726,0.010117437999724643,50433,50519,0.0,234835968,1,2225053696,8573157376,46.0,700Mhz,96Mhz,
1789698107.5072973,0.42544253199957893,50433,50519,0.0,234835968,2,2225053696,8573157376,46.0,700Mhz,96Mhz,
1789698107.9178936,0.836039220001112,50433,50519,0.0,234835968,4,2225053696,8573157376,46.0,700Mhz,96Mhz,
1789698108.326161,1.2443063949995121,50433,50519,0.0,234835968,2,2225053696,8573157376,46.0,700Mhz,96Mhz,
1789698108.7391195,1.6572654560004594,50433,50519,0.0,234835968,4,2225053696,8573157376,46.0,700Mhz,96Mhz,
1789698109.1476846,2.0658301540006505,50433,50519,0.0,234835968,3,2225053696,8573157376,46.0,700Mhz,96Mhz,
1789698109.5600848,2.4782298789996275,50433,50519,0.0,234799104,7,2225053696,8573157376,46.0,700Mhz,96Mhz,
1789698109.9797463,2.8978918440006964,50433,50519,0.0,234799104,5,2225053696,8573157376,46.0,700Mhz,96Mhz,
1789698110.3984654,3.3166107310007646,50433,50519,0.0,234799104,5,2225053696,8573157376,46.0,700Mhz,96Mhz,
1789698110.8176548,3.7358004020006774,50433,50519,0.0,234799104,4,2225053696,8573157376,46.0,700Mhz,96Mhz,
1789698111.2450247,4.163170062000063,50433,50519,0.0,234799104,4,2225053696,8573157376,46.0,700Mhz,96Mhz,
1789698111.6631684,4.581314213000951,50433,50519,0.0,234799104,2,2225053696,8573157376,46.0,700Mhz,96Mhz,
1789698112.0823283,5.000473674001114,50433,50519,0.0,234799104,5,2225053696,8573157376,46.0,700Mhz,96Mhz,
1789698112.4981346,5.416280041999926,50433,50519,0.0,234799104,7,2225053696,8573157376,46.0,700Mhz,96Mhz,
1789698112.9190044,5.837149869999848,50433,50519,0.0,234799104,7,2225053696,8573157376,46.0,700Mhz,96Mhz,
1789698113.3459659,6.264111286000116,50433,50519,9.7,237002752,5,2225053696,8573157376,46.0,700Mhz,96Mhz,
1789698113.7591739,6.677319399001135,50433,50519,24.4,237039616,95,2227556352,8573157376,58.0,2630Mhz,1000Mhz,
1789698114.1690767,7.087222230000407,50433,50519,31.5,237039616,99,2227556352,8573157376,60.0,2575Mhz,1000Mhz,
