time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789697829.944248,0.011114831000668346,48706,48798,0.0,234082304,1,2224881664,8573157376,49.0,700Mhz,96Mhz,
1789697830.3618069,0.4286747109999851,48706,48798,0.0,234082304,4,2224881664,8573157376,49.0,700Mhz,96Mhz,
1789697830.7683415,0.8352090219996171,48706,48798,0.0,234082304,4,2224881664,8573157376,49.0,700Mhz,96Mhz,
1789697831.1821432,1.2490103850013838,48706,48798,0.0,234082304,1,2224881664,8573157376,49.0,700Mhz,96Mhz,
1789697831.5963607,1.6632283119997737,48706,48798,0.0,234082304,3,2224881664,8573157376,49.0,700Mhz,96Mhz,
1789697832.0122013,2.0790684650000912,48706,48798,0.0,234082304,2,2224881664,8573157376,49.0,700Mhz,96Mhz,
1789697832.433385,2.500252141000601,48706,48798,0.0,234082304,1,2224881664,8573157376,49.0,700Mhz,96Mhz,
1789697832.8541987,2.9210660540011304,48706,48798,0.0,234082304,3,2224881664,8573157376,49.0,700Mhz,96Mhz,
1789697833.2690804,3.3359473170003184,48706,48798,0.0,234082304,3,2224881664,8573157376,48.0,700Mhz,96Mhz,
1789697833.6953206,3.762188063001304,48706,48798,0.0,234082304,2,2224881664,8573157376,48.0,700Mhz,96Mhz,
1789697834.1117277,4.17859485200097,48706,48798,0.0,234082304,2,2224881664,8573157376,49.0,700Mhz,96Mhz,
1789697834.531015,4.59788282000045,48706,48798,0.0,234082304,1,2224881664,8573157376,48.0,700Mhz,96Mhz,
1789697834.9450862,5.011953515000641,48706,48798,,,3,442859520,8573157376,50.0,700Mhz,96Mhz,
1789697835.3820436,5.4489108480011055,48706,48798,,,2,441094144,8573157376,49.0,700Mhz,96Mhz,
