time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789705273.3242137,0.010404420998384012,101371,101488,0.0,236064768,2,2226987008,8573157376,45.0,700Mhz,96Mhz,
1789705273.7412167,0.4274078960006591,101371,101488,0.0,236064768,3,2226987008,8573157376,45.0,700Mhz,96Mhz,
1789705274.1435666,0.8297579829995811,101371,101488,0.0,236064768,4,2226987008,8573157376,45.0,700Mhz,96Mhz,
1789705274.5567343,1.2429260370008706,101371,101488,0.0,236064768,3,2226987008,8573157376,45.0,700Mhz,96Mhz,
1789705274.9733744,1.6595660179991683,101371,101488,0.0,236064768,1,2226987008,8573157376,45.0,700Mhz,96Mhz,
1789705275.3886542,2.074845623999863,101371,101488,0.0,236064768,2,2226987008,8573157376,45.0,700Mhz,96Mhz,
1789705275.808543,2.4947345900000073,101371,101488,0.0,236064768,5,2226987008,8573157376,46.0,700Mhz,96Mhz,
1789705276.226581,2.9127722659977735,101371,101488,0.0,236064768,2,2226987008,8573157376,45.0,700Mhz,96Mhz,
1789705276.6526241,3.3388156080000044,101371,101488,0.0,236064768,4,2226987008,8573157376,45.0,700Mhz,96Mhz,
1789705277.0639367,3.750128150997625,101371,101488,0.0,236064768,0,2226987008,8573157376,45.0,700Mhz,96Mhz,
1789705277.4744527,4.160644736999529,101371,101488,0.0,236064768,2,2226987008,8573157376,45.0,700Mhz,96Mhz,
1789705277.8892736,4.575465277997864,101371,101488,0.0,236064768,4,2226987008,8573157376,45.0,700Mhz,96Mhz,
1789705278.3128362,4.999027402998763,101371,101488,0.0,236064768,2,2226987008,8573157376,45.0,700Mhz,96Mhz,
1789705278.7360961,5.422287594999943,101371,101488,0.0,236064768,5,2226987008,8573157376,45.0,700Mhz,96Mhz,
1789705279.162387,5.848578398999962,101371,101488,0.0,236064768,4,2226987008,8573157376,45.0,700Mhz,96Mhz,
1789705279.5817435,6.267935028998181,101371,101488,0.0,236064768,3,2226987008,8573157376,45.0,700Mhz,96Mhz,
1789705280.0089693,6.6951603640009125,101371,101488,24.4,238915584,99,2228965376,8573157376,55.0,2630Mhz,1000Mhz,
1789705280.4196842,7.1058757309983775,101371,101488,23.5,238915584,98,2228965376,8573157376,58.0,2615Mhz,1000Mhz,
1789705280.8450718,7.531263115000911,101371,101488,26.2,238915584,97,2228965376,8573157376,59.0,2630Mhz,1000Mhz,
1789705281.2648077,7.950999148997653,101371,101488,21.7,238915584,99,2228965376,8573157376,58.0,2590Mhz,1000Mhz,
1789705281.6786408,8.364832299997943,101371,101488,26.6,238915584,99,2229489664,8573157376,59.0,2565Mhz,1000Mhz,
1789705282.0914454,8.777637129998766,101371,101488,23.6,238915584,99,2229489664,8573157376,59.0,2590Mhz,1000Mhz,
1789705282.5155318,9.201723440997739,101371,101488,24.1,238915584,99,2229489664,8573157376,60.0,2610Mhz,1000Mhz,
1789705282.92963,9.615821323997807,101371,101488,26.7,238915584,99,2229489664,8573157376,60.0,2575Mhz,1000Mhz,
1789705283.3412957,10.027487272000144,101371,101488,23.9,238915584,99,2229489664,8573157376,60.0,2575Mhz,1000Mhz,
1789705283.7594302,10.44562182899972,101371,101488,26.5,238915584,98,2229489664,8573157376,61.0,2625Mhz,1000Mhz,
1789705284.1746936,10.860885384998255,101371,101488,24.1,238915584,99,2229489664,8573157376,61.0,2575Mhz,1000Mhz,
1789705284.588797,11.274988617999043,101371,101488,26.4,238915584,98,2229489664,8573157376,61.0,2620Mhz,1000Mhz,
1789705285.0063822,11.692574158998468,101371,101488,26.3,238915584,99,2229489664,8573157376,61.0,2585Mhz,1000Mhz,
1789705285.4235132,12.109704844999214,101371,101488,23.9,238915584,98,2229489664,8573157376,62.0,2610Mhz,1000Mhz,
1789705285.842553,12.52874439199877,101371,101488,26.3,238915584,99,2229489664,8573157376,62.0,2575Mhz,1000Mhz,
1789705286.261301,12.947492436000175,101371,101488,26.4,238915584,90,2229489664,8573157376,62.0,2625Mhz,1000Mhz,
1789705286.6778119,13.36400375499943,101371,101488,24.6,238915584,97,2229489664,8573157376,62.0,2625Mhz,1000Mhz,
1789705287.0845997,13.770791259998077,101371,101488,24.7,238915584,99,2229489664,8573157376,63.0,2600Mhz,1000Mhz,
1789705287.4901068,14.17629826099801,101371,101488,23.8,238915584,99,2229489664,8573157376,62.0,2570Mhz,1000Mhz,
1789705287.9097726,14.595964174000983,101371,101488,29.2,238915584,99,2229489664,8573157376,63.0,2570Mhz,1000Mhz,
1789705288.3204684,15.006659851998847,101371,101488,23.6,238915584,93,2229489664,8573157376,63.0,2570Mhz,1000Mhz,
1789705288.743566,15.429757641999458,101371,101488,26.6,238915584,97,2229489664,8573157376,63.0,2625Mhz,1000Mhz,
1789705289.1567044,15.842896014997677,101371,101488,26.3,238915584,98,2229489664,8573157376,62.0,2600Mhz,1000Mhz,
1789705289.5742052,16.260396955000033,101371,101488,24.3,238915584,98,2229489664,8573157376,63.0,2605Mhz,1000Mhz,
1789705289.986155,16.67234643499978,101371,101488,26.7,238915584,97,2229489664,8573157376,63.0,2605Mhz,1000Mhz,
1789705290.397518,17.083709340000496,101371,101488,24.2,238915584,97,2229489664,8573157376,63.0,2625Mhz,1000Mhz,
1789705290.8106368,17.496828323000955,101371,101488,27.0,238915584,94,2229489664,8573157376,64.0,2620Mhz,1000Mhz,
1789705291.218578,17.90476961999957,101371,101488,26.9,238915584,99,2229489664,8573157376,64.0,2560Mhz,1000Mhz,
1789705291.6269386,18.313130192000244,101371,101488,26.0,238915584,99,2229489664,8573157376,64.0,2555Mhz,1000Mhz,
1789705292.0498042,18.73599580899827,101371,101488,21.8,238915584,99,2229489664,8573157376,65.0,2560Mhz,1000Mhz,
1789705292.4617436,19.147934699998586,101371,101488,26.9,238915584,99,2229489664,8573157376,64.0,2565Mhz,1000Mhz,
1789705292.8700352,19.55622667100033,101371,101488,23.3,238915584,99,2229489664,8573157376,64.0,2570Mhz,1000Mhz,
1789705293.2986968,19.984887890997925,101371,101488,29.4,238915584,94,2229489664,8573157376,64.0,2620Mhz,1000Mhz,
1789705293.706429,20.392620275997615,101371,101488,24.0,238915584,99,2229489664,8573157376,65.0,2560Mhz,1000Mhz,
