time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789702954.5713794,0.010617410996928811,82179,82267,0.0,234172416,6,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702954.9863555,0.4255942239979049,82179,82267,0.0,234172416,4,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702955.4045565,0.8437948519967904,82179,82267,0.0,234172416,7,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702955.8296106,1.2688488709973171,82179,82267,0.0,234172416,2,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702956.2390463,1.678285206999135,82179,82267,0.0,234172416,3,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702956.6520095,2.0912481089981156,82179,82267,0.0,234172416,6,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702957.0663297,2.5055680759978713,82179,82267,0.0,234172416,5,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702957.4884512,2.9276895549992332,82179,82267,0.0,234172416,7,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702957.9006083,3.339846608996595,82179,82267,0.0,234172416,4,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702958.3168101,3.7560486549991765,82179,82267,0.0,234172416,5,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702958.7286716,4.167910176998703,82179,82267,0.0,234172416,7,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702959.1393461,4.578585135997855,82179,82267,0.0,234172416,5,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702959.5538526,4.993090923999262,82179,82267,0.0,234172416,5,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702959.9609988,5.400237465997634,82179,82267,0.0,234172416,3,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702960.3753707,5.814609203996952,82179,82267,0.0,234172416,3,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702960.7875204,6.226758657998289,82179,82267,7.3,236331008,4,2227159040,8573157376,49.0,700Mhz,96Mhz,
1789702961.1963174,6.635556466997514,82179,82267,29.3,236331008,99,2229366784,8573157376,61.0,2570Mhz,1000Mhz,
1789702961.6061602,7.045399016998999,82179,82267,26.6,236331008,99,2229366784,8573157376,62.0,2530Mhz,1000Mhz,
1789702962.0196187,7.458857154997531,82179,82267,26.6,236331008,94,2229366784,8573157376,63.0,2595Mhz,1000Mhz,
1789702962.4332259,7.872464684998704,82179,82267,33.6,236331008,99,2229366784,8573157376,63.0,2530Mhz,1000Mhz,
1789702962.849345,8.288583099998505,82179,82267,26.5,236331008,99,2229366784,8573157376,63.0,2520Mhz,1000Mhz,
1789702963.26506,8.70429835199684,82179,82267,26.7,236331008,99,2229366784,8573157376,64.0,2525Mhz,1000Mhz,
1789702963.676585,9.115823518997786,82179,82267,26.7,236331008,99,2229366784,8573157376,63.0,2540Mhz,1000Mhz,
1789702964.0884154,9.527653969998937,82179,82267,31.7,236331008,99,2229366784,8573157376,65.0,2530Mhz,1000Mhz,
1789702964.4982748,9.93751310099833,82179,82267,27.0,236331008,99,2229366784,8573157376,64.0,2515Mhz,1000Mhz,
1789702964.9052427,10.344480750998628,82179,82267,28.5,236331008,99,2229366784,8573157376,64.0,2525Mhz,1000Mhz,
1789702965.326163,10.765402046999952,82179,82267,28.7,236331008,99,2229366784,8573157376,65.0,2530Mhz,1000Mhz,
1789702965.7442102,11.183448651998333,82179,82267,32.2,236331008,99,2229366784,8573157376,65.0,2515Mhz,1000Mhz,
1789702966.1476595,11.586897776000114,82179,82267,29.7,236331008,98,2229366784,8573157376,65.0,2535Mhz,1000Mhz,
1789702966.551673,11.99091097499695,82179,82267,27.0,236331008,99,2229366784,8573157376,65.0,2515Mhz,1000Mhz,
1789702966.958932,12.398170438998932,82179,82267,31.7,236331008,99,2229366784,8573157376,65.0,2545Mhz,1000Mhz,
1789702967.368698,12.80793576799988,82179,82267,27.3,236331008,97,2229366784,8573157376,65.0,2620Mhz,1000Mhz,
1789702967.7713766,13.21061530299994,82179,82267,26.4,236331008,98,2229366784,8573157376,66.0,2560Mhz,1000Mhz,
1789702968.1874182,13.626656517997617,82179,82267,32.2,236331008,99,2229366784,8573157376,66.0,2530Mhz,1000Mhz,
1789702968.5916886,14.030927519997931,82179,82267,24.5,236331008,99,2229366784,8573157376,66.0,2520Mhz,1000Mhz,
1789702969.0003119,14.439550297000096,82179,82267,31.3,236331008,99,2229366784,8573157376,66.0,2530Mhz,1000Mhz,
1789702969.4151654,14.854403829998773,82179,82267,27.2,236331008,99,2229366784,8573157376,66.0,2500Mhz,1000Mhz,
1789702969.8203235,15.259562170998834,82179,82267,25.0,236331008,95,2229366784,8573157376,69.0,2620Mhz,1000Mhz,
1789702970.2206492,15.659887681998953,82179,82267,31.8,236331008,99,2229366784,8573157376,67.0,2520Mhz,1000Mhz,
1789702970.629766,16.06900388399663,82179,82267,26.9,236331008,99,2229366784,8573157376,67.0,2520Mhz,1000Mhz,
1789702971.0386088,16.477847013997234,82179,82267,29.7,236331008,99,2229366784,8573157376,67.0,2500Mhz,1000Mhz,
1789702971.4423177,16.881556279997312,82179,82267,29.5,236331008,90,2229366784,8573157376,67.0,2620Mhz,1000Mhz,
1789702971.8494887,17.288726661998226,82179,82267,31.6,236331008,99,2229366784,8573157376,68.0,2525Mhz,1000Mhz,
1789702972.261115,17.70035335099965,82179,82267,26.9,236331008,99,2229366784,8573157376,67.0,2505Mhz,1000Mhz,
1789702972.6692908,18.108528803997615,82179,82267,28.9,236331008,99,2229366784,8573157376,67.0,2515Mhz,1000Mhz,
1789702973.0838037,18.523042023000016,82179,82267,29.4,236331008,99,2229366784,8573157376,68.0,2515Mhz,1000Mhz,
1789702973.4912913,18.930529727997055,82179,82267,26.3,236331008,92,2229366784,8573157376,68.0,2590Mhz,1000Mhz,
1789702973.9089305,19.34816901999875,82179,82267,28.5,236331008,97,2229366784,8573157376,68.0,2540Mhz,1000Mhz,
1789702974.3293638,19.768602160998853,82179,82267,33.3,236331008,98,2229366784,8573157376,70.0,2620Mhz,1000Mhz,
1789702974.7503026,20.189541116997134,82179,82267,26.3,236331008,99,2229465088,8573157376,69.0,2500Mhz,1000Mhz,
1789702975.1681914,20.60743091099721,82179,82267,60.2,382074880,78,2229469184,8573157376,63.0,2625Mhz,1000Mhz,
1789702975.5832927,21.022531405997142,82179,82267,62.9,382074880,83,2229469184,8573157376,66.0,2625Mhz,1000Mhz,
1789702975.9967496,21.435988073997578,82179,82267,54.1,382074880,92,2229469184,8573157376,65.0,2625Mhz,1000Mhz,
