time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789702883.659061,0.010451529000420123,81761,81848,0.0,234156032,4,2226892800,8573157376,48.0,700Mhz,96Mhz,
1789702884.0703073,0.42169891400044435,81761,81848,0.0,234156032,2,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702884.4942455,0.8456369519990403,81761,81848,0.0,234156032,3,2226892800,8573157376,48.0,700Mhz,96Mhz,
1789702884.9031038,1.2544950320007047,81761,81848,0.0,234156032,1,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702885.312612,1.6640029180016427,81761,81848,0.0,234156032,1,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702885.723054,2.0744447440010845,81761,81848,0.0,234156032,5,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702886.1363323,2.4877234999985376,81761,81848,0.0,234156032,2,2226892800,8573157376,48.0,700Mhz,96Mhz,
1789702886.556117,2.9075085049989866,81761,81848,0.0,234156032,6,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702886.9866786,3.3380699020017346,81761,81848,0.0,234156032,6,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702887.4068053,3.758196709000913,81761,81848,0.0,234156032,7,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702887.8297148,4.181106225998519,81761,81848,0.0,234156032,4,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702888.2616112,4.6130028260013205,81761,81848,0.0,234156032,7,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702888.6758673,5.027258792000794,81761,81848,0.0,234156032,6,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702889.09105,5.4424412379994465,81761,81848,0.0,234156032,6,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702889.5126727,5.864064231001976,81761,81848,0.0,234156032,7,2226892800,8573157376,49.0,700Mhz,96Mhz,
1789702889.9276607,6.279052185000182,81761,81848,9.8,236294144,5,2227163136,8573157376,49.0,700Mhz,96Mhz,
1789702890.335748,6.687139536999894,81761,81848,26.8,236331008,99,2229395456,8573157376,61.0,2625Mhz,1000Mhz,
1789702890.7468023,7.098194049001904,81761,81848,26.4,236331008,99,2229395456,8573157376,61.0,2555Mhz,1000Mhz,
1789702891.1632705,7.514661689001514,81761,81848,29.3,236331008,96,2229395456,8573157376,62.0,2590Mhz,1000Mhz,
1789702891.5722969,7.9236885710015486,81761,81848,31.3,236331008,99,2229395456,8573157376,63.0,2565Mhz,1000Mhz,
1789702891.9878006,8.339191920000303,81761,81848,30.9,236331008,99,2229395456,8573157376,62.0,2560Mhz,1000Mhz,
1789702892.4086537,8.760045406001154,81761,81848,26.2,236331008,99,2229395456,8573157376,63.0,2550Mhz,1000Mhz,
1789702892.828327,9.179718668001442,81761,81848,26.6,236331008,96,2229395456,8573157376,64.0,2620Mhz,1000Mhz,
1789702893.2424335,9.59382504200039,81761,81848,29.2,236331008,99,2229395456,8573157376,63.0,2550Mhz,1000Mhz,
1789702893.6530237,10.004414951999934,81761,81848,28.9,236331008,95,2229395456,8573157376,64.0,2625Mhz,1000Mhz,
1789702894.0684366,10.41982851099965,81761,81848,29.0,236331008,99,2229395456,8573157376,64.0,2545Mhz,1000Mhz,
1789702894.4821548,10.83354613100164,81761,81848,29.7,236331008,99,2229395456,8573157376,64.0,2550Mhz,1000Mhz,
1789702894.8865664,11.237958025001717,81761,81848,28.5,236331008,99,2229395456,8573157376,65.0,2545Mhz,1000Mhz,
1789702895.3077722,11.659163534000982,81761,81848,22.5,236331008,99,2229395456,8573157376,65.0,2560Mhz,1000Mhz,
1789702895.7075405,12.058931829000358,81761,81848,26.5,236331008,99,2229395456,8573157376,65.0,2550Mhz,1000Mhz,
1789702896.1220193,12.473410696999053,81761,81848,27.0,236331008,99,2229395456,8573157376,65.0,2545Mhz,1000Mhz,
1789702896.5299473,12.881338748000417,81761,81848,26.7,236331008,96,2229395456,8573157376,65.0,2570Mhz,1000Mhz,
1789702896.9415834,13.292974815998605,81761,81848,28.5,236331008,99,2229395456,8573157376,66.0,2535Mhz,1000Mhz,
1789702897.3625906,13.713982303001103,81761,81848,31.8,236331008,99,2229395456,8573157376,66.0,2620Mhz,1000Mhz,
1789702897.7709525,14.122343737999472,81761,81848,27.2,236331008,99,2229395456,8573157376,66.0,2545Mhz,1000Mhz,
1789702898.1750603,14.52645253800074,81761,81848,24.8,236331008,99,2229395456,8573157376,66.0,2560Mhz,1000Mhz,
1789702898.578061,14.929452377000416,81761,81848,29.2,236331008,99,2229395456,8573157376,66.0,2540Mhz,1000Mhz,
1789702898.9886062,15.339998314000695,81761,81848,27.9,236331008,95,2229395456,8573157376,67.0,2590Mhz,1000Mhz,
1789702899.4184535,15.769845042999805,81761,81848,28.5,236331008,99,2229395456,8573157376,67.0,2580Mhz,1000Mhz,
1789702899.8401778,16.1915691969989,81761,81848,28.8,236331008,99,2229395456,8573157376,67.0,2620Mhz,1000Mhz,
1789702900.2561905,16.6075818720019,81761,81848,30.5,236331008,99,2229395456,8573157376,67.0,2540Mhz,1000Mhz,
1789702900.6823444,17.033735723001882,81761,81848,26.2,236331008,99,2229395456,8573157376,68.0,2540Mhz,1000Mhz,
1789702901.1022477,17.453639087998454,81761,81848,26.4,236331008,99,2229395456,8573157376,67.0,2525Mhz,1000Mhz,
1789702901.5185008,17.869892154998524,81761,81848,33.0,236331008,99,2229395456,8573157376,67.0,2620Mhz,1000Mhz,
1789702901.9422708,18.293662560001394,81761,81848,28.2,236331008,99,2229395456,8573157376,67.0,2535Mhz,1000Mhz,
